,NOR,VER,PIA,RUS,LEC,HAM,SAI,ALO,HUL,PER,COL,TSU,OCO,STR,ZHO,BOT,GAS,RIC,MAG,ALB
31.0,0.0,20.902000000000044,3.2910000000001673,27.25500000000011,24.568999999999505,34.10199999999986,45.35999999999967,49.41199999999935,57.0649999999996,58.10599999999977,61.037999999999556,42.917999999999665,78.66199999999935,84.72199999999975,66.91600000000017,69.67099999999937,63.51599999999962,66.28799999999956,80.3090000000002,
32.0,0.0,20.692000000000007,4.451000000000022,27.569000000000415,26.039999999999964,34.764000000000124,46.92399999999998,50.98099999999977,58.41600000000017,59.47900000000027,62.085000000000036,45.902000000000044,80.14000000000033,85.84699999999975,71.09200000000055,73.46799999999985,67.16700000000037,68.78200000000015,81.7470000000003,
33.0,0.0,21.029999999999745,6.055000000000291,28.333999999999833,27.542999999999665,35.527000000000044,49.59400000000005,52.45799999999963,59.53200000000015,60.271999999999935,63.14000000000033,57.159999999999854,81.82399999999961,87.32499999999982,75.44700000000012,85.47199999999975,70.74399999999969,71.47599999999966,83.42299999999977,
34.0,0.0,21.186999999999898,7.378999999999905,29.975999999999658,29.32300000000032,36.22599999999966,51.27899999999954,54.23099999999977,60.81999999999971,61.55000000000018,64.40899999999965,81.56999999999971,83.55100000000039,88.89699999999993,87.55799999999999,108.28399999999965,74.85199999999986,75.32300000000032,84.63500000000022,
35.0,0.0,21.76299999999992,9.17699999999968,32.61999999999989,32.06299999999919,37.38199999999961,53.07899999999972,55.84699999999975,61.76599999999962,62.884000000000015,65.14699999999993,83.92199999999957,85.30599999999959,90.29699999999957,110.64799999999923,111.05199999999968,79.02700000000004,79.46499999999924,86.40399999999954,
36.0,0.0,22.515000000000327,11.108000000000175,35.56800000000021,42.931000000000495,39.15099999999984,54.8130000000001,57.84200000000055,63.37700000000041,65.22400000000016,66.72000000000025,86.4360000000006,87.6880000000001,91.93199999999979,112.79399999999987,113.91200000000026,85.69200000000001,83.26000000000022,88.72400000000016,
37.0,0.0,23.063999999999396,13.109999999999673,36.91899999999987,63.66399999999976,40.65399999999954,56.68499999999949,59.335000000000036,65.43199999999979,66.96399999999994,69.71999999999935,88.67799999999988,92.09199999999964,94.41399999999976,114.6880000000001,115.78799999999956,101.52099999999973,85.46399999999994,93.11399999999958,
38.0,0.0,23.425000000000182,22.795000000000073,37.78600000000006,63.50999999999931,41.70899999999983,57.94599999999991,60.847999999999956,66.66299999999956,68.38699999999972,70.71699999999964,90.11200000000008,94.28699999999935,99.39599999999973,115.95399999999972,117.44200000000001,126.45499999999993,87.03999999999996,95.01899999999932,
39.0,0.0,23.05699999999979,43.02099999999973,37.82999999999993,62.47199999999975,42.35499999999956,58.422999999999774,61.733000000000175,67.14900000000034,68.90200000000004,71.07099999999991,90.55799999999999,94.96299999999974,100.33200000000033,116.94300000000021,118.40399999999954,127.15899999999965,88.27899999999954,96.2539999999999,
40.0,0.0,22.825000000000728,42.43700000000081,38.181000000000495,62.75800000000072,44.4940000000006,59.194000000000415,63.82100000000082,67.8740000000007,69.58600000000024,71.4320000000007,91.09800000000087,97.50800000000072,101.64600000000064,118.32200000000012,119.31700000000001,127.78800000000047,89.68700000000081,98.89500000000044,
41.0,0.0,23.63500000000022,42.13199999999961,38.835000000000036,62.35399999999936,46.11399999999958,60.85999999999967,65.5619999999999,69.29799999999977,70.83699999999953,72.52099999999973,92.79899999999998,99.20399999999972,104.82099999999991,121.36799999999948,122.76599999999962,128.77999999999975,94.88599999999951,100.52199999999993,
42.0,0.0,24.09600000000046,41.615999999999985,39.7470000000003,63.21600000000035,47.82499999999982,63.99000000000069,68.34400000000005,70.80500000000029,72.08200000000033,73.83800000000065,94.03900000000067,101.17500000000018,106.44100000000071,123.6850000000004,124.34799999999996,129.70400000000063,99.70499999999993,102.28400000000056,
43.0,0.0,24.0679999999993,41.172999999999774,40.37299999999959,62.45499999999993,48.607999999999265,65.98199999999997,69.85599999999977,72.26699999999983,73.14399999999932,75.02099999999973,94.85699999999997,103.02299999999923,108.01299999999992,125.03499999999985,125.72599999999966,130.73199999999997,102.13999999999942,103.7569999999996,
44.0,0.0,24.207000000000335,42.26100000000042,41.79899999999998,61.819000000000415,49.926000000000386,67.57700000000023,71.79799999999977,73.78700000000026,74.65200000000004,76.38299999999981,97.93199999999979,105.39199999999983,109.9409999999998,126.35999999999967,127.20600000000013,131.58700000000044,104.82800000000043,106.29399999999987,
45.0,0.0,23.896999999999935,42.59100000000035,44.24300000000039,60.60699999999997,50.79899999999998,68.76600000000053,72.98800000000028,74.57300000000032,75.32400000000052,77.41100000000006,98.67399999999998,108.94400000000041,111.82999999999993,127.26299999999992,128.17500000000018,131.808,111.28300000000036,109.6810000000005,
46.0,0.0,24.443999999999505,42.961999999999534,46.70299999999952,60.024999999999636,52.64300000000003,71.22499999999945,75.02300000000014,76.53899999999976,77.32999999999993,79.00799999999981,99.9409999999998,111.06999999999971,115.16600000000017,129.17399999999998,129.7460000000001,132.78200000000015,125.88000000000011,112.38299999999981,
47.0,0.0,24.50500000000011,42.724999999999454,47.771999999999935,59.21599999999944,53.99799999999959,72.67299999999977,76.57499999999982,77.71500000000015,78.51699999999983,79.89899999999943,100.60999999999967,112.63699999999972,116.96399999999994,130.0679999999993,131.41399999999976,134.21000000000004,148.8069999999998,114.07999999999993,
48.0,0.0,26.319000000000415,43.54500000000007,50.44300000000021,60.08300000000054,57.36700000000019,75.59799999999996,79.65999999999985,80.8119999999999,81.57300000000032,82.90999999999985,102.98199999999997,115.6760000000013,119.96700000000055,133.82300000000032,134.98899999999958,136.6130000000012,150.89199999999983,117.35900000000038,
49.0,0.0,26.860999999998967,43.365999999999985,51.79099999999926,60.274999999999636,59.63799999999901,77.55699999999888,81.83999999999833,82.89899999999943,83.58699999999953,84.64999999999964,103.8109999999997,117.94499999999971,122.43899999999849,136.8849999999984,137.45199999999932,138.55299999999988,152.24299999999857,192.0669999999991,
50.0,0.0,27.604999999999563,45.36499999999978,53.48699999999917,61.49399999999878,63.737999999999374,79.43199999999888,84.0689999999995,85.29299999999967,85.99799999999959,87.03099999999904,104.29699999999866,120.32699999999932,126.26800000000003,139.17299999999886,139.78299999999945,140.21299999999974,153.1790000000001,230.54099999999926,
51.0,0.0,28.134000000000015,46.03100000000086,54.42900000000009,61.31500000000051,65.78200000000106,81.3630000000012,85.34799999999996,86.92500000000109,87.45200000000114,89.3680000000004,104.46100000000115,122.3809999999994,127.97400000000016,140.58600000000115,141.45399999999972,142.5580000000009,153.34100000000035,228.69200000000092,
52.0,0.0,28.78399999999965,46.69499999999971,55.53600000000006,61.14300000000003,68.21699999999873,83.67000000000007,87.15099999999984,88.87699999999859,89.49599999999919,91.52399999999943,104.78799999999865,124.52700000000004,129.8119999999999,142.6929999999993,143.40999999999985,145.01800000000003,154.4969999999994,229.92499999999927,
53.0,0.0,29.191999999999098,47.66599999999926,56.597999999999956,60.8070000000007,70.45099999999911,85.38899999999921,88.60200000000077,90.57799999999952,91.1820000000007,92.94499999999971,104.74599999999919,128.2549999999992,131.9320000000007,145.96500000000015,146.71099999999933,147.27499999999964,155.4439999999995,231.57899999999972,
54.0,0.0,29.191000000000713,47.75799999999981,57.22899999999936,60.512000000000626,72.05400000000009,86.68000000000029,89.59400000000096,91.8799999999992,92.45100000000093,93.98600000000079,105.09300000000076,130.01300000000083,133.3610000000008,147.4339999999993,148.30199999999968,149.1170000000002,159.14500000000044,232.96399999999994,
55.0,0.0,28.832000000000335,46.96700000000055,57.754000000000815,60.28600000000006,73.90200000000004,88.11299999999937,90.75900000000001,93.60499999999956,94.16400000000067,95.2569999999996,105.20700000000033,132.08799999999974,134.89500000000044,148.8150000000005,149.71099999999933,150.30299999999988,160.6219999999994,234.70399999999972,
56.0,0.0,28.021999999999025,46.125,57.9380000000001,59.58599999999933,75.82599999999911,89.04700000000048,91.47400000000016,94.71999999999935,96.09399999999914,99.2489999999998,105.1859999999997,133.66899999999987,136.28199999999924,149.92699999999968,150.67699999999968,153.4930000000004,160.4860000000008,235.9380000000001,
57.0,0.0,25.57499999999891,43.34599999999955,56.66399999999885,57.53899999999885,76.01100000000042,88.35199999999895,90.70700000000033,93.97999999999956,95.59200000000055,99.22299999999996,103.61999999999898,133.29099999999926,136.07899999999972,148.95299999999952,149.76900000000023,152.0599999999995,157.9940000000006,245.4979999999996,
58.0,0.0,24.011999999998807,41.667999999999665,56.72599999999875,57.31499999999869,76.96299999999974,88.89300000000003,91.23799999999937,94.32099999999991,95.86999999999898,99.33299999999872,102.97499999999854,134.27099999999882,136.86099999999897,148.97699999999895,149.89400000000023,151.94700000000012,165.1999999999989,,
59.0,0.0,23.03100000000086,41.72900000000118,58.10400000000118,58.585000000000946,79.02100000000064,90.50300000000061,92.39100000000144,95.28800000000047,99.57400000000052,100.8700000000008,103.3140000000003,136.02600000000166,140.16800000000148,149.78800000000047,151.3100000000013,152.7450000000008,187.13300000000163,,
60.0,0.0,22.743000000000393,42.28899999999885,59.344999999999345,60.11999999999898,81.18299999999908,92.70999999999913,94.33300000000054,99.15899999999965,101.09200000000055,102.95099999999911,104.58399999999892,137.70999999999913,142.46799999999894,152.98699999999917,153.79999999999927,154.30299999999988,184.98799999999937,,
61.0,0.0,21.935999999999694,42.876000000000204,60.8070000000007,61.626000000000204,83.47700000000077,94.19000000000051,98.79500000000007,101.0619999999999,102.54600000000028,104.20600000000013,106.71399999999994,141.92699999999968,145.4930000000004,155.14199999999983,155.7510000000002,156.98099999999977,187.71800000000076,,
62.0,0.0,20.94499999999971,41.82300000000032,61.039999999999054,62.43000000000029,85.24799999999959,96.03899999999885,,,,,,,,,,,,,
