,SAI,LEC,NOR,PIA,PER,STR,TSU,ALO,HUL,MAG,ALB,RIC,GAS,BOT,ZHO,OCO,RUS,HAM,VER
26.0,0.0,4.34900000000016,7.931999999999789,6.516999999999825,20.320999999999913,30.048999999999978,31.778000000000247,19.426000000000386,38.32600000000002,40.39800000000014,37.85099999999966,44.09400000000005,50.36999999999989,62.210000000000036,49.23900000000049,63.68299999999999,26.57300000000032,,
27.0,0.0,4.713999999999942,8.451000000000022,7.346999999999753,20.420999999999367,31.78399999999965,33.568999999999505,21.225999999999658,40.253999999999905,42.46599999999944,53.83399999999983,46.521999999999935,51.81700000000001,63.6869999999999,50.878999999999905,65.1269999999995,28.253999999999905,,
28.0,0.0,5.243000000000393,8.847999999999956,8.110999999999876,21.13299999999981,33.40300000000025,35.20399999999972,22.045000000000073,42.152000000000044,44.49300000000039,61.603000000000065,48.94499999999971,53.051000000000386,65.19499999999971,52.462000000000444,66.79500000000007,29.909999999999854,,
29.0,0.0,6.186999999999898,9.222999999999956,10.100999999999658,21.769999999999527,35.04899999999998,37.21299999999974,22.536000000000058,43.82999999999993,46.460000000000036,62.90599999999995,64.79699999999957,54.26999999999953,66.54099999999926,53.57499999999982,68.42299999999977,31.083999999999833,,
30.0,0.0,6.847999999999956,9.582000000000335,10.997999999999593,22.327000000000226,36.55000000000018,38.97199999999975,23.087999999999738,45.50600000000031,48.24399999999969,64.18099999999959,73.77599999999984,55.636999999999716,67.91600000000017,54.9409999999998,69.84000000000015,32.123999999999796,,
31.0,0.0,7.561999999999898,10.148000000000138,11.84900000000016,23.40399999999954,38.78899999999976,41.05699999999979,24.161000000000058,47.363000000000284,50.177999999999884,65.84799999999996,75.43199999999979,57.081999999999425,69.64400000000023,56.48499999999967,71.47900000000027,33.35699999999997,,
32.0,0.0,8.19800000000032,10.516999999999825,12.63299999999981,24.640000000000327,40.740999999999985,43.24200000000019,25.447000000000116,49.05000000000018,52.36899999999969,67.54399999999987,76.96500000000015,59.1220000000003,71.33600000000024,58.44999999999982,73.18299999999999,34.86200000000008,,
33.0,0.0,8.725000000000364,10.713999999999942,13.238000000000284,25.71100000000024,42.511999999999716,44.972999999999956,26.600999999999658,50.465000000000146,68.67600000000039,69.23700000000008,77.91300000000047,60.84199999999964,72.69200000000001,60.20100000000002,74.6840000000002,35.82800000000043,,
34.0,0.0,22.970000000000255,10.766000000000531,13.759000000000015,26.95600000000013,43.90900000000056,46.57900000000063,27.80200000000059,51.89100000000053,75.4980000000005,70.58100000000013,78.90500000000065,62.16100000000006,77.4280000000008,61.55200000000059,78.45000000000073,36.46400000000085,,
35.0,0.0,29.199999999999818,10.555000000000291,14.096999999999753,44.67500000000018,45.58600000000024,48.146999999999935,31.810999999999694,67.48400000000038,76.11700000000019,71.99499999999989,80.67399999999998,63.664999999999964,79.15300000000025,96.42600000000039,79.96799999999985,37.33399999999983,,
36.0,0.0,29.123999999999796,9.983000000000175,14.126000000000204,50.32899999999972,46.774999999999636,63.284999999999854,32.50699999999961,72.76599999999962,76.20799999999963,74.46299999999974,83.78700000000026,64.48700000000008,95.65800000000036,102.97800000000007,82.89000000000033,37.853000000000065,,
37.0,0.0,27.84100000000035,9.673999999999978,14.045000000000073,49.57600000000002,62.32999999999993,70.45800000000054,33.39800000000014,72.42500000000018,76.4980000000005,75.41000000000076,84.25400000000081,65.84200000000055,101.84100000000035,103.60500000000047,83.75300000000061,38.289999999999964,,
38.0,0.0,27.3779999999997,9.779999999999745,17.83600000000024,49.40900000000056,68.76500000000033,70.97000000000025,34.55199999999968,73.03800000000047,77.17100000000028,76.15200000000004,85.22199999999975,69.53899999999976,102.1840000000002,104.6230000000005,85.96799999999985,39.052999999999884,,
39.0,0.0,26.733000000000175,10.127000000000407,33.0630000000001,49.302999999999884,69.2529999999997,71.66300000000047,35.77000000000044,73.38000000000011,77.46200000000044,76.60900000000038,85.84000000000015,71.0010000000002,102.27599999999984,105.07700000000023,87.11999999999989,39.66600000000017,,
40.0,0.0,26.242999999999483,24.706999999999425,38.55000000000018,48.904999999999745,69.90999999999985,73.4380000000001,37.04100000000017,74.76000000000022,77.78999999999996,76.90599999999995,85.78399999999965,74.57799999999952,102.36599999999999,105.54199999999946,88.66600000000017,40.69599999999991,,
41.0,0.0,11.407999999999447,15.772999999999229,24.463999999999942,34.39300000000003,56.64399999999932,59.69200000000001,40.51899999999932,61.26599999999962,65.46900000000005,64.96999999999935,71.8819999999996,83.66199999999935,88.86399999999958,94.03099999999995,76.3179999999993,27.5049999999992,,
42.0,0.0,5.042000000000371,9.583000000000538,18.329000000000633,28.528000000000247,51.25800000000072,54.26100000000042,40.65100000000075,56.22400000000016,60.168000000000575,59.48500000000058,66.55500000000029,84.6180000000004,86.82900000000063,89.01100000000042,87.30100000000039,22.54700000000048,,
43.0,0.0,5.164999999999964,9.50500000000011,18.083999999999833,28.59599999999955,52.25,55.45899999999983,41.64499999999953,57.40300000000025,61.490999999999985,61.04699999999957,67.47299999999996,88.30699999999979,88.98800000000028,92.10800000000017,94.77700000000004,23.927999999999884,,
44.0,0.0,4.957999999999629,9.350999999999658,17.712000000000444,28.534999999999854,53.475000000000364,56.51599999999962,42.271999999999935,58.365999999999985,61.806000000000495,62.77900000000045,68.01900000000023,88.98700000000008,91.46200000000044,93.48800000000028,95.60699999999997,25.25799999999981,,
45.0,0.0,5.143000000000029,9.748000000000502,17.712000000000444,29.08100000000013,54.85500000000047,57.98900000000049,43.5029999999997,59.67500000000018,63.220000000000255,64.46299999999974,69.1260000000002,90.84299999999985,92.94999999999982,94.8739999999998,96.73800000000028,41.3779999999997,,
46.0,0.0,5.529000000000451,9.345000000000255,17.95300000000043,29.13500000000022,55.91200000000026,58.749000000000706,44.472999999999956,60.44599999999991,64.3090000000002,65.70700000000033,69.99099999999999,91.6890000000003,94.13000000000011,96.16300000000047,99.40500000000065,47.4380000000001,,
47.0,0.0,5.324999999999818,9.329999999999927,18.43199999999979,29.31999999999971,56.722999999999956,59.80000000000018,45.45299999999952,61.8720000000003,65.64400000000023,67.34900000000016,71.08799999999974,92.76099999999951,95.51000000000022,97.73599999999988,100.66600000000017,47.560999999999694,,
48.0,0.0,5.643000000000029,9.559000000000196,18.988999999999578,30.125,57.801000000000386,60.94300000000021,46.76900000000023,63.44300000000021,67.28300000000036,69.24499999999989,72.54899999999998,93.9409999999998,96.90099999999984,100.84000000000015,102.1840000000002,48.26900000000023,,
49.0,0.0,5.506000000000313,9.193000000000211,19.0600000000004,30.60400000000027,58.44999999999982,61.965000000000146,47.60999999999967,64.89000000000033,68.38799999999992,70.8819999999996,73.8739999999998,95.0,98.07700000000023,101.88600000000042,103.58100000000013,48.79600000000028,,
50.0,0.0,4.980999999999767,8.894000000000233,19.105999999999767,31.025000000000546,58.990999999999985,62.80000000000018,47.89599999999973,66.54200000000037,69.60400000000027,72.65099999999984,75.20600000000013,95.77199999999993,101.52500000000055,103.26699999999983,104.76400000000012,49.32800000000043,,
51.0,0.0,5.112999999999374,9.071999999999207,19.740999999999985,31.979999999999563,60.02899999999954,64.28499999999985,48.750999999999294,68.1889999999994,70.9409999999998,74.88699999999972,76.89199999999983,96.77899999999954,103.09099999999944,105.01399999999921,106.6319999999996,49.9399999999996,,
52.0,0.0,5.234999999999673,8.822000000000116,19.827000000000226,32.92099999999937,61.03299999999945,65.72299999999996,49.034999999999854,69.76099999999951,72.36299999999937,76.86200000000008,78.56700000000001,97.73099999999977,104.9380000000001,106.86499999999978,108.57799999999952,50.26000000000022,,
53.0,0.0,5.082999999999629,8.47400000000016,19.520000000000437,33.850000000000364,61.48099999999977,66.66100000000006,49.28700000000026,70.90400000000045,73.41100000000006,78.64599999999973,82.1840000000002,98.4399999999996,106.14300000000003,108.4340000000002,110.17000000000007,49.92900000000009,,
54.0,0.0,4.820999999999913,7.998999999999796,19.136999999999716,34.89799999999923,62.02899999999954,67.79500000000007,49.73999999999978,72.34299999999985,78.08399999999983,82.19499999999971,84.17000000000007,100.89199999999983,107.58999999999924,109.91899999999987,111.81700000000001,50.54099999999926,,
55.0,0.0,5.029999999999745,7.539999999999964,19.13799999999992,35.76100000000042,62.547999999999774,68.71900000000005,49.939000000000306,74.28700000000026,82.28200000000015,83.7539999999999,87.02800000000025,101.5659999999998,108.84699999999975,110.96399999999994,113.3680000000004,50.57899999999972,,
56.0,0.0,3.744999999999891,6.9229999999997744,18.396999999999935,36.511999999999716,62.68299999999999,69.43299999999999,49.59299999999985,75.46300000000065,84.38200000000052,86.84600000000046,89.76899999999932,107.3789999999999,115.79899999999998,117.92399999999998,122.07700000000023,50.13599999999951,,
57.0,0.0,3.7340000000003783,6.6119999999991705,22.769999999998618,45.93000000000029,84.8179999999993,92.92199999999866,63.89400000000023,106.68399999999929,115.4439999999995,116.37199999999939,122.87099999999919,147.3159999999989,153.6890000000003,155.65599999999904,165.34199999999873,2.7299999999995634,,
58.0,0.0,2.3659999999999854,5.904000000000451,35.77000000000044,56.30899999999929,93.22199999999975,95.60100000000057,80.99200000000019,104.55299999999988,,,,,,,,,,
