,VER,PER,SAI,LEC,RUS,NOR,HAM,PIA,ALO,STR,ZHO,MAG,RIC,TSU,ALB,HUL,OCO,GAS,BOT,SAR
1.0,0.0,2.768999999999778,3.3359999999997854,0.9869999999996253,1.94399999999996,4.88399999999956,5.837999999999738,5.238999999999578,4.394999999999982,12.929999999999836,7.516999999999825,7.0649999999996,8.38399999999956,6.200999999999567,6.6039999999998145,16.27099999999973,9.372999999999593,9.955999999999676,11.251999999999953,8.636999999999716
2.0,0.0,3.0140000000001237,4.27599999999984,1.5529999999998836,2.2829999999999018,6.597999999999956,7.815000000000055,7.324999999999818,6.119000000000142,14.621000000000095,10.141000000000076,9.679999999999836,11.596999999999753,8.594000000000051,9.134000000000015,50.88599999999997,12.170999999999822,12.719000000000051,13.215000000000146,10.822000000000116
3.0,0.0,3.5579999999999927,4.602999999999611,2.8619999999996253,1.9359999999996944,7.631999999999607,9.364999999999782,8.829999999999927,8.411999999999807,16.146999999999935,11.9699999999998,11.326000000000022,13.603999999999814,10.271999999999935,10.88799999999992,51.44999999999982,14.18899999999985,14.709999999999582,15.298999999999978,12.77599999999984
4.0,0.0,4.632999999999811,5.2199999999998,3.9669999999996435,3.0270000000000437,8.434999999999945,11.004999999999654,10.079999999999927,9.540999999999713,17.864000000000033,13.750999999999749,13.17599999999993,15.567000000000007,11.934999999999945,12.663000000000011,52.152000000000044,16.166999999999916,16.565999999999804,17.295000000000073,14.518999999999778
5.0,0.0,5.503999999999905,6.079000000000178,4.925000000000182,3.9700000000002547,9.05600000000004,12.181999999999789,10.766000000000076,11.659999999999854,19.416000000000167,15.376000000000204,14.578999999999724,17.097999999999956,13.083000000000538,13.998999999999796,52.641999999999825,17.634000000000015,18.05699999999979,20.208999999999833,16.103000000000065
6.0,0.0,6.235000000000582,6.7280000000000655,5.615000000000691,4.662000000000262,9.860000000000582,13.273000000000138,11.629000000000815,12.621000000000095,21.249000000000706,16.772000000000844,16.01600000000053,18.69500000000062,14.352000000000771,15.48200000000088,53.44600000000082,19.416000000000167,20.064000000000306,22.32300000000032,17.593000000000757
7.0,0.0,7.018000000000029,7.949999999999818,7.533999999999651,5.706000000000131,10.681999999999789,14.073999999999614,12.574999999999818,13.59100000000035,22.979999999999563,19.251000000000204,19.036000000000058,20.850000000000364,15.677999999999884,17.414999999999964,54.090000000000146,21.529999999999745,22.10400000000027,23.939000000000306,20.019000000000233
8.0,0.0,7.831999999999425,9.108999999999469,8.64599999999973,6.543999999999869,11.791999999999462,15.27099999999973,13.506999999999607,14.670000000000073,24.812999999999192,21.872999999999593,21.183999999999287,23.354999999999563,17.16699999999946,19.050999999999476,54.88599999999951,23.927999999999884,24.36699999999928,25.88299999999981,22.574999999999818
9.0,0.0,8.199000000000524,9.909999999999854,9.261000000000422,7.045000000000073,12.627000000000407,16.686999999999898,14.374000000000706,16.337000000000444,29.695999999999913,26.493000000000393,22.816000000000713,25.463999999999942,18.49200000000019,20.47400000000016,55.539999999999964,26.011000000000422,26.590000000000146,28.079000000000633,24.712000000000444
10.0,0.0,8.869000000000597,10.557999999999993,10.1850000000004,7.867000000000189,13.603000000000065,17.764000000000124,15.48700000000008,18.702000000000226,50.551000000000386,48.860999999999876,24.603000000000065,27.286000000000058,20.444000000000415,22.46600000000035,56.94999999999982,30.69300000000021,28.559000000000196,30.231000000000677,89.60300000000007
