,VER,PER,SAI,LEC,NOR,ALO,RUS,PIA,HAM,TSU,HUL,STR,MAG,BOT,OCO,GAS,SAR,ZHO,RIC,ALB
1.0,0.0,2.0419999999999163,6.885999999999967,23.74499999999989,4.04300000000012,9.804999999999836,28.69399999999996,13.570000000000164,22.054000000000087,36.78699999999981,32.17499999999973,46.99400000000014,54.57999999999993,34.13599999999997,39.615999999999985,42.51499999999987,57.90599999999995,64.51499999999987,0.0,0.0
2.0,0.0,2.282999999999447,7.96599999999944,24.281999999999243,3.494999999999891,13.306999999999789,26.539999999999964,16.711999999999534,20.82299999999941,175.72800000000007,29.587999999999738,44.2519999999995,48.86699999999928,31.44799999999941,39.909999999999854,43.08299999999963,51.11899999999969,52.80499999999938,,
3.0,0.0,1.0349999999998545,2.404000000000451,4.467999999999847,1.9589999999998327,3.0020000000004075,6.3090000000001965,3.82300000000032,5.068000000000211,5.9780000000000655,9.734000000000378,6.114999999999782,9.043999999999869,7.619999999999891,7.328000000000429,8.626000000000204,10.903000000000247,9.275000000000546,,
4.0,0.0,1.136000000000422,3.157000000000153,6.264000000000124,2.3400000000001455,3.9830000000001746,8.813000000000102,5.085000000000036,6.899000000000342,8.614000000000487,13.636000000000422,9.171000000000276,12.675000000000182,10.610000000000582,10.397000000000844,12.079000000000633,14.855000000000473,13.031000000000859,,
5.0,0.0,1.2669999999998254,4.041999999999462,7.638999999999214,2.76299999999992,5.07799999999952,10.112999999999374,6.278999999999542,8.600999999999658,11.68499999999949,18.6899999999996,12.286000000000058,15.6299999999992,12.451999999999316,14.040999999999258,15.114999999999782,18.08599999999933,16.190999999999804,,
6.0,0.0,2.105000000000473,4.9080000000003565,8.805000000000291,3.8079999999999927,6.083999999999833,11.649999999999636,7.565000000000509,9.935999999999694,13.716999999999643,39.10999999999967,14.17699999999968,18.801000000000386,16.88500000000022,17.68199999999979,18.516999999999825,20.813000000000102,19.327000000000226,,
7.0,0.0,2.443000000000211,5.693999999999505,10.021999999999935,4.579999999999927,7.317000000000007,12.75,8.786000000000058,11.340000000000146,17.74499999999989,38.89099999999962,15.831000000000131,22.188000000000102,37.36399999999958,20.45600000000013,21.795000000000073,23.89800000000014,25.230999999999767,,
8.0,0.0,2.3339999999998327,6.100999999999658,10.613000000000284,5.074999999999818,8.449000000000524,13.613000000000284,9.679000000000087,12.106999999999971,38.460000000000036,39.177999999999884,17.11200000000008,24.460000000000036,36.740999999999985,23.136000000000422,25.828999999999724,26.22400000000016,46.30400000000009,,
9.0,0.0,2.9940000000005966,6.903000000000247,11.648000000000138,5.860000000000582,10.155000000000655,14.688000000000102,11.001000000000204,13.462000000000444,38.452000000000226,39.89800000000014,18.81500000000051,27.533000000000357,36.96900000000005,26.252000000000407,29.431000000000495,29.91700000000037,46.28600000000006,,
10.0,0.0,3.3299999999999272,7.617000000000189,13.091999999999643,6.427999999999884,11.346000000000458,15.46600000000035,12.42200000000048,14.574999999999818,38.358000000000175,40.64800000000014,20.277000000000044,30.11999999999989,36.82999999999993,28.97699999999986,32.95799999999963,33.24300000000039,46.19599999999991,,
11.0,0.0,3.7719999999999345,8.115999999999985,14.510999999999513,9.41399999999976,12.514999999999418,16.64099999999962,13.893000000000029,16.092999999999847,38.47899999999936,41.22599999999966,21.605999999999767,32.246000000000095,37.487999999999374,31.573999999999614,36.8119999999999,34.81700000000001,49.53899999999976,,
12.0,0.0,4.175000000000182,8.210000000000036,15.640999999999622,27.304000000000087,13.506000000000313,18.100000000000364,17.222999999999956,17.54200000000037,40.78300000000036,42.31999999999971,25.490999999999985,34.7529999999997,40.426000000000386,34.38100000000031,40.16600000000017,36.975000000000364,79.97900000000027,,
13.0,0.0,4.57300000000032,8.815999999999804,16.39300000000003,25.337999999999738,16.595000000000255,19.36200000000008,38.05400000000009,20.05500000000029,42.03600000000006,44.89500000000044,43.98500000000058,36.293000000000575,40.98099999999977,37.99499999999989,44.91399999999976,39.44499999999971,,,
14.0,0.0,5.168000000000575,9.409999999999854,17.07800000000043,24.204999999999927,35.22900000000027,19.88000000000011,37.819000000000415,21.19800000000032,42.63600000000042,45.60199999999986,44.01000000000022,39.16899999999987,41.788000000000466,40.8720000000003,48.777000000000044,41.2480000000005,,,
15.0,0.0,8.220000000000255,11.99499999999989,17.39599999999973,23.139000000000124,34.82800000000043,20.59100000000035,37.34199999999964,22.259000000000015,44.707000000000335,47.3720000000003,44.28099999999995,40.6880000000001,44.35400000000027,43.97900000000027,52.302999999999884,42.761999999999716,,,
16.0,0.0,22.774000000000342,27.882000000000517,15.0,21.108000000000175,31.577000000000226,18.97699999999986,34.1279999999997,20.68000000000029,44.53099999999995,46.45499999999993,43.28300000000036,40.23000000000047,42.715000000000146,44.39900000000034,55.50700000000052,41.89400000000023,,,
17.0,3.6220000000002983,7.346000000000458,11.49499999999989,0.0,6.0590000000001965,15.720000000000255,5.538000000000466,18.019000000000233,8.35400000000027,29.619000000000597,32.91100000000006,28.48400000000038,27.10200000000077,28.577000000000226,32.47200000000066,61.38300000000072,28.253999999999905,,,
18.0,2.6840000000001965,7.430000000000291,10.432999999999993,0.0,4.786000000000058,14.990999999999985,8.095000000000255,17.08100000000013,9.898000000000138,31.128999999999905,33.62700000000041,29.567000000000007,29.007000000000517,29.646999999999935,35.449000000000524,61.9970000000003,30.802999999999884,,,
19.0,1.4129999999995562,6.342999999999847,10.695999999999913,0.0,4.0460000000002765,14.28899999999976,8.963999999999942,16.340000000000146,11.726999999999862,33.264000000000124,34.99799999999959,31.801000000000386,31.021999999999935,31.756000000000313,40.20899999999983,63.07300000000032,32.81700000000001,,,
20.0,0.3350000000000364,5.069000000000415,10.530000000000655,0.0,3.4130000000004657,14.423999999999978,9.947000000000116,15.844000000000051,12.865999999999985,34.884000000000015,36.861000000000786,33.569000000000415,32.80400000000009,33.389000000000124,61.10400000000027,64.33400000000074,34.30500000000029,,,
21.0,0.0,5.675000000000182,12.57300000000032,2.2510000000002037,4.457000000000335,16.037000000000262,13.48700000000008,17.307999999999993,15.556000000000495,38.4940000000006,40.689000000000306,37.16899999999987,36.396999999999935,36.89400000000023,62.86800000000039,66.79700000000048,37.965000000000146,,,
22.0,0.0,6.555000000000291,12.764000000000124,3.6109999999998763,6.96100000000024,17.373999999999796,17.998000000000502,19.548999999999978,18.99499999999989,44.02599999999984,43.998999999999796,43.113000000000284,42.17700000000059,42.82099999999991,64.25900000000001,68.79500000000007,43.57000000000062,,,
23.0,0.0,7.006000000000313,13.338000000000648,5.161000000000058,8.969000000000051,18.809000000000196,37.345000000000255,22.26299999999992,24.256000000000313,65.07200000000012,46.759000000000015,63.65099999999984,67.54800000000068,68.26299999999992,67.27300000000014,72.40599999999995,69.20800000000054,,,
24.0,0.0,7.395000000000437,13.610999999999876,6.699999999999818,10.15899999999965,19.712000000000444,35.962000000000444,22.90599999999995,42.85099999999966,65.17699999999968,49.488000000000284,63.88000000000011,67.67000000000007,69.85699999999997,69.66499999999996,74.65499999999975,70.77000000000044,,,
25.0,0.0,8.817999999999302,14.219000000000051,8.280999999999949,11.3799999999992,20.797999999999774,35.297999999999774,24.344999999999345,41.94599999999991,65.91299999999956,51.93199999999979,64.53799999999956,68.36599999999999,70.1279999999997,72.41199999999935,77.35199999999986,72.86299999999937,,,
26.0,0.0,10.069999999999709,14.918999999999869,15.018999999999323,15.859999999999673,21.649999999999636,34.63599999999951,25.271999999999935,40.95600000000013,66.51299999999992,54.53699999999935,65.40799999999945,69.07399999999961,70.54899999999998,74.58599999999933,79.87299999999959,74.91100000000006,,,
27.0,0.0,10.259000000000015,15.333000000000538,33.988000000000284,35.827000000000226,22.355000000000473,35.262000000000626,26.007000000000517,40.4369999999999,67.04300000000057,57.139000000000124,65.9980000000005,69.81500000000051,70.51699999999983,76.875,82.121000000001,74.84699999999975,,,
28.0,0.0,10.495999999999185,15.68199999999888,33.581999999998516,35.05199999999968,23.19999999999891,36.32999999999993,26.948999999998705,40.23599999999897,67.77399999999943,59.8130000000001,66.58999999999833,70.8229999999985,71.49299999999857,78.99099999999999,84.49799999999959,75.77999999999884,,,
29.0,0.0,10.80999999999949,16.20299999999952,33.28399999999965,34.655000000000655,24.327000000001135,36.373999999999796,28.06500000000051,40.327000000001135,68.4380000000001,63.10900000000038,67.56800000000112,72.0560000000005,72.55000000000109,81.03800000000047,86.89500000000044,76.80400000000009,,,
30.0,0.0,11.058000000000902,16.363999999999578,32.659999999999854,34.04900000000089,25.121000000001004,36.01800000000003,29.162000000000262,39.87700000000041,69.20600000000013,65.4429999999993,68.07999999999993,73.22099999999955,73.95399999999972,82.6880000000001,88.94000000000051,77.46600000000035,,,
31.0,0.0,11.414999999999054,16.503999999998996,32.100000000000364,33.51299999999901,25.810999999999694,36.03299999999945,30.245999999999185,39.701999999999316,70.12099999999919,68.14699999999903,69.04800000000068,74.95800000000054,75.2510000000002,84.58899999999994,91.628999999999,78.19999999999891,,,
32.0,0.0,11.601000000000568,16.69000000000051,31.324000000000524,32.96799999999894,26.52599999999984,35.85699999999997,32.80799999999908,39.38299999999981,71.82499999999891,71.47500000000036,70.32999999999993,76.69499999999971,77.07899999999972,86.03499999999985,96.4369999999999,79.04099999999926,,,
33.0,0.0,13.962000000001353,16.875,30.15400000000045,32.26000000000022,29.272000000000844,35.19200000000092,51.25300000000061,38.77900000000045,73.46900000000096,78.32300000000032,72.89100000000144,78.22700000000077,78.75300000000061,89.7510000000002,117.22200000000157,80.15900000000147,,,
34.0,0.0,29.6820000000007,14.550000000001091,27.247999999999593,29.296000000000276,45.08899999999994,32.67000000000007,47.28200000000106,36.26000000000022,72.03600000000006,96.48199999999997,73.21500000000015,76.9310000000005,77.53000000000065,108.35599999999977,116.66699999999946,81.32500000000073,,,
