,SAI,NOR,LEC,HAM,RUS,VER,MAG,PIA,HUL,GAS,STR,COL,OCO,BOT,ZHO,LAW,PER,ALO,ALB,TSU
1.0,,,,,,,,,,,,,,,,,,,,
2.0,1.8429999999998472,4.704000000000178,5.760000000000218,7.44399999999996,9.81100000000015,0.0,11.144000000000233,28.175000000000182,12.461999999999989,13.757000000000062,17.626999999999953,22.85199999999986,30.432000000000244,25.041000000000167,26.632000000000062,15.98700000000008,21.166999999999916,20.101000000000113,,
3.0,1.3170000000000073,3.650000000000091,6.403000000000247,7.2710000000001855,10.086999999999989,0.0,11.610999999999876,30.445000000000164,12.949999999999818,13.773000000000138,18.483999999999924,24.91899999999987,31.282000000000153,27.007000000000062,28.88299999999981,16.22699999999986,22.44300000000021,21.78800000000001,,
4.0,1.568000000000211,4.958000000000084,7.092000000000098,8.115000000000236,10.192000000000007,0.0,12.133000000000266,30.653999999999996,13.25500000000011,14.855000000000018,19.68600000000015,24.653999999999996,33.55500000000029,27.11700000000019,29.221000000000004,17.08600000000024,22.251000000000204,21.701000000000022,,
5.0,1.2010000000000218,4.4900000000002365,7.048000000000229,7.97400000000016,10.490999999999985,0.0,12.095000000000255,30.81100000000015,12.583000000000084,14.17300000000023,19.047000000000025,22.696000000000367,34.383000000000266,27.46100000000024,29.39800000000014,16.41500000000042,21.16800000000012,20.539000000000215,,
6.0,0.6779999999998836,1.4029999999993379,2.014999999999418,2.6239999999997963,3.1350000000002183,0.0,3.608999999999469,9.837999999999738,4.293999999999869,4.8659999999999854,6.139999999999418,8.045999999999367,10.447000000000116,8.692000000000007,9.252999999999702,5.360999999999876,7.600999999999658,7.082999999999629,,
7.0,1.0659999999998035,1.845999999999549,2.7269999999998618,3.7910000000001673,4.555999999999585,0.0,5.197999999999411,12.07299999999941,5.938000000000102,6.623999999999796,8.003999999999905,9.967999999999847,12.746999999999389,10.884999999999309,11.47899999999936,7.373999999999796,9.161999999999352,8.362999999999374,,
8.0,0.875,2.0950000000002547,3.117000000000189,4.314000000000306,5.121000000000095,0.0,5.981999999999971,13.997000000000298,6.931000000000495,7.860999999999876,9.470000000000255,11.734000000000378,14.820000000000618,12.541000000000167,13.384000000000015,8.846000000000458,10.893000000000029,10.200000000000728,,
9.0,0.0,1.1400000000003274,1.8500000000003638,3.0349999999998545,3.9349999999994907,0.6589999999996508,4.845999999999549,13.425999999999476,5.975999999999658,6.793999999999869,9.386999999999716,11.398000000000138,14.447000000000116,12.136999999999716,12.920000000000073,8.680999999999585,10.615999999999985,9.963999999999942,,
10.0,0.0,3.5649999999996,1.893000000000029,4.041000000000167,4.559999999999491,2.895999999999731,5.175999999999476,13.780999999999949,6.300999999999476,7.136999999999716,10.237999999999374,12.211999999999534,15.458999999999833,13.181999999999789,14.648000000000138,9.24499999999989,11.315999999999804,10.698999999999614,,
11.0,0.0,3.7650000000003274,1.469000000000051,4.663000000000466,5.57300000000032,2.7590000000000146,6.368999999999687,15.726999999999862,7.386999999999716,8.279999999999745,11.61999999999989,13.899999999999636,17.123999999999796,15.011999999999716,16.40899999999965,10.306999999999789,12.207000000000335,12.97900000000027,,
12.0,0.0,4.052999999999884,1.2159999999994398,5.292999999999665,6.166000000000167,2.956000000000131,7.289999999999964,17.661000000000058,8.779999999999745,9.664999999999964,14.313000000000102,15.864999999999782,19.243999999999687,17.10399999999936,18.38299999999981,11.484999999999673,13.332999999999629,15.144999999999527,,
