,PIA,LEC,RUS,NOR,VER,ALO,ALB,COL,HAM,BEA,HUL,GAS,RIC,ZHO,OCO,BOT,PER,SAI,STR,TSU
1.0,0.7970000000000255,0.0,4.313999999999851,11.654999999999745,3.3840000000000146,5.293999999999869,6.9409999999998035,6.186999999999898,13.597999999999956,7.902000000000044,11.726999999999862,12.342000000000098,11.822999999999865,13.69399999999996,14.862999999999829,12.362999999999829,1.8170000000000073,2.6909999999998035,18.9079999999999,11.54300000000012
2.0,0.4580000000000837,0.0,4.768999999999778,14.010000000000218,3.7330000000001746,6.092000000000098,8.503999999999905,7.313999999999851,17.23700000000008,9.356999999999971,14.478000000000065,15.920000000000073,15.43600000000015,18.409999999999854,19.097999999999956,17.371000000000095,1.7699999999999818,2.5279999999997926,38.041999999999916,13.907999999999902
3.0,0.8569999999999709,0.0,5.716000000000349,15.817000000000007,4.451000000000022,7.942000000000007,10.548999999999978,9.316000000000258,19.795000000000073,11.622000000000298,16.516000000000076,19.07300000000032,18.73400000000038,22.108000000000175,22.714000000000397,21.669000000000324,2.1720000000000255,3.4909999999999854,40.44900000000007,18.82400000000007
4.0,0.8569999999999709,0.0,6.507000000000062,17.17599999999993,5.65099999999984,9.509000000000015,12.326000000000022,10.823999999999614,21.73799999999983,13.49599999999964,18.384999999999764,20.51399999999967,19.761999999999716,25.37099999999964,25.81999999999971,24.846000000000004,2.4909999999999854,4.25,42.52099999999973,24.41300000000001
5.0,0.612999999999829,0.0,7.144999999999982,18.248000000000047,6.58199999999988,11.297999999999774,13.791999999999916,12.646999999999935,23.782000000000153,15.692000000000007,19.184000000000196,22.315999999999804,21.13799999999992,30.389999999999873,30.82400000000007,29.8449999999998,2.9450000000001637,4.974999999999909,44.177000000000135,29.2199999999998
6.0,1.4089999999996508,0.0,8.673999999999978,19.704999999999927,7.324999999999818,13.182999999999993,15.379999999999654,14.317000000000007,25.52099999999973,18.630999999999858,20.89300000000003,24.335000000000036,22.786000000000058,33.572999999999865,34.36200000000008,32.83199999999988,3.4969999999998436,5.748999999999796,45.64399999999978,32.44599999999991
7.0,1.6530000000002474,0.0,9.478000000000065,20.298000000000684,7.611000000000786,14.332000000000335,16.402000000000044,15.28900000000067,26.40900000000056,20.204000000000633,22.300000000000182,25.73199999999997,23.572000000000116,36.16700000000037,36.85699999999997,35.69500000000062,3.505000000000109,5.834000000000742,46.82000000000062,35.01000000000022
8.0,2.2780000000002474,0.0,11.157000000000153,21.907000000000153,8.581999999999425,15.791999999999462,17.936999999999898,16.91899999999987,28.327000000000226,23.725999999999658,23.96100000000024,27.766999999999825,25.621000000000095,39.80799999999999,40.58100000000013,39.33799999999974,3.9859999999998763,6.644000000000233,49.46299999999974,38.224999999999454
9.0,2.675000000000182,0.0,12.752000000000407,22.890000000000327,9.202000000000226,17.020000000000437,19.467000000000553,18.494000000000597,30.197000000000116,25.775000000000546,25.952000000000226,29.715000000000146,27.306000000000495,42.9980000000005,44.03700000000026,42.97700000000077,3.9840000000003783,6.970000000000255,50.77800000000025,41.538000000000466
10.0,3.1820000000006985,0.0,14.36999999999989,23.774000000000342,10.556000000000495,18.280000000000655,20.66400000000067,23.774000000000342,32.09600000000046,28.798000000000684,27.259000000000015,31.100000000000364,29.329999999999927,45.66899999999987,47.45800000000054,47.56800000000021,4.65900000000056,7.265000000000327,52.115999999999985,44.34299999999985
11.0,3.563999999999396,0.0,16.28099999999995,24.407999999999447,12.278999999999542,23.849999999999454,21.940999999999804,42.110999999999876,34.88599999999951,30.99499999999989,28.89099999999962,33.483000000000175,31.73999999999978,48.76499999999942,49.990999999999985,57.45499999999993,5.457999999999629,8.112999999999374,54.16600000000017,48.90599999999995
12.0,4.421999999999571,0.0,22.755999999999403,25.204999999999927,18.699999999999818,41.30899999999929,23.04199999999946,43.193999999999505,42.08299999999963,32.960000000000036,30.284999999999854,35.599999999999454,34.38000000000011,51.25,52.47899999999936,76.22699999999986,6.484999999999673,9.371000000000095,57.02799999999934,62.11999999999989
13.0,5.155000000000655,0.0,38.478000000000065,25.777000000000044,36.725000000000364,42.134000000000015,23.621000000000095,44.150000000000546,60.378999999999905,34.69200000000001,31.621000000000095,37.725000000000364,36.84400000000005,53.40300000000025,53.92200000000048,77.76500000000033,11.42200000000048,9.503999999999905,58.16100000000006,85.59799999999996
14.0,5.90099999999984,0.0,39.465000000000146,25.865999999999985,36.163000000000466,42.525000000000546,23.57300000000032,44.686000000000604,60.53200000000015,40.32600000000002,33.15599999999995,39.45400000000063,39.46799999999985,55.207000000000335,55.63299999999981,78.9390000000003,27.454999999999927,9.345000000000255,58.74200000000019,102.66700000000037
15.0,9.42200000000048,0.0,38.54200000000037,26.045000000000073,33.98500000000058,42.51900000000023,22.36200000000008,44.035000000000764,59.29600000000028,57.29100000000017,38.1220000000003,41.13800000000083,42.715000000000146,55.53400000000056,56.199000000000524,78.65700000000015,26.050000000000182,8.671000000000276,59.512000000000626,
16.0,18.83100000000013,0.0,33.30400000000009,21.530000000000655,28.27300000000014,37.4340000000002,17.19500000000062,39.936000000000604,53.97900000000027,53.48500000000058,50.71300000000065,37.70600000000013,40.1230000000005,52.6840000000002,53.49300000000039,74.5570000000007,19.34600000000046,4.187000000000808,56.77100000000064,
17.0,9.256000000000313,7.940000000000509,23.21600000000035,12.108000000000175,17.859999999999673,28.403000000000247,9.378999999999905,31.047999999999774,45.335000000000036,44.92500000000018,41.6869999999999,29.889000000000124,33.610999999999876,45.07099999999991,47.55199999999968,66.21799999999985,10.051000000000386,0.0,49.34900000000016,
