,LEC,PIA,NOR,SAI,HAM,VER,RUS,PER,ALB,MAG,ALO,COL,RIC,OCO,GAS,BOT,HUL,ZHO,STR,TSU
31.0,5.738000000000284,0.0,4.904999999999745,17.332000000000335,18.70800000000054,26.207000000000335,32.70100000000002,31.878999999999905,48.81700000000001,49.3159999999998,42.80200000000059,59.21600000000035,54.92500000000018,53.311000000000604,84.67100000000028,58.83799999999974,68.64300000000003,74.875,59.67700000000059,
32.0,5.532000000000153,0.0,8.838999999999942,17.20600000000013,18.555999999999585,26.216999999999643,32.76299999999992,32.22399999999925,49.748999999999796,50.24399999999969,44.42099999999937,61.16899999999987,56.13499999999931,74.54099999999926,85.61399999999958,63.21699999999964,75.0659999999998,76.7509999999993,61.77300000000014,
33.0,5.609999999999673,0.0,29.763999999999214,17.469999999999345,18.80499999999938,26.6899999999996,37.878999999999905,32.54899999999998,52.88299999999981,51.948999999999614,46.5619999999999,62.888999999999214,57.64899999999943,76.04499999999916,86.71799999999985,70.99299999999948,108.47199999999975,79.05399999999918,63.57199999999921,
34.0,5.584000000000742,0.0,29.145000000000437,17.298999999999978,18.88000000000011,26.8100000000004,59.28600000000006,32.70400000000063,54.9970000000003,53.19500000000062,48.189000000000306,64.35400000000027,58.970000000000255,77.55400000000009,87.64500000000044,92.9990000000007,108.60300000000007,81.08500000000004,64.97200000000066,
35.0,5.855999999999767,0.0,28.872999999999593,17.22400000000016,18.84900000000016,26.98999999999978,58.82099999999991,37.55000000000018,56.581999999999425,53.95600000000013,54.57899999999972,65.74299999999948,61.14899999999943,79.16399999999976,89.05799999999999,94.92599999999948,108.95499999999993,83.19599999999991,66.42599999999948,
36.0,5.823999999999614,0.0,28.240999999999985,16.747999999999593,18.703999999999724,26.802999999999884,58.40799999999945,57.8779999999997,57.58399999999983,54.485999999999876,74.98499999999967,66.83699999999953,62.48399999999947,80.35999999999967,90.90299999999934,96.29399999999987,108.98099999999977,86.05599999999959,72.01400000000012,
37.0,5.682999999999993,0.0,27.728000000000065,16.346999999999753,23.36200000000008,26.596999999999753,57.875,57.478000000000065,59.774999999999636,54.74499999999989,74.9970000000003,68.49099999999999,63.88799999999992,81.28200000000015,91.59799999999996,97.8159999999998,113.09900000000016,87.56999999999971,92.09799999999996,
38.0,1.181999999999789,0.0,22.735999999999876,11.773000000000138,37.662999999999556,21.898999999999432,54.91600000000017,55.59599999999955,56.86399999999958,51.422999999999774,70.71900000000005,65.55999999999949,61.050999999999476,78.0019999999995,88.70200000000023,96.39499999999953,108.85400000000027,86.09699999999975,87.59000000000015,
39.0,0.0,18.538000000000466,20.896999999999935,10.682000000000698,35.73100000000068,20.5,53.15800000000036,54.40300000000025,56.9350000000004,50.985999999999876,69.58899999999994,65.78800000000047,61.1840000000002,78.3690000000006,88.39300000000003,96.57600000000002,107.97299999999996,86.78099999999995,87.11999999999989,
40.0,0.0,17.11200000000008,21.368999999999687,10.795000000000073,35.052999999999884,21.146999999999935,52.35399999999936,54.10599999999977,57.79699999999957,51.57799999999952,69.58199999999943,67.24499999999989,62.51899999999932,79.88999999999942,89.80699999999979,98.04599999999937,107.90399999999954,88.91100000000006,89.20699999999943,
41.0,0.0,15.567000000000007,19.99200000000019,10.52099999999973,34.36899999999969,26.273999999999432,52.78200000000015,53.761999999999716,58.55799999999999,52.59199999999964,69.79299999999967,68.43499999999949,63.853000000000065,81.33899999999994,91.96799999999985,100.74499999999989,107.74200000000019,91.73700000000008,89.29799999999977,
42.0,0.0,14.228000000000065,19.0,10.688999999999396,33.21900000000005,46.693999999999505,51.91100000000006,54.0,59.761999999999716,53.55000000000018,69.76000000000022,69.38500000000022,65.13699999999972,82.78799999999956,92.90299999999934,103.11099999999988,107.69599999999991,95.70699999999943,89.45100000000002,
43.0,0.0,12.45299999999952,17.38299999999981,10.614999999999782,31.747999999999593,44.57199999999921,50.982999999999265,54.66999999999916,60.563999999999396,54.287999999999556,69.57399999999961,71.49699999999939,66.44899999999961,85.03199999999924,94.17799999999988,103.8809999999994,107.41999999999916,98.7559999999994,89.39399999999932,
44.0,0.0,11.65099999999984,16.355999999999767,11.115999999999985,30.454000000000633,44.1869999999999,50.47600000000057,54.85699999999997,61.8119999999999,56.0630000000001,69.67299999999977,73.22800000000007,67.79500000000007,86.27100000000064,96.92299999999977,105.2430000000004,107.26500000000033,102.2440000000006,89.6180000000004,
45.0,0.0,11.595000000000255,15.023000000000138,12.498000000000502,28.899000000000342,43.819000000000415,49.43000000000029,54.15900000000056,62.650000000000546,56.60400000000027,69.42600000000039,74.3090000000002,69.12700000000041,87.12700000000041,98.61700000000019,106.10000000000036,107.34100000000035,104.14500000000044,89.3140000000003,
46.0,0.0,10.534999999999854,13.466999999999643,12.902000000000044,27.60899999999947,43.162999999999556,48.2519999999995,53.55799999999999,63.60699999999997,57.1309999999994,68.77300000000014,75.65099999999984,71.21500000000015,87.97899999999936,99.42299999999977,106.86099999999988,107.85099999999966,106.40499999999975,89.62299999999959,
47.0,0.0,9.11200000000008,13.643000000000029,13.316000000000713,26.40400000000045,42.00700000000052,46.91899999999987,52.853000000000065,64.3140000000003,57.426000000000386,68.31800000000021,76.67200000000048,72.3140000000003,88.8090000000002,99.67000000000007,107.27400000000034,111.16600000000017,110.17100000000028,89.96100000000024,
48.0,0.0,8.319000000000415,11.949000000000524,14.73700000000008,25.68000000000029,41.0590000000002,45.56600000000071,52.650000000000546,64.94500000000062,57.64900000000034,68.04500000000007,77.69200000000001,73.3140000000003,89.7490000000007,100.1880000000001,108.88200000000052,112.77300000000014,112.4930000000004,92.54700000000048,
49.0,0.0,7.796999999999571,10.917999999999665,15.190999999999804,24.65899999999965,40.175999999999476,44.13499999999931,52.79500000000007,65.73999999999978,57.88999999999942,68.10300000000007,78.69899999999961,74.46399999999994,92.07200000000012,100.57299999999941,109.30000000000018,112.71000000000004,115.32399999999961,94.14399999999932,
50.0,0.0,6.92200000000048,10.722999999999956,15.499000000000706,23.441000000000713,39.30000000000018,42.83000000000084,52.72400000000016,66.23500000000058,58.03200000000015,68.15300000000025,79.53800000000047,75.82000000000062,94.29899999999998,101.1890000000003,110.19600000000082,113.26600000000053,117.40200000000004,100.8690000000006,
51.0,0.0,5.791000000000167,9.436999999999898,15.69800000000032,22.623000000000502,38.319000000000415,41.58600000000024,52.58399999999983,66.60099999999966,57.91399999999976,68.0659999999998,80.16899999999987,76.90400000000045,95.33399999999983,101.38900000000012,110.61999999999989,113.92200000000048,119.79299999999967,128.29399999999987,
52.0,0.0,3.9890000000004875,7.9890000000004875,15.670000000000073,24.576000000000022,37.48900000000049,40.28300000000036,52.904999999999745,66.8060000000005,57.85500000000047,68.07700000000023,80.84799999999996,77.3730000000005,95.92699999999968,101.61200000000008,110.47900000000027,114.13799999999992,123.32300000000032,126.77599999999984,
53.0,0.0,2.66399999999976,6.153000000000247,15.621000000000095,22.81999999999971,37.93199999999979,39.715000000000146,54.14800000000014,67.45600000000013,58.30199999999968,68.49499999999989,81.30799999999999,78.45200000000023,,,,,,,
