,RUS,PIA,SAI,HAM,VER,HUL,PER,MAG,RIC,GAS,LEC,OCO,STR,TSU,ALB,BOT,ZHO,ALO,SAR,NOR
1.0,2.3510000000001128,4.900000000000091,3.405999999999949,2.7899999999999636,0.0,6.369999999999891,4.175000000000182,6.77599999999984,7.45699999999988,7.0590000000001965,10.034999999999854,5.653000000000247,9.08199999999988,8.045000000000073,8.45699999999988,8.867999999999938,12.00799999999981,7.858000000000175,12.554999999999836,1.3209999999999127
2.0,2.992999999999938,5.503000000000156,4.186999999999898,3.382000000000062,0.0,6.648999999999887,4.85799999999972,8.021999999999935,9.16399999999976,8.503999999999905,38.903999999999996,7.192999999999756,11.391999999999825,9.7199999999998,10.846999999999753,11.78899999999976,13.730000000000018,10.235999999999876,41.96299999999974,1.1959999999999127
3.0,3.576999999999771,6.389000000000124,5.157999999999902,4.248000000000047,0.0,7.40099999999984,5.7199999999998,9.215999999999894,10.66800000000012,9.836999999999989,39.784999999999854,8.371999999999844,13.18899999999985,11.400000000000091,12.478999999999814,14.045000000000073,15.666000000000167,11.802999999999884,43.791999999999916,1.8669999999997344
4.0,4.141000000000076,7.2960000000002765,5.798999999999978,4.966000000000349,0.0,8.456000000000131,6.608000000000175,10.356999999999971,11.960000000000036,10.97900000000027,40.208000000000084,9.388000000000375,14.622000000000298,12.813000000000102,14.082000000000335,15.713000000000193,18.032000000000153,13.455000000000382,45.64900000000034,2.3530000000000655
5.0,4.329000000000178,7.898000000000138,6.195000000000164,5.436999999999898,0.0,9.476999999999862,7.242000000000189,11.271999999999935,12.98700000000008,11.985000000000127,40.88799999999992,10.427000000000135,16.0329999999999,14.213999999999942,15.47900000000027,17.89300000000003,19.80600000000004,14.954999999999927,47.539000000000215,2.7719999999999345
6.0,5.123999999999796,8.905999999999949,6.636999999999716,7.235999999999876,0.0,10.316999999999553,8.223999999999705,12.246999999999844,13.85299999999961,12.884999999999764,41.2199999999998,11.37099999999964,17.28099999999995,15.376999999999953,16.629999999999654,19.32699999999977,21.540999999999713,16.036999999999807,49.26899999999978,2.862999999999829
7.0,5.585999999999785,9.7800000000002,7.639000000000124,8.213999999999942,0.0,11.778999999999996,10.485000000000127,13.518999999999778,15.030999999999949,14.177999999999884,41.88000000000011,12.737999999999829,18.89800000000014,16.764000000000124,18.246000000000095,20.88000000000011,23.365999999999985,17.528999999999996,51.003000000000156,3.181999999999789
8.0,5.9099999999998545,10.799999999999727,8.444999999999709,9.092999999999847,0.0,13.125,11.879999999999654,14.821999999999662,16.4079999999999,15.52599999999984,42.28399999999965,14.036999999999807,20.26800000000003,18.154999999999745,19.541999999999916,22.48999999999978,25.123999999999796,18.80600000000004,52.77599999999984,3.362999999999829
9.0,5.938000000000102,11.22400000000016,8.567999999999756,9.47400000000016,0.0,14.217000000000098,12.807999999999993,15.815000000000055,17.259000000000015,16.434999999999945,42.48999999999978,15.02599999999984,21.208000000000084,19.076000000000022,20.38799999999992,23.56100000000015,26.68399999999974,19.690999999999804,54.472999999999956,3.2089999999998327
10.0,6.605000000000018,11.996999999999844,8.915999999999713,9.875,0.0,15.360000000000127,13.817999999999756,20.436999999999898,21.567000000000007,17.971000000000004,42.77300000000014,16.31399999999985,22.30699999999979,20.153999999999996,21.58100000000013,24.721000000000004,28.422999999999774,20.996999999999844,56.30600000000004,4.364000000000033
11.0,7.323999999999614,12.828999999999724,9.192999999999302,10.529999999999745,0.0,19.90899999999965,14.832999999999629,37.305999999999585,39.01800000000003,19.34899999999925,43.35199999999986,17.686999999999898,23.837999999999738,21.391999999999825,23.078999999999724,25.979999999999563,29.928999999999178,25.777999999999338,58.07600000000002,4.645999999999731
12.0,7.947000000000116,13.470000000000255,9.695999999999913,11.25500000000011,0.0,38.59900000000016,16.01299999999992,38.06700000000001,39.77599999999984,20.792999999999665,44.22900000000027,18.98199999999997,25.381000000000313,22.804000000000087,27.182999999999993,27.432999999999993,31.814000000000306,42.9340000000002,60.26499999999942,5.019000000000233
13.0,8.313000000000102,13.8149999999996,10.050000000000182,11.653999999999542,0.0,38.1880000000001,16.640000000000327,39.077000000000226,40.26900000000023,21.542999999999665,44.733000000000175,20.16399999999976,26.621000000000095,24.01599999999962,45.086999999999534,28.54699999999957,33.06999999999971,42.89099999999962,61.97900000000027,5.127999999999702
14.0,9.045999999999367,14.531999999999243,10.699999999999818,12.445999999999913,0.0,38.732999999999265,17.399999999999636,39.36399999999958,41.068999999999505,22.756999999999607,46.677999999999884,21.47399999999925,27.9429999999993,25.40399999999954,45.759000000000015,29.960000000000036,34.69999999999982,43.5659999999998,63.91399999999976,5.5239999999994325
15.0,9.489000000000487,15.168999999999869,11.244000000000597,13.082000000000335,0.0,38.822000000000116,18.170000000000073,39.551000000000386,41.418000000000575,23.81800000000021,47.37800000000061,22.624000000000706,29.28400000000056,26.704999999999927,45.9970000000003,31.123000000000502,35.91100000000006,43.72699999999986,65.44700000000012,5.5
16.0,9.91399999999976,15.695999999999913,11.748999999999796,13.640000000000327,0.0,39.17100000000028,19.153000000000247,40.00500000000011,42.09400000000005,25.240999999999985,51.625,23.93000000000029,30.715000000000146,28.19499999999971,46.38199999999961,32.92000000000007,37.39499999999953,43.91100000000006,67.34799999999996,5.876000000000204
17.0,10.391999999999825,16.25,12.47400000000016,14.273000000000138,0.0,39.59900000000016,20.037000000000262,40.266999999999825,42.48900000000049,26.62800000000061,69.17000000000007,25.297999999999774,32.31500000000051,29.67700000000059,46.886999999999716,34.376000000000204,39.26600000000053,44.215000000000146,69.95100000000002,6.043999999999869
18.0,10.324999999999818,16.462999999999738,12.600999999999658,14.425999999999476,0.0,39.89899999999943,20.349999999999454,40.697000000000116,42.78299999999945,27.712999999999738,69.00500000000011,26.115999999999985,33.527000000000044,30.79699999999957,47.086999999999534,35.54999999999927,41.76800000000003,44.33399999999983,73.01999999999953,5.938000000000102
19.0,10.378999999999905,16.701000000000022,12.925000000000182,15.063000000000102,0.0,39.61400000000049,20.77900000000045,40.7470000000003,43.33399999999983,28.670000000000073,68.64699999999993,30.7470000000003,34.67500000000018,31.853000000000065,47.17399999999998,40.09700000000066,42.850000000000364,44.199000000000524,74.27700000000004,6.081000000000131
20.0,10.36199999999917,16.893999999999323,13.088999999999942,15.38299999999981,0.0,39.26499999999942,21.232999999999265,40.305999999999585,43.16099999999915,32.930999999999585,68.13999999999942,47.982999999999265,39.427999999999884,32.956999999999425,47.302999999999884,56.750999999999294,46.95100000000002,44.17199999999957,79.16199999999935,5.820999999999913
21.0,10.70300000000043,17.454000000000633,13.596000000000458,19.813000000000102,0.0,39.38600000000042,26.21600000000035,40.47900000000027,43.23100000000068,49.61400000000049,67.79200000000037,47.88100000000031,55.677999999999884,37.90400000000045,47.28300000000036,56.759000000000015,49.275000000000546,44.29700000000048,98.14400000000023,5.927999999999884
22.0,14.231000000000677,17.27100000000064,16.926000000000386,35.177999999999884,0.0,39.37800000000061,42.59100000000035,40.835000000000036,43.92200000000048,49.277000000000044,66.88200000000052,47.858000000000175,55.378999999999905,54.423000000000684,47.387000000000626,56.98700000000008,51.03300000000036,44.85500000000047,97.72299999999996,5.608000000000175
