,NOR,SAI,LEC,HAM,RUS,VER,GAS,HUL,ALO,PIA,ALB,TSU,ZHO,STR,DOO,MAG,LAW,BOT,COL,PER
41.0,0.0,4.845000000000255,25.512000000000626,44.66200000000026,29.908000000000357,49.21900000000005,44.04600000000028,47.03900000000067,76.56500000000051,78.84200000000055,64.49099999999999,73.88300000000072,96.9340000000002,82.58700000000044,84.71700000000055,111.79400000000078,129.067,,,
42.0,0.0,4.938000000000102,25.840000000000146,44.19200000000001,30.184000000000196,49.17000000000007,45.88200000000052,48.25600000000031,76.78200000000015,78.7470000000003,65.94400000000041,75.06900000000041,97.07499999999982,83.02900000000045,86.14699999999993,112.71799999999985,129.89900000000034,,,
43.0,0.0,4.789999999999964,26.40899999999965,43.746000000000095,30.510999999999513,49.25699999999961,47.33299999999963,50.72400000000016,77.50900000000001,78.79699999999957,67.63799999999992,76.47899999999936,97.76299999999992,83.83100000000013,89.3769999999995,113.60599999999977,133.3130000000001,,,
44.0,0.0,4.9760000000005675,27.19000000000051,43.0619999999999,30.985000000000582,49.79600000000028,48.75,52.35699999999997,78.61300000000028,79.33200000000033,69.29799999999977,77.94900000000052,98.47900000000027,84.60000000000036,91.16800000000057,116.77500000000055,134.64800000000014,,,
45.0,0.0,5.251999999999498,27.447000000000116,42.63599999999951,31.639000000000124,49.80799999999999,51.09599999999955,54.05799999999999,78.79600000000028,81.29199999999946,70.71799999999985,80.45100000000002,99.11300000000028,85.32200000000012,92.60599999999977,118.35199999999986,135.78099999999995,,,
46.0,0.0,5.856000000000677,27.67200000000048,42.129000000000815,32.11000000000058,49.96100000000024,52.668000000000575,55.572000000000116,79.30100000000039,82.89100000000053,72.07800000000043,82.17300000000068,99.89699999999993,86.25,96.66400000000067,119.9340000000002,136.7510000000002,,,
47.0,0.0,6.023000000000138,27.686999999999898,41.478000000000065,32.70899999999983,50.02800000000025,53.95400000000063,56.66600000000017,79.29500000000007,84.32500000000073,73.3119999999999,83.44100000000071,100.34200000000055,86.8070000000007,98.18000000000029,122.53800000000047,139.9300000000003,,,
48.0,0.0,5.962000000000444,27.653000000000247,41.0,33.009000000000015,49.71600000000035,55.18299999999999,58.03400000000056,79.08700000000044,84.52700000000004,75.16499999999996,85.67500000000018,100.75600000000031,87.43299999999999,99.42900000000009,124.36200000000008,141.3120000000008,,,
49.0,0.0,5.462000000000444,27.641999999999825,40.1190000000006,33.05799999999999,49.271999999999935,56.30500000000029,59.021999999999935,79.08800000000065,84.08399999999983,76.73800000000028,86.97500000000036,101.48100000000068,89.47500000000036,100.67500000000018,126.32300000000032,142.4990000000007,,,
50.0,0.0,5.219000000000051,27.72699999999986,39.72599999999966,33.552999999999884,49.10499999999956,57.78299999999945,60.48899999999958,79.66899999999987,83.66100000000006,78.30899999999929,89.9380000000001,103.51499999999942,90.59099999999944,103.08399999999983,129.30499999999938,143.22199999999975,,,
51.0,0.0,5.828000000000429,27.87800000000061,39.17800000000079,33.936000000000604,49.05799999999999,59.48700000000008,62.07000000000062,79.75,83.48400000000038,81.41499999999996,91.84300000000076,104.38000000000011,92.57100000000082,105.59700000000066,131.48100000000068,144.3150000000005,,,
52.0,0.0,6.655999999999949,28.895000000000437,39.53900000000067,34.891999999999825,49.66700000000037,61.699000000000524,64.15000000000055,80.58899999999994,84.53700000000026,84.11300000000028,93.71300000000065,105.17200000000048,96.07800000000043,107.74099999999999,134.3650000000007,145.6279999999997,,,
53.0,0.0,7.432999999999993,29.89300000000003,39.72599999999966,36.0590000000002,50.21100000000024,63.85500000000047,66.73700000000008,81.30000000000018,85.1850000000004,87.80499999999938,97.23599999999988,106.13499999999931,98.08299999999963,109.93799999999919,137.0600000000004,146.91099999999915,,,
54.0,0.0,7.49199999999837,30.238999999999578,38.943999999999505,36.31499999999869,50.43899999999849,65.17799999999988,68.43199999999888,81.38999999999942,84.79199999999946,91.20999999999913,98.65499999999884,106.03299999999945,99.52699999999822,111.35299999999916,140.13999999999942,147.60599999999977,,,
55.0,0.0,7.610000000000582,30.97899999999936,38.69499999999971,37.02900000000045,50.612999999999374,67.70299999999952,70.72400000000016,82.02399999999943,84.92599999999948,93.96900000000096,101.26300000000083,106.4330000000009,100.49799999999959,113.35300000000097,144.45100000000093,149.14300000000003,,,
56.0,0.0,7.7369999999991705,31.501000000000204,38.73500000000058,37.52599999999984,50.68000000000029,69.54600000000028,73.01699999999983,82.60199999999895,85.04399999999987,98.18000000000029,102.9940000000006,106.71700000000055,101.92599999999948,114.77599999999984,169.7469999999994,107.9940000000006,,,
57.0,0.0,7.658999999999651,31.868000000000393,38.55699999999888,37.80400000000009,50.92499999999927,71.55299999999988,75.37199999999939,83.61000000000058,85.66899999999987,101.10900000000038,104.59599999999955,107.16200000000026,103.33100000000013,116.41300000000047,167.45499999999993,,,,
58.0,0.0,5.832000000000335,31.927999999999884,36.483000000000175,37.53799999999865,49.84699999999975,72.55999999999949,75.55400000000009,82.37299999999959,83.82099999999991,,,,,,,,,,
