,LEC,SAI,VER,NOR,PIA,RUS,PER,HUL,LAW,COL,MAG,GAS,ALO,TSU,STR,ALB,BOT,OCO,ZHO,HAM
23.0,0.0,28.65899999999965,10.05999999999949,13.670000000000073,18.10199999999986,39.876000000000204,34.68299999999999,37.210000000000036,43.287999999999556,47.097999999999956,53.57499999999982,59.00500000000011,48.17100000000028,62.05500000000029,55.9340000000002,57.164999999999964,66.15300000000025,51.88599999999951,79.61099999999988,
24.0,0.0,28.07300000000032,10.679000000000087,13.760000000000218,18.67200000000048,40.23700000000008,35.548000000000684,37.840000000000146,44.45800000000054,48.626000000000204,54.50200000000041,60.22100000000046,50.35100000000057,63.561000000000604,57.913000000000466,58.89800000000014,67.60100000000057,53.676000000000386,81.5610000000006,
25.0,0.0,27.844999999999345,11.813999999999396,13.78399999999965,18.497999999999593,40.34599999999955,36.07999999999993,38.52599999999984,45.52799999999934,49.79899999999998,55.21099999999933,61.623999999999796,52.38199999999961,65.05099999999948,59.96399999999994,60.732999999999265,68.92699999999968,56.485999999999876,83.67399999999998,
26.0,0.0,26.976000000000568,31.222000000000662,13.100000000000364,17.58600000000024,40.293000000000575,36.65800000000036,38.97900000000027,46.23900000000049,50.488000000000284,55.47900000000027,63.36700000000019,54.36400000000049,65.76700000000073,62.96600000000035,62.879000000000815,69.55500000000029,57.822000000000116,84.82700000000023,
27.0,7.3289999999997235,13.743000000000393,18.074999999999818,0.0,4.40900000000056,27.989000000000487,44.271999999999935,27.958999999999833,34.350000000000364,38.746000000000095,43.41200000000026,53.58100000000013,63.00799999999981,54.82000000000062,52.97199999999975,54.23000000000047,58.23099999999977,46.98999999999978,73.82000000000062,
28.0,6.835000000000036,13.641000000000531,17.70300000000043,0.0,4.903000000000247,28.06800000000021,44.75799999999981,51.074000000000524,35.42900000000009,39.79500000000007,45.77900000000045,55.155000000000655,64.32999999999993,57.13100000000031,77.04700000000048,58.00600000000031,60.09900000000016,49.20300000000043,76.08399999999983,
29.0,6.354000000000269,13.296000000000276,17.222000000000662,0.0,4.905000000000655,28.144000000000233,44.66100000000006,52.4380000000001,36.40400000000045,40.78900000000067,46.48100000000068,56.04200000000037,65.26200000000063,58.376000000000204,77.07400000000052,59.7450000000008,61.84900000000016,50.84900000000016,78.76700000000073,
30.0,5.682999999999993,12.264999999999418,16.266999999999825,0.0,4.860999999999876,28.01599999999962,44.58899999999994,53.07099999999991,37.32099999999991,41.44999999999982,47.54499999999916,57.009000000000015,65.76699999999983,59.3769999999995,77.7529999999997,61.6909999999998,63.32899999999972,52.59599999999955,80.59400000000005,
31.0,2.8809999999994034,10.076999999999316,13.855999999999767,0.0,4.220999999999549,26.180999999999585,42.80199999999968,51.0029999999997,36.464999999999236,40.51599999999962,46.53099999999995,56.33099999999922,64.43099999999959,58.70099999999911,76.37199999999939,61.85699999999997,63.23399999999947,54.53599999999915,80.6269999999995,
32.0,0.0,7.39600000000064,11.256000000000313,17.899000000000342,3.6220000000002983,24.028000000000247,40.47400000000016,48.98400000000038,35.210000000000036,39.07999999999993,44.990999999999985,55.11800000000039,63.32500000000073,57.46100000000024,75.35500000000047,61.44800000000032,62.460000000000036,73.58700000000044,80.5640000000003,
33.0,0.0,7.123999999999796,11.051000000000386,17.50799999999981,23.934000000000196,25.369000000000597,41.16100000000006,49.30699999999979,36.46399999999994,40.28600000000006,45.784999999999854,56.32999999999993,64.84900000000016,58.73099999999977,76.73700000000008,64.1180000000004,64.21200000000044,74.76900000000023,82.66200000000026,
34.0,0.0,7.303000000000793,11.481000000000677,16.918000000000575,23.796000000000276,26.8070000000007,42.728000000000065,50.021999999999935,38.280000000000655,41.95900000000074,46.793000000000575,57.60200000000077,66.5010000000002,60.23700000000008,78.50800000000072,87.03400000000056,67.51700000000073,76.21300000000065,85.41600000000017,
35.0,0.0,7.026000000000749,11.588000000000648,15.939000000000306,22.921000000000276,27.835000000000036,43.936000000000604,50.375,39.86700000000019,43.25700000000052,47.48100000000068,58.57100000000082,68.83500000000004,61.12700000000041,80.01000000000022,88.16600000000017,70.0560000000005,77.32500000000073,88.30200000000059,
36.0,0.0,6.970000000000255,11.660000000000764,15.613000000000284,22.588000000000648,28.34400000000005,45.45500000000084,50.92800000000079,42.56600000000071,44.64000000000033,48.624000000000706,60.55799999999999,70.40500000000065,62.40700000000015,81.80200000000059,89.2440000000006,72.56800000000021,78.98300000000017,115.75200000000041,
37.0,0.0,6.920999999999367,12.14599999999973,15.445999999999913,22.600999999999658,29.3179999999993,46.47699999999986,51.84099999999944,63.6869999999999,47.55799999999999,50.6279999999997,62.77899999999954,72.53799999999956,64.93199999999979,83.53499999999985,90.39899999999943,74.90599999999995,80.59599999999955,117.4359999999997,
38.0,0.0,6.539999999999964,12.216999999999643,14.957000000000335,22.242999999999483,30.078999999999724,46.84599999999955,52.44999999999982,64.02199999999993,49.097999999999956,51.90099999999984,65.05400000000009,74.10800000000017,66.21699999999964,84.98999999999978,91.51900000000023,77.27999999999975,81.96299999999974,119.01400000000012,
39.0,0.0,6.780999999999949,12.740999999999985,15.1850000000004,22.592000000000553,31.24200000000019,47.9980000000005,53.909999999999854,65.58399999999983,51.85500000000047,72.6840000000002,67.20100000000002,76.35300000000007,67.9970000000003,87.19400000000041,93.21600000000035,80.22599999999966,83.76400000000012,123.0600000000004,
40.0,0.0,6.576000000000022,13.07799999999952,15.219000000000051,23.653000000000247,33.59599999999955,48.777000000000044,55.014000000000124,66.33199999999943,72.77999999999975,73.37199999999939,68.8130000000001,77.99299999999948,69.55500000000029,88.73800000000028,94.59500000000025,82.63999999999942,85.19899999999961,124.90399999999954,
41.0,0.0,5.967000000000553,13.14600000000064,14.789999999999964,23.463999999999942,59.41400000000067,50.08300000000054,55.79700000000048,67.08600000000024,73.82800000000043,74.98700000000008,71.0010000000002,80.63300000000072,83.87800000000061,90.81800000000021,95.60600000000068,85.50300000000061,87.95800000000054,126.85100000000057,
42.0,0.0,5.551000000000386,13.083999999999833,14.536000000000058,23.168000000000575,58.89100000000053,50.77000000000044,56.5590000000002,67.3159999999998,74.18199999999979,75.46100000000024,71.96300000000065,81.89900000000034,84.91100000000006,92.72400000000016,96.66800000000057,88.56700000000001,89.85699999999997,128.84000000000015,
43.0,0.0,5.516999999999825,13.353000000000065,14.311999999999898,22.894999999999527,58.7519999999995,51.29999999999927,57.20799999999963,68.16299999999956,74.45299999999952,76.19200000000001,72.98199999999997,83.19599999999991,86.01499999999942,94.38900000000012,97.76400000000012,91.0059999999994,91.84699999999975,130.82399999999961,
44.0,0.0,5.269999999999527,13.108999999999469,13.843999999999141,22.652999999999338,57.8809999999994,51.384000000000015,57.412999999999556,68.52299999999923,74.6319999999996,76.16599999999926,73.83500000000004,83.95100000000002,86.6969999999992,95.6929999999993,100.28199999999924,94.02599999999984,94.42499999999927,132.15999999999985,
45.0,0.0,5.201000000000022,13.029000000000451,13.835000000000036,22.283000000000357,57.49499999999989,51.54899999999998,59.63600000000042,69.25800000000072,74.81500000000051,76.86200000000008,76.15100000000075,85.60100000000057,88.0590000000002,97.82500000000073,101.89400000000023,101.09300000000076,95.90300000000025,133.46900000000005,
46.0,0.0,4.641999999999825,12.106999999999971,12.777000000000044,21.425999999999476,56.100000000000364,50.95099999999911,59.10399999999936,68.69999999999891,73.2489999999998,76.77000000000044,76.33799999999974,85.96399999999994,88.65999999999985,99.82099999999991,104.44999999999891,105.14099999999962,96.47899999999936,134.14999999999964,
47.0,0.0,5.054000000000087,12.826999999999316,13.5,21.610000000000582,55.41899999999987,51.39400000000023,59.63000000000102,68.86000000000058,72.76900000000023,77.07799999999952,78.84000000000015,87.02599999999984,89.81999999999971,100.8739999999998,105.53100000000086,107.73400000000038,97.60399999999936,135.3040000000001,
48.0,0.0,4.871000000001004,13.08599999999933,13.622999999999593,21.3179999999993,55.147000000000844,51.923000000000684,59.91100000000006,69.04000000000087,72.78199999999924,77.79000000000087,80.08799999999974,88.35100000000057,91.20399999999972,102.22700000000077,106.42300000000068,110.49099999999999,100.1890000000003,137.21000000000095,
49.0,0.0,5.128999999998996,13.357999999998356,13.845999999999549,21.014999999999418,54.8219999999983,52.27899999999863,60.094999999999345,69.27199999999903,72.86799999999857,78.20999999999913,81.0619999999999,89.97399999999834,92.35399999999936,105.59099999999853,107.60599999999977,115.61199999999917,101.51800000000003,139.1239999999998,
50.0,0.0,5.44800000000032,14.09900000000016,14.708000000000538,21.042999999999665,54.814000000000306,53.0570000000007,60.79500000000007,69.83400000000074,72.9429999999993,78.93499999999949,82.28499999999985,91.60699999999997,94.26599999999962,107.39899999999943,109.29399999999987,118.70600000000013,103.13999999999942,141.13600000000042,
51.0,0.0,6.074000000000524,15.328999999999724,15.898999999999432,21.700000000000728,54.99799999999959,53.85200000000077,61.324000000000524,70.41200000000026,73.73300000000017,79.9369999999999,83.79399999999987,93.02200000000084,95.91200000000026,109.42000000000007,111.13899999999921,123.76200000000063,107.10299999999916,142.65899999999965,
52.0,0.0,6.069999999999709,18.055999999998676,17.649999999999636,21.787999999998647,55.513999999999214,54.935999999999694,61.93499999999949,70.60099999999875,73.77399999999943,80.46799999999894,84.60199999999895,94.1909999999989,97.47699999999895,110.77599999999984,112.32599999999911,126.32799999999952,138.78099999999904,144.25,
53.0,0.0,5.875,19.07499999999891,17.631999999999607,22.527000000000044,57.03700000000026,56.30999999999949,62.082000000000335,70.34900000000016,73.4409999999989,80.61099999999897,85.36399999999958,95.55500000000029,100.22600000000057,111.84599999999955,113.3109999999997,128.53800000000047,137.74599999999919,145.15699999999924,
54.0,0.0,5.899999999999636,19.560999999999694,17.34599999999955,22.306000000000495,57.58600000000115,56.9380000000001,62.6820000000007,70.26500000000124,72.97400000000016,80.76100000000042,85.91700000000128,99.05000000000109,101.2440000000006,112.88500000000022,114.22000000000116,131.04200000000128,139.5640000000003,146.57800000000134,
55.0,0.0,7.006999999999607,19.911000000000058,17.122999999999593,22.32799999999952,57.86399999999958,59.02300000000105,63.4940000000006,70.79600000000028,72.99799999999959,81.09799999999996,86.32600000000093,101.2440000000006,102.72099999999955,116.48099999999977,117.61700000000019,133.84799999999996,141.66100000000006,148.737000000001,
56.0,0.0,8.572000000000116,19.411000000000058,15.363000000001193,21.92200000000048,56.300999999999476,59.07500000000073,62.97600000000057,70.55099999999948,71.96800000000076,79.79000000000087,85.57700000000114,,,,,,,,
