,VER,PER,LEC,PIA,ALO,RUS,BEA,NOR,HAM,HUL,ALB,MAG,OCO,SAR,TSU,RIC,BOT,ZHO,STR,GAS
1.0,0.0,1.7199999999998,1.1789999999996326,3.2109999999997854,3.0119999999997162,4.9409999999998035,7.086999999999989,4.436999999999898,5.444999999999709,8.272999999999683,8.11999999999989,7.666999999999916,8.905999999999949,9.96499999999969,6.989999999999782,8.817000000000007,9.324999999999818,10.288000000000011,6.906999999999698,26.085999999999785
2.0,0.0,2.0299999999997453,1.1529999999997926,4.087999999999738,4.530999999999949,5.882000000000062,10.297000000000025,5.4780000000000655,6.780999999999949,11.903999999999996,11.467999999999847,10.983999999999924,13.182999999999993,14.177999999999884,9.657999999999902,12.646999999999935,13.594000000000051,14.621999999999844,8.795999999999822,
3.0,0.0,2.0419999999999163,1.6589999999996508,4.423999999999978,4.92699999999968,7.057999999999993,11.768999999999778,6.513999999999669,7.921999999999571,14.242999999999938,13.410999999999603,12.790999999999713,16.059999999999945,17.005999999999858,11.317999999999756,15.36999999999989,16.516999999999825,17.810999999999694,10.542999999999665,
4.0,0.0,2.3339999999998327,3.117999999999938,5.2590000000000146,5.918999999999869,8.336999999999989,13.659999999999854,7.656999999999698,9.83999999999969,16.7199999999998,15.210000000000036,14.403999999999996,18.567000000000007,19.79599999999982,12.942000000000007,17.886999999999716,19.179999999999836,20.583000000000084,12.523999999999887,
5.0,0.0,2.463999999999942,3.5450000000000728,5.860999999999876,6.476000000000113,9.532000000000153,15.297999999999774,8.603999999999814,10.991999999999734,18.48799999999983,16.8449999999998,16.13299999999981,20.61499999999978,22.045000000000073,14.576000000000022,19.630999999999858,21.46900000000005,22.865999999999985,14.128999999999905,
6.0,0.0,2.630000000000109,4.113000000000284,6.594000000000051,7.279999999999745,10.916000000000167,17.743999999999687,9.942000000000007,12.393000000000029,21.210000000000036,19.14599999999973,18.48400000000038,23.73700000000008,24.572000000000116,17.175000000000182,21.80199999999968,24.01800000000003,26.261999999999716,-9.057999999999993,
7.0,0.0,4.326000000000022,6.025000000000546,10.395000000000437,11.244000000000597,16.83300000000054,25.993000000000393,14.047999999999774,17.60199999999986,28.015000000000327,27.840000000000146,27.128999999999905,33.52000000000044,36.0029999999997,25.170000000000073,31.35699999999997,34.67900000000009,36.103000000000065,,
8.0,1.09900000000016,3.5780000000004293,4.454000000000633,6.665000000000873,8.468000000000757,12.38000000000011,17.514000000000124,0.0,3.1520000000000437,10.332000000000335,19.733000000000175,19.041000000000167,21.75800000000072,25.191000000000713,16.68000000000029,36.96400000000085,23.941000000000713,14.524000000000342,,
9.0,0.2529999999997017,0.7529999999997017,1.2579999999998108,1.3239999999996144,1.6710000000002765,2.087999999999738,2.895999999999731,0.0,0.5349999999998545,1.7039999999997235,3.425000000000182,3.13799999999992,3.769999999999527,4.636999999999716,2.8409999999994398,5.226999999999862,4.036000000000058,2.270999999999731,,
10.0,0.9250000000001819,2.405999999999949,2.9880000000002838,3.7399999999997817,4.614999999999782,5.679000000000087,6.970999999999549,0.0,1.4399999999995998,5.148000000000138,9.390999999999622,8.248999999999796,8.856999999999971,10.426000000000386,7.71100000000024,10.864999999999782,9.765999999999622,6.33600000000024,,
11.0,0.8609999999998763,2.5910000000003492,3.756999999999607,4.514000000000124,5.471000000000458,7.052999999999884,8.942000000000007,0.0,2.100000000000364,6.337999999999738,11.948999999999614,10.610999999999876,11.152000000000044,13.220000000000255,9.774999999999636,14.010000000000218,12.547999999999774,8.356999999999971,,
12.0,0.30499999999938154,2.6439999999993233,3.4789999999993597,4.582999999999629,6.3289999999997235,7.66399999999976,9.971999999999753,0.0,2.2409999999999854,7.0659999999998035,13.51299999999992,11.962999999999738,12.674999999999272,14.984999999999673,11.160999999999149,16.227999999999156,14.497999999999593,9.477999999999156,,
13.0,0.0,3.2479999999995925,4.657000000000153,5.47400000000016,7.543999999999869,9.29699999999957,11.676000000000386,1.681999999999789,4.104000000000269,8.984000000000378,15.277000000000044,13.576000000000022,14.332999999999629,17.287000000000262,13.037000000000262,19.115999999999985,16.496000000000095,11.384000000000015,,
14.0,0.0,3.8679999999994834,5.501999999999498,6.710999999999331,9.226999999999862,10.481999999999971,13.96099999999933,2.4589999999998327,5.250999999999294,12.27099999999973,17.263999999999214,15.93499999999949,16.570999999999913,19.299999999999272,15.417999999999665,21.527999999999338,18.725999999999658,14.847999999999956,,
15.0,0.0,3.8059999999995853,6.2150000000001455,7.507999999999811,10.393000000000029,11.773000000000138,15.567000000000007,2.8909999999996217,7.094000000000051,14.253999999999905,19.284999999999854,18.16899999999987,18.77599999999984,21.389000000000124,17.858000000000175,23.48199999999997,20.93499999999949,17.389000000000124,,
16.0,0.0,4.149999999999636,7.055999999999585,8.694999999999709,11.97400000000016,13.219000000000051,17.090000000000146,3.556999999999789,8.336999999999534,16.215000000000146,22.563000000000102,21.077000000000226,21.828999999999724,24.259000000000015,20.661000000000058,26.095000000000255,24.56800000000021,20.261999999999716,,
17.0,0.0,5.259999999999309,8.069999999999709,10.692999999999302,13.609999999999673,15.067000000000007,18.711999999999534,4.994999999999891,10.088999999999942,18.360999999999876,26.532999999999447,24.638999999999214,26.03399999999965,27.536000000000058,25.204999999999927,29.302999999999884,28.74699999999939,23.085000000000036,,
