,DriverNumber,Abbreviation,DriverId,TeamName,TeamColor,TeamId,Position,ClassifiedPosition,Q1,Q2,Q3,Time,Event_Name
0,16,LEC,leclerc,Ferrari,ed1c24,ferrari,1.0,,0 days 00:01:29.474000,0 days 00:01:29.130000,0 days 00:01:28.796000,,Miami Grand Prix
1,55,SAI,sainz,Ferrari,ed1c24,ferrari,2.0,,0 days 00:01:30.079000,0 days 00:01:29.729000,0 days 00:01:28.986000,,Miami Grand Prix
2,1,VER,max_verstappen,Red Bull Racing,1e5bc6,red_bull,3.0,,0 days 00:01:29.836000,0 days 00:01:29.202000,0 days 00:01:28.991000,,Miami Grand Prix
3,11,PER,perez,Red Bull Racing,1e5bc6,red_bull,4.0,,0 days 00:01:30.055000,0 days 00:01:29.673000,0 days 00:01:29.036000,,Miami Grand Prix
4,77,BOT,bottas,Alfa Romeo,b12039,alfa,5.0,,0 days 00:01:30.845000,0 days 00:01:29.751000,0 days 00:01:29.475000,,Miami Grand Prix
5,44,HAM,hamilton,Mercedes,6cd3bf,mercedes,6.0,,0 days 00:01:30.388000,0 days 00:01:29.797000,0 days 00:01:29.625000,,Miami Grand Prix
6,10,GAS,gasly,AlphaTauri,4e7c9b,alphatauri,7.0,,0 days 00:01:30.779000,0 days 00:01:30.128000,0 days 00:01:29.690000,,Miami Grand Prix
7,4,NOR,norris,McLaren,f58020,mclaren,8.0,,0 days 00:01:30.761000,0 days 00:01:29.634000,0 days 00:01:29.750000,,Miami Grand Prix
8,22,TSU,tsunoda,AlphaTauri,4e7c9b,alphatauri,9.0,,0 days 00:01:30.485000,0 days 00:01:30.031000,0 days 00:01:29.932000,,Miami Grand Prix
9,18,STR,stroll,Aston Martin,2d826d,aston_martin,10.0,,0 days 00:01:30.441000,0 days 00:01:29.996000,0 days 00:01:30.676000,,Miami Grand Prix
10,14,ALO,alonso,Alpine,2293d1,alpine,11.0,,0 days 00:01:30.407000,0 days 00:01:30.160000,,,Miami Grand Prix
11,63,RUS,russell,Mercedes,6cd3bf,mercedes,12.0,,0 days 00:01:30.490000,0 days 00:01:30.173000,,,Miami Grand Prix
12,5,VET,vettel,Aston Martin,2d826d,aston_martin,13.0,,0 days 00:01:30.677000,0 days 00:01:30.214000,,,Miami Grand Prix
13,3,RIC,ricciardo,McLaren,f58020,mclaren,14.0,,0 days 00:01:30.583000,0 days 00:01:30.310000,,,Miami Grand Prix
14,47,MSC,mick_schumacher,Haas F1 Team,b6babd,haas,15.0,,0 days 00:01:30.645000,0 days 00:01:30.423000,,,Miami Grand Prix
15,20,MAG,kevin_magnussen,Haas F1 Team,b6babd,haas,16.0,,0 days 00:01:30.975000,,,,Miami Grand Prix
16,24,ZHO,zhou,Alfa Romeo,b12039,alfa,17.0,,0 days 00:01:31.020000,,,,Miami Grand Prix
17,23,ALB,albon,Williams,37bedd,williams,18.0,,0 days 00:01:31.266000,,,,Miami Grand Prix
18,6,LAT,latifi,Williams,37bedd,williams,19.0,,0 days 00:01:31.325000,,,,Miami Grand Prix
19,31,OCO,ocon,Alpine,2293d1,alpine,20.0,,,,,,Miami Grand Prix
20,16,LEC,leclerc,Ferrari,ed1c24,ferrari,1.0,,0 days 00:01:19.861000,0 days 00:01:19.969000,0 days 00:01:18.750000,,Spanish Grand Prix
21,1,VER,max_verstappen,Red Bull Racing,1e5bc6,red_bull,2.0,,0 days 00:01:20.091000,0 days 00:01:19.219000,0 days 00:01:19.073000,,Spanish Grand Prix
22,55,SAI,sainz,Ferrari,ed1c24,ferrari,3.0,,0 days 00:01:19.892000,0 days 00:01:19.453000,0 days 00:01:19.166000,,Spanish Grand Prix
23,63,RUS,russell,Mercedes,6cd3bf,mercedes,4.0,,0 days 00:01:20.218000,0 days 00:01:19.470000,0 days 00:01:19.393000,,Spanish Grand Prix
