,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Session_ID,Event_Name
0,0 days 00:20:19.908000,VER,1,,1.0,1.0,0 days 00:18:33.392000,,,0 days 00:00:46.433000,0 days 00:00:27.011000,,0 days 00:19:53.059000,0 days 00:20:20.023000,209.0,244.0,276.0,193.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:18:33.392000,2022-03-18 12:03:33.405,1,,False,,False,False,19.9,37.0,1016.0,False,36.0,359,0.6,Practice 1,Bahrain Grand Prix
1,0 days 00:21:57.674000,VER,1,0 days 00:01:37.766000,2.0,1.0,,,0 days 00:00:30.695000,0 days 00:00:41.580000,0 days 00:00:25.491000,0 days 00:20:50.603000,0 days 00:21:32.183000,0 days 00:21:57.674000,228.0,263.0,176.0,306.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:20:19.908000,2022-03-18 12:05:19.921,12,,False,,False,True,19.9,36.0,1016.0,False,36.1,350,1.0,Practice 1,Bahrain Grand Prix
2,0 days 00:36:10.140000,VER,1,,3.0,1.0,,0 days 00:24:20.357000,0 days 00:00:47.032000,,,0 days 00:22:44.832000,,,163.0,,,180.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:21:57.674000,2022-03-18 12:06:57.687,251,,False,,False,False,19.7,37.0,1016.0,False,35.6,346,0.8,Practice 1,Bahrain Grand Prix
3,0 days 00:38:04.834000,VER,1,,4.0,2.0,0 days 00:36:10.140000,,,0 days 00:00:45.882000,0 days 00:00:35.730000,,0 days 00:37:29.212000,0 days 00:38:04.888000,206.0,236.0,276.0,190.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:36:10.140000,2022-03-18 12:21:10.153,1,,False,,False,False,20.0,36.0,1016.2,False,35.0,13,0.8,Practice 1,Bahrain Grand Prix
4,0 days 00:39:39.617000,VER,1,0 days 00:01:34.783000,5.0,2.0,,,0 days 00:00:30.119000,0 days 00:00:40.789000,0 days 00:00:23.875000,0 days 00:38:34.953000,0 days 00:39:15.742000,0 days 00:39:39.617000,232.0,263.0,278.0,309.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:38:04.834000,2022-03-18 12:23:04.847,1,,False,,False,True,19.9,36.0,1016.0,False,35.0,356,1.1,Practice 1,Bahrain Grand Prix
5,0 days 00:41:48.377000,VER,1,0 days 00:02:08.760000,6.0,2.0,,,0 days 00:00:42.765000,0 days 00:01:00.164000,0 days 00:00:25.831000,0 days 00:40:22.382000,0 days 00:41:22.546000,0 days 00:41:48.377000,146.0,181.0,278.0,288.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:39:39.617000,2022-03-18 12:24:39.630,1,,False,,False,True,19.9,37.0,1016.0,False,34.6,6,1.2,Practice 1,Bahrain Grand Prix
6,0 days 00:43:23.119000,VER,1,0 days 00:01:34.742000,7.0,2.0,,,0 days 00:00:30.224000,0 days 00:00:40.815000,0 days 00:00:23.703000,0 days 00:42:18.601000,0 days 00:42:59.416000,0 days 00:43:23.119000,231.0,263.0,279.0,310.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:41:48.377000,2022-03-18 12:26:48.390,1,,False,,False,True,19.9,38.0,1016.0,False,34.4,357,0.9,Practice 1,Bahrain Grand Prix
7,0 days 00:45:16.337000,VER,1,0 days 00:01:53.218000,8.0,2.0,,0 days 00:45:14.568000,0 days 00:00:34.951000,0 days 00:00:49.152000,0 days 00:00:29.115000,0 days 00:43:58.070000,0 days 00:44:47.222000,0 days 00:45:16.337000,179.0,200.0,,258.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:43:23.119000,2022-03-18 12:28:23.132,1,,False,,False,False,19.9,36.0,1016.0,True,34.6,7,0.6,Practice 1,Bahrain Grand Prix
8,0 days 00:56:26.499000,VER,1,,9.0,3.0,0 days 00:54:27.597000,0 days 00:56:24.693000,,0 days 00:00:44.702000,0 days 00:00:28.840000,,0 days 00:55:57.772000,0 days 00:56:26.499000,204.0,243.0,,192.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:45:16.337000,2022-03-18 12:30:16.350,12,,False,,False,False,19.9,37.0,1016.0,False,34.6,18,0.9,Practice 1,Bahrain Grand Prix
9,0 days 00:58:37.303000,VER,1,0 days 00:02:10.804000,10.0,4.0,0 days 00:56:46.437000,,0 days 00:01:03.657000,0 days 00:00:42.700000,0 days 00:00:24.447000,0 days 00:57:30.156000,0 days 00:58:12.856000,0 days 00:58:37.303000,227.0,254.0,270.0,199.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:56:26.499000,2022-03-18 12:41:26.512,12,,False,,False,False,20.0,36.0,1016.0,False,34.2,347,0.8,Practice 1,Bahrain Grand Prix
