,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:26.814000,VER,Red Bull Racing,0.0
1,0 days 00:01:26.841000,PER,Red Bull Racing,0.027
2,0 days 00:01:26.964000,LEC,Ferrari,0.15
3,0 days 00:01:27.097000,ALO,Aston Martin,0.283
4,0 days 00:01:27.148000,SAI,Ferrari,0.334
5,0 days 00:01:27.444000,OCO,Alpine,0.63
6,0 days 00:01:27.564000,BOT,Alfa Romeo,0.75
7,0 days 00:01:27.612000,GAS,Alpine,0.798
8,0 days 00:01:27.673000,MAG,Haas F1 Team,0.859
9,0 days 00:01:27.743000,RUS,Mercedes,0.929
10,0 days 00:01:27.795000,ALB,Williams,0.981
11,0 days 00:01:27.846000,HAM,Mercedes,1.032
12,0 days 00:01:27.903000,HUL,Haas F1 Team,1.089
13,0 days 00:01:28.091000,ZHO,Alfa Romeo,1.277
14,0 days 00:01:28.325000,DEV,AlphaTauri,1.511
15,0 days 00:01:28.394000,NOR,McLaren,1.58
16,0 days 00:01:28.429000,TSU,AlphaTauri,1.615
17,0 days 00:01:28.476000,STR,Aston Martin,1.662
18,0 days 00:01:28.484000,PIA,McLaren,1.67
19,0 days 00:01:28.577000,SAR,Williams,1.763
