,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:11.365000,VER,Red Bull Racing,0.0
1,0 days 00:01:11.449000,ALO,Aston Martin,0.084
2,0 days 00:01:11.471000,LEC,Ferrari,0.106
3,0 days 00:01:11.553000,OCO,Alpine,0.188
4,0 days 00:01:11.630000,SAI,Ferrari,0.265
5,0 days 00:01:11.725000,HAM,Mercedes,0.36
6,0 days 00:01:11.933000,GAS,Alpine,0.568
7,0 days 00:01:11.964000,RUS,Mercedes,0.599
8,0 days 00:01:12.082000,TSU,AlphaTauri,0.717
9,0 days 00:01:12.254000,NOR,McLaren,0.889
10,0 days 00:01:12.395000,PIA,McLaren,1.03
11,0 days 00:01:12.428000,DEV,AlphaTauri,1.063
12,0 days 00:01:12.527000,ALB,Williams,1.162
13,0 days 00:01:12.623000,STR,Aston Martin,1.258
14,0 days 00:01:12.625000,BOT,Alfa Romeo,1.26
15,0 days 00:01:13.113000,SAR,Williams,1.748
16,0 days 00:01:13.270000,MAG,Haas F1 Team,1.905
17,0 days 00:01:13.279000,HUL,Haas F1 Team,1.914
18,0 days 00:01:13.523000,ZHO,Alfa Romeo,2.158
19,0 days 00:01:13.850000,PER,Red Bull Racing,2.485
