,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:23.778000,VER,Red Bull Racing,0.0
1,0 days 00:01:24.219000,RUS,Mercedes,0.441
2,0 days 00:01:24.305000,HAM,Mercedes,0.527
3,0 days 00:01:24.369000,ALO,Aston Martin,0.591
4,0 days 00:01:24.424000,LEC,Ferrari,0.646
5,0 days 00:01:24.540000,PIA,McLaren,0.762
6,0 days 00:01:24.553000,GAS,Alpine,0.775
7,0 days 00:01:24.685000,NOR,McLaren,0.907
8,0 days 00:01:24.763000,OCO,Alpine,0.985
9,0 days 00:01:25.058000,BOT,Alfa Romeo,1.28
10,0 days 00:01:25.301000,TSU,AlphaTauri,1.523
11,0 days 00:01:25.328000,SAI,Ferrari,1.55
12,0 days 00:01:25.462000,PER,Red Bull Racing,1.684
13,0 days 00:01:25.707000,ALB,Williams,1.929
14,0 days 00:01:25.783000,HUL,Haas F1 Team,2.005
15,0 days 00:01:26.210000,SAR,Williams,2.432
16,0 days 00:01:26.345000,STR,Aston Martin,2.567
17,0 days 00:01:26.635000,LAW,AlphaTauri,2.857
18,0 days 00:01:27.046000,MAG,Haas F1 Team,3.268
19,0 days 00:01:27.432000,ZHO,Alfa Romeo,3.654
