,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:20.294000,SAI,Ferrari,0.0
1,0 days 00:01:20.307000,VER,Red Bull Racing,0.013
2,0 days 00:01:20.361000,LEC,Ferrari,0.067
3,0 days 00:01:20.671000,RUS,Mercedes,0.377
4,0 days 00:01:20.688000,PER,Red Bull Racing,0.394
5,0 days 00:01:20.760000,ALB,Williams,0.466
6,0 days 00:01:20.785000,PIA,McLaren,0.491
7,0 days 00:01:20.820000,HAM,Mercedes,0.526
8,0 days 00:01:20.979000,NOR,McLaren,0.685
9,0 days 00:01:21.417000,ALO,Aston Martin,1.123
10,0 days 00:01:21.594000,TSU,AlphaTauri,1.3
11,0 days 00:01:21.758000,LAW,AlphaTauri,1.464
12,0 days 00:01:21.776000,HUL,Haas F1 Team,1.482
13,0 days 00:01:21.930000,SAR,Williams,1.636
14,0 days 00:01:21.940000,BOT,Alfa Romeo,1.646
15,0 days 00:01:22.390000,ZHO,Alfa Romeo,2.096
16,0 days 00:01:22.545000,GAS,Alpine,2.251
17,0 days 00:01:22.548000,OCO,Alpine,2.254
18,0 days 00:01:22.592000,MAG,Haas F1 Team,2.298
19,0 days 00:01:22.860000,STR,Aston Martin,2.566
