,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:26.720000,VER,Red Bull Racing,0.0
1,0 days 00:01:26.961000,NOR,McLaren,0.241
2,0 days 00:01:27.092000,PIA,McLaren,0.372
3,0 days 00:01:27.136000,LEC,Ferrari,0.416
4,0 days 00:01:27.148000,SAI,Ferrari,0.428
5,0 days 00:01:27.155000,RUS,Mercedes,0.435
6,0 days 00:01:27.211000,HAM,Mercedes,0.491
7,0 days 00:01:27.530000,ALB,Williams,0.81
8,0 days 00:01:27.659000,ALO,Aston Martin,0.939
9,0 days 00:01:27.689000,GAS,Alpine,0.969
10,0 days 00:01:28.896000,HUL,Haas F1 Team,2.176
11,0 days 00:01:28.935000,STR,Aston Martin,2.215
12,0 days 00:01:28.956000,OCO,Alpine,2.236
13,0 days 00:01:29.031000,SAR,Williams,2.311
14,0 days 00:01:29.798000,BOT,Alfa Romeo,3.078
15,0 days 00:01:29.968000,PER,Red Bull Racing,3.248
16,0 days 00:01:30.025000,TSU,AlphaTauri,3.305
17,0 days 00:01:30.123000,ZHO,Alfa Romeo,3.403
18,0 days 00:01:30.513000,DEV,AlphaTauri,3.793
19,0 days 00:01:32.378000,MAG,Haas F1 Team,5.658
