,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:10.021000,NOR,McLaren,0.0
1,0 days 00:01:10.162000,VER,Red Bull Racing,0.141
2,0 days 00:01:10.219000,PER,Red Bull Racing,0.198
3,0 days 00:01:10.237000,ALO,Aston Martin,0.216
4,0 days 00:01:10.254000,SAI,Ferrari,0.233
5,0 days 00:01:10.266000,HAM,Mercedes,0.245
6,0 days 00:01:10.303000,LEC,Ferrari,0.282
7,0 days 00:01:10.316000,RUS,Mercedes,0.295
8,0 days 00:01:10.330000,PIA,McLaren,0.309
9,0 days 00:01:10.375000,STR,Aston Martin,0.354
10,0 days 00:01:10.475000,HUL,Haas F1 Team,0.454
11,0 days 00:01:10.562000,OCO,Alpine,0.541
12,0 days 00:01:10.567000,GAS,Alpine,0.546
13,0 days 00:01:10.602000,MAG,Haas F1 Team,0.581
14,0 days 00:01:10.621000,ALB,Williams,0.6
15,0 days 00:01:10.837000,TSU,AlphaTauri,0.816
16,0 days 00:01:10.843000,RIC,AlphaTauri,0.822
17,0 days 00:01:10.955000,BOT,Alfa Romeo,0.934
18,0 days 00:01:11.035000,SAR,Williams,1.014
19,0 days 00:01:11.275000,ZHO,Alfa Romeo,1.254
