,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:28.265000,PER,Red Bull Racing,0.0
1,0 days 00:01:28.420000,LEC,Ferrari,0.155
2,0 days 00:01:28.730000,ALO,Aston Martin,0.465
3,0 days 00:01:28.761000,VER,Red Bull Racing,0.496
4,0 days 00:01:28.857000,RUS,Mercedes,0.592
5,0 days 00:01:28.931000,SAI,Ferrari,0.666
6,0 days 00:01:28.945000,STR,Aston Martin,0.68
7,0 days 00:01:29.078000,OCO,Alpine,0.813
8,0 days 00:01:29.223000,HAM,Mercedes,0.958
9,0 days 00:01:29.243000,PIA,McLaren,0.978
10,0 days 00:01:29.357000,GAS,Alpine,1.092
11,0 days 00:01:29.451000,HUL,Haas F1 Team,1.186
12,0 days 00:01:29.461000,ZHO,Alfa Romeo,1.196
13,0 days 00:01:29.634000,MAG,Haas F1 Team,1.369
14,0 days 00:01:29.668000,BOT,Alfa Romeo,1.403
15,0 days 00:01:29.939000,TSU,AlphaTauri,1.674
16,0 days 00:01:29.994000,ALB,Williams,1.729
17,0 days 00:01:30.244000,DEV,AlphaTauri,1.979
18,0 days 00:01:30.447000,NOR,McLaren,2.182
19,0 days 00:02:08.510000,SAR,Williams,40.245
