,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:18.725000,ALB,Williams,0.0
1,0 days 00:01:19.092000,VER,Red Bull Racing,0.367
2,0 days 00:01:19.347000,NOR,McLaren,0.622
3,0 days 00:01:19.659000,PIA,McLaren,0.934
4,0 days 00:01:19.776000,ALO,Aston Martin,1.051
5,0 days 00:01:19.856000,SAI,Ferrari,1.131
6,0 days 00:01:20.098000,RUS,Mercedes,1.373
7,0 days 00:01:20.305000,HUL,Haas F1 Team,1.58
8,0 days 00:01:20.406000,OCO,Alpine,1.681
9,0 days 00:01:20.426000,HAM,Mercedes,1.701
10,0 days 00:01:20.615000,LEC,Ferrari,1.89
11,0 days 00:01:20.959000,PER,Red Bull Racing,2.234
12,0 days 00:01:21.484000,STR,Aston Martin,2.759
13,0 days 00:01:21.678000,MAG,Haas F1 Team,2.953
14,0 days 00:01:21.821000,BOT,Alfa Romeo,3.096
15,0 days 00:01:22.746000,TSU,AlphaTauri,4.021
16,0 days 00:01:22.886000,GAS,Alpine,4.161
17,0 days 00:01:23.137000,DEV,AlphaTauri,4.412
18,0 days 00:01:23.337000,SAR,Williams,4.612
19,0 days 00:01:23.342000,ZHO,Alfa Romeo,4.617
