,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:29.708000,VER,Red Bull Racing,0.0
1,0 days 00:01:29.846000,PER,Red Bull Racing,0.138
2,0 days 00:01:30,LEC,Ferrari,0.292
3,0 days 00:01:30.154000,SAI,Ferrari,0.446
4,0 days 00:01:30.336000,ALO,Aston Martin,0.628
5,0 days 00:01:30.340000,RUS,Mercedes,0.632
6,0 days 00:01:30.384000,HAM,Mercedes,0.676
7,0 days 00:01:30.809000,HUL,Haas F1 Team,1.101
8,0 days 00:01:30.836000,STR,Aston Martin,1.128
9,0 days 00:01:30.914000,OCO,Alpine,1.206
10,0 days 00:01:31.381000,NOR,McLaren,1.673
11,0 days 00:01:31.400000,TSU,AlphaTauri,1.692
12,0 days 00:01:31.443000,BOT,Alfa Romeo,1.735
13,0 days 00:01:31.461000,ALB,Williams,1.753
14,0 days 00:01:31.473000,ZHO,Alfa Romeo,1.765
15,0 days 00:01:31.652000,SAR,Williams,1.944
16,0 days 00:01:31.892000,MAG,Haas F1 Team,2.184
17,0 days 00:01:32.101000,PIA,McLaren,2.393
18,0 days 00:01:32.121000,DEV,AlphaTauri,2.413
19,0 days 00:01:32.181000,GAS,Alpine,2.473
