Driver,Position,Time,Status,Points
VER,1,02:02:30.814000,Finished,25
HAM,2,+00:00:13.875000,Finished,19
LEC,3,+00:00:23.124000,Finished,15
SAI,4,+00:00:27.154000,Finished,12
NOR,5,+00:00:33.266000,Finished,10
RUS,6,+00:00:41.020000,Finished,8
RIC,7,+00:00:41.570000,Finished,6
PIA,8,+00:00:43.104000,Finished,4
ALB,9,+00:00:48.573000,Finished,2
OCO,10,+00:01:02.879000,Finished,1
GAS,11,+00:01:06.208000,Finished,0
TSU,12,+00:01:18.982000,Finished,0
HUL,13,+00:01:20.309000,Finished,0
ZHO,14,+00:01:21.676000,Finished,0
BOT,15,+00:01:25.597000,Finished,0
SAR,16,,Retired,0
STR,17,,Collision damage,0
ALO,18,,Withdrew,0
MAG,19,,Accident,0
PER,20,,Collision damage,0
