Driver,Position,Time,Status,Points
SAI,1,01:46:37.418000,Finished,25
NOR,2,+00:00:00.812000,Finished,18
HAM,3,+00:00:01.269000,Finished,16
LEC,4,+00:00:21.177000,Finished,12
VER,5,+00:00:21.441000,Finished,10
GAS,6,+00:00:38.441000,Finished,8
PIA,7,+00:00:41.479000,Finished,6
PER,8,+00:00:59.534000,Finished,4
LAW,9,+00:01:05.918000,Finished,2
MAG,10,+00:01:12.116000,Finished,1
ALB,11,+00:01:13.417000,Finished,0
ZHO,12,+00:01:23.649000,Finished,0
HUL,13,+00:01:26.201000,Finished,0
SAR,14,+00:01:26.889000,Finished,0
ALO,15,+00:01:27.603000,Finished,0
RUS,16,,Accident,0
BOT,17,,Technical,0
OCO,18,,Gearbox,0
TSU,19,,Collision,0
STR,20,,Withdrew,0
