Driver,Position,Time,Status,Points
VER,1,01:13:41.143000,Finished,25
PER,2,+00:00:06.064000,Finished,18
SAI,3,+00:00:11.193000,Finished,15
LEC,4,+00:00:11.377000,Finished,12
RUS,5,+00:00:23.028000,Finished,10
HAM,6,+00:00:42.679000,Finished,8
ALB,7,+00:00:45.106000,Finished,6
NOR,8,+00:00:45.449000,Finished,4
ALO,9,+00:00:46.294000,Finished,2
BOT,10,+00:01:04.056000,Finished,1
LAW,11,+00:01:10.638000,Finished,0
PIA,12,+00:01:13.074000,Finished,0
SAR,13,+00:01:18.557000,Finished,0
ZHO,14,+00:01:20.164000,Finished,0
GAS,15,+00:01:22.510000,Finished,0
STR,16,+00:01:27.266000,Finished,0
HUL,17,,+1 Lap,0
MAG,18,,+1 Lap,0
OCO,19,,Steering,0
TSU,20,,Engine,0
