Driver,Position,Time,Status,Points
VER,1,01:29:08.289000,Finished,25
LEC,2,+00:00:02.070000,Finished,18
PER,3,+00:00:02.241000,Finished,15
OCO,4,+00:00:18.665000,Finished,12
STR,5,+00:00:20.067000,Finished,10
SAI,6,+00:00:20.834000,Finished,8
HAM,7,+00:00:21.755000,Finished,6
RUS,8,+00:00:23.091000,Finished,4
ALO,9,+00:00:25.964000,Finished,2
PIA,10,+00:00:29.496000,Finished,2
GAS,11,+00:00:34.270000,Finished,0
ALB,12,+00:00:43.398000,Finished,0
MAG,13,+00:00:44.825000,Finished,0
RIC,14,+00:00:48.525000,Finished,0
ZHO,15,+00:00:50.162000,Finished,0
SAR,16,+00:00:50.882000,Finished,0
BOT,17,+00:01:25.350000,Finished,0
TSU,18,,Gearbox,0
HUL,19,,Engine,0
NOR,20,,Accident,0
