,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:28.197000,VER,Red Bull Racing,0.0
1,0 days 00:01:28.263000,PER,Red Bull Racing,0.066
2,0 days 00:01:28.489000,NOR,McLaren,0.292
3,0 days 00:01:28.682000,SAI,Ferrari,0.485
4,0 days 00:01:28.686000,ALO,Aston Martin,0.489
5,0 days 00:01:28.760000,PIA,McLaren,0.563
6,0 days 00:01:28.766000,HAM,Mercedes,0.569
7,0 days 00:01:28.786000,LEC,Ferrari,0.589
8,0 days 00:01:29.008000,RUS,Mercedes,0.811
9,0 days 00:01:29.413000,TSU,RB,1.216
10,0 days 00:01:29.472000,RIC,RB,1.275
11,0 days 00:01:29.494000,HUL,Haas F1 Team,1.297
12,0 days 00:01:29.593000,BOT,Kick Sauber,1.396
13,0 days 00:01:29.714000,ALB,Williams,1.517
14,0 days 00:01:29.811000,OCO,Alpine,1.614
15,0 days 00:01:30.024000,STR,Aston Martin,1.827
16,0 days 00:01:30.119000,GAS,Alpine,1.922
17,0 days 00:01:30.131000,MAG,Haas F1 Team,1.934
18,0 days 00:01:30.139000,SAR,Williams,1.942
19,0 days 00:01:30.143000,ZHO,Kick Sauber,1.946
