,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:29.525000,NOR,McLaren,0.0
1,0 days 00:01:29.640000,PIA,McLaren,0.115
2,0 days 00:01:29.680000,VER,Red Bull Racing,0.155
3,0 days 00:01:29.747000,LEC,Ferrari,0.222
4,0 days 00:01:29.841000,HAM,Mercedes,0.316
5,0 days 00:01:29.867000,RUS,Mercedes,0.342
6,0 days 00:01:30.108000,SAI,Ferrari,0.583
7,0 days 00:01:30.115000,HUL,Haas F1 Team,0.59
8,0 days 00:01:30.214000,ALO,Aston Martin,0.689
9,0 days 00:01:30.289000,TSU,RB,0.764
10,0 days 00:01:30.474000,ALB,Williams,0.949
11,0 days 00:01:30.481000,COL,Williams,0.956
12,0 days 00:01:30.579000,PER,Red Bull Racing,1.054
13,0 days 00:01:30.653000,MAG,Haas F1 Team,1.128
14,0 days 00:01:30.769000,OCO,Alpine,1.244
15,0 days 00:01:31.085000,RIC,RB,1.56
16,0 days 00:01:31.094000,STR,Aston Martin,1.569
17,0 days 00:01:31.312000,GAS,Alpine,1.787
18,0 days 00:01:31.572000,BOT,Kick Sauber,2.047
19,0 days 00:01:32.054000,ZHO,Kick Sauber,2.529
