,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:22.595000,NOR,McLaren,0.0
1,0 days 00:01:22.804000,PIA,McLaren,0.209
2,0 days 00:01:22.824000,SAI,Ferrari,0.229
3,0 days 00:01:22.886000,HUL,Haas F1 Team,0.291
4,0 days 00:01:22.945000,VER,Red Bull Racing,0.35
5,0 days 00:01:22.984000,GAS,Alpine,0.389
6,0 days 00:01:23.132000,RUS,Mercedes,0.537
7,0 days 00:01:23.196000,ALO,Aston Martin,0.601
8,0 days 00:01:23.204000,BOT,Kick Sauber,0.609
9,0 days 00:01:23.264000,PER,Red Bull Racing,0.669
10,0 days 00:01:23.302000,LEC,Ferrari,0.707
11,0 days 00:01:23.419000,TSU,RB,0.824
12,0 days 00:01:23.472000,LAW,RB,0.877
13,0 days 00:01:23.632000,MAG,Haas F1 Team,1.037
14,0 days 00:01:23.729000,STR,Aston Martin,1.134
15,0 days 00:01:23.821000,ALB,Williams,1.226
16,0 days 00:01:23.880000,ZHO,Kick Sauber,1.285
17,0 days 00:01:23.887000,HAM,Mercedes,1.292
18,0 days 00:01:23.912000,COL,Williams,1.317
19,0 days 00:01:24.105000,DOO,Alpine,1.51
