,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:53.159000,VER,Red Bull Racing,0.0
1,0 days 00:01:53.754000,LEC,Ferrari,0.595
2,0 days 00:01:53.765000,PER,Red Bull Racing,0.606
3,0 days 00:01:53.835000,HAM,Mercedes,0.676
4,0 days 00:01:53.981000,NOR,McLaren,0.822
5,0 days 00:01:54.027000,PIA,McLaren,0.868
6,0 days 00:01:54.095000,RUS,Mercedes,0.936
7,0 days 00:01:54.112000,SAI,Ferrari,0.953
8,0 days 00:01:54.258000,ALO,Aston Martin,1.099
9,0 days 00:01:54.460000,OCO,Alpine,1.301
10,0 days 00:01:54.473000,ALB,Williams,1.314
11,0 days 00:01:54.635000,GAS,Alpine,1.476
12,0 days 00:01:54.682000,RIC,RB,1.523
13,0 days 00:01:54.764000,BOT,Kick Sauber,1.605
14,0 days 00:01:55.716000,STR,Aston Martin,2.557
15,0 days 00:01:56.308000,HUL,Haas F1 Team,3.149
16,0 days 00:01:56.500000,MAG,Haas F1 Team,3.341
17,0 days 00:01:56.593000,TSU,RB,3.434
18,0 days 00:01:57.230000,SAR,Williams,4.071
19,0 days 00:01:57.775000,ZHO,Kick Sauber,4.616
