,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:32.330000,NOR,McLaren,0.0
1,0 days 00:01:32.361000,VER,Red Bull Racing,0.031
2,0 days 00:01:32.652000,SAI,Ferrari,0.322
3,0 days 00:01:32.740000,LEC,Ferrari,0.41
4,0 days 00:01:32.950000,PIA,McLaren,0.62
5,0 days 00:01:32.974000,RUS,Mercedes,0.644
6,0 days 00:01:33.018000,GAS,Alpine,0.688
7,0 days 00:01:33.020000,PER,Red Bull Racing,0.69
8,0 days 00:01:33.309000,ALO,Aston Martin,0.979
9,0 days 00:01:33.339000,LAW,RB,1.009
10,0 days 00:01:33.474000,MAG,Haas F1 Team,1.144
11,0 days 00:01:33.506000,TSU,RB,1.176
12,0 days 00:01:33.544000,HUL,Haas F1 Team,1.214
13,0 days 00:01:33.597000,OCO,Alpine,1.267
14,0 days 00:01:33.759000,STR,Aston Martin,1.429
15,0 days 00:01:34.051000,ALB,Williams,1.721
16,0 days 00:01:34.062000,COL,Williams,1.732
17,0 days 00:01:34.152000,BOT,Kick Sauber,1.822
18,0 days 00:01:34.154000,HAM,Mercedes,1.824
19,0 days 00:01:34.228000,ZHO,Kick Sauber,1.898
