,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:11.383000,NOR,McLaren,0.0
1,0 days 00:01:11.403000,VER,Red Bull Racing,0.02
2,0 days 00:01:11.701000,HAM,Mercedes,0.318
3,0 days 00:01:11.703000,RUS,Mercedes,0.32
4,0 days 00:01:11.731000,LEC,Ferrari,0.348
5,0 days 00:01:11.736000,SAI,Ferrari,0.353
6,0 days 00:01:11.857000,GAS,Alpine,0.474
7,0 days 00:01:12.011000,PIA,McLaren,0.628
8,0 days 00:01:12.054000,PER,Red Bull Racing,0.671
9,0 days 00:01:12.109000,OCO,Alpine,0.726
10,0 days 00:01:12.128000,ALO,Aston Martin,0.745
11,0 days 00:01:12.227000,BOT,Kick Sauber,0.844
12,0 days 00:01:12.310000,HUL,Haas F1 Team,0.927
13,0 days 00:01:12.372000,STR,Aston Martin,0.989
14,0 days 00:01:12.738000,ZHO,Kick Sauber,1.355
15,0 days 00:01:12.937000,MAG,Haas F1 Team,1.554
16,0 days 00:01:12.985000,TSU,RB,1.602
17,0 days 00:01:13.075000,RIC,RB,1.692
18,0 days 00:01:13.153000,ALB,Williams,1.77
19,0 days 00:01:13.509000,SAR,Williams,2.126
