,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:41.365000,LEC,Ferrari,0.0
1,0 days 00:01:41.686000,PIA,McLaren,0.321
2,0 days 00:01:41.805000,SAI,Ferrari,0.44
3,0 days 00:01:41.813000,PER,Red Bull Racing,0.448
4,0 days 00:01:41.874000,RUS,Mercedes,0.509
5,0 days 00:01:42.023000,VER,Red Bull Racing,0.658
6,0 days 00:01:42.289000,HAM,Mercedes,0.924
7,0 days 00:01:42.369000,ALO,Aston Martin,1.004
8,0 days 00:01:42.473000,COL,Williams,1.108
9,0 days 00:01:42.840000,ALB,Williams,1.475
10,0 days 00:01:42.968000,BEA,Haas F1 Team,1.603
11,0 days 00:01:43.035000,TSU,RB,1.67
12,0 days 00:01:43.088000,GAS,Alpine,1.723
13,0 days 00:01:43.101000,HUL,Haas F1 Team,1.736
14,0 days 00:01:43.370000,STR,Aston Martin,2.005
15,0 days 00:01:43.547000,RIC,RB,2.182
16,0 days 00:01:43.609000,NOR,McLaren,2.244
17,0 days 00:01:43.618000,BOT,Kick Sauber,2.253
18,0 days 00:01:44.246000,ZHO,Kick Sauber,2.881
19,0 days 00:01:44.504000,OCO,Alpine,3.139
