,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:15.946000,SAI,Ferrari,0.0
1,0 days 00:01:16.171000,VER,Red Bull Racing,0.225
2,0 days 00:01:16.260000,NOR,McLaren,0.314
3,0 days 00:01:16.265000,LEC,Ferrari,0.319
4,0 days 00:01:16.356000,RUS,Mercedes,0.41
5,0 days 00:01:16.651000,HAM,Mercedes,0.705
6,0 days 00:01:16.886000,MAG,Haas F1 Team,0.94
7,0 days 00:01:16.892000,GAS,Alpine,0.946
8,0 days 00:01:16.988000,ALB,Williams,1.042
9,0 days 00:01:16.995000,HUL,Haas F1 Team,1.049
10,0 days 00:01:17.129000,TSU,RB,1.183
11,0 days 00:01:17.162000,LAW,RB,1.216
12,0 days 00:01:17.168000,ALO,Aston Martin,1.222
13,0 days 00:01:17.294000,STR,Aston Martin,1.348
14,0 days 00:01:17.393000,BOT,Kick Sauber,1.447
15,0 days 00:01:17.558000,COL,Williams,1.612
16,0 days 00:01:17.597000,PIA,McLaren,1.651
17,0 days 00:01:17.611000,PER,Red Bull Racing,1.665
18,0 days 00:01:17.617000,OCO,Alpine,1.671
19,0 days 00:01:18.072000,ZHO,Kick Sauber,2.126
