,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:32.312000,RUS,Mercedes,0.0
1,0 days 00:01:32.410000,SAI,Ferrari,0.098
2,0 days 00:01:32.567000,HAM,Mercedes,0.255
3,0 days 00:01:32.664000,GAS,Alpine,0.352
4,0 days 00:01:32.783000,LEC,Ferrari,0.471
5,0 days 00:01:32.797000,VER,Red Bull Racing,0.485
6,0 days 00:01:33.008000,NOR,McLaren,0.696
7,0 days 00:01:33.024000,PIA,McLaren,0.712
8,0 days 00:01:33.029000,TSU,RB,0.717
9,0 days 00:01:33.062000,HUL,Haas F1 Team,0.75
10,0 days 00:01:33.221000,OCO,Alpine,0.909
11,0 days 00:01:33.297000,MAG,Haas F1 Team,0.985
12,0 days 00:01:33.566000,ZHO,Kick Sauber,1.254
13,0 days 00:01:33.746000,COL,Williams,1.434
14,0 days 00:01:34.087000,LAW,RB,1.775
15,0 days 00:01:34.155000,PER,Red Bull Racing,1.843
16,0 days 00:01:34.258000,ALO,Aston Martin,1.946
17,0 days 00:01:34.425000,ALB,Williams,2.113
18,0 days 00:01:34.430000,BOT,Kick Sauber,2.118
19,0 days 00:01:34.484000,STR,Aston Martin,2.172
