,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Session_ID,Event_Name
0,0 days 00:18:31.864000,VER,1,,1.0,1.0,0 days 00:16:40.791000,,,0 days 00:00:35.133000,0 days 00:00:39.957000,,0 days 00:17:52.102000,0 days 00:18:32.007000,202.0,270.0,274.0,156.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:16:40.791000,2023-10-06 13:31:41.985,1,,False,,False,False,35.2,32.0,1005.5,False,41.0,313,6.0,Practice 1,Qatar Grand Prix
1,0 days 00:20:06.777000,VER,1,0 days 00:01:34.913000,2.0,1.0,,,0 days 00:00:35.030000,0 days 00:00:32.046000,0 days 00:00:27.837000,0 days 00:19:06.894000,0 days 00:19:38.940000,0 days 00:20:06.777000,227.0,282.0,277.0,312.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:18:31.864000,2023-10-06 13:33:33.058,1,,False,,False,True,35.1,33.0,1005.5,False,40.9,312,6.5,Practice 1,Qatar Grand Prix
2,0 days 00:22:02.177000,VER,1,0 days 00:01:55.400000,3.0,1.0,,,0 days 00:00:47.203000,0 days 00:00:38.366000,0 days 00:00:29.831000,0 days 00:20:53.980000,0 days 00:21:32.346000,0 days 00:22:02.177000,135.0,259.0,281.0,241.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:20:06.777000,2023-10-06 13:35:07.971,1,,False,,False,True,35.1,33.0,1005.5,False,40.5,323,5.4,Practice 1,Qatar Grand Prix
3,0 days 00:23:35.415000,VER,1,0 days 00:01:33.238000,4.0,1.0,,,0 days 00:00:33.809000,0 days 00:00:32.003000,0 days 00:00:27.426000,0 days 00:22:35.986000,0 days 00:23:07.989000,0 days 00:23:35.415000,230.0,283.0,276.0,315.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:22:02.177000,2023-10-06 13:37:03.371,1,,False,,False,True,35.1,33.0,1005.5,False,40.4,324,4.5,Practice 1,Qatar Grand Prix
4,0 days 00:25:21.908000,VER,1,0 days 00:01:46.493000,5.0,1.0,,,0 days 00:00:42.684000,0 days 00:00:34.193000,0 days 00:00:29.616000,0 days 00:24:18.099000,0 days 00:24:52.292000,0 days 00:25:21.908000,187.0,274.0,282.0,187.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:23:35.415000,2023-10-06 13:38:36.609,1,,False,,False,True,35.0,32.0,1005.5,False,40.7,335,4.1,Practice 1,Qatar Grand Prix
5,0 days 00:26:56.971000,VER,1,0 days 00:01:35.063000,6.0,1.0,,,0 days 00:00:34.738000,0 days 00:00:32.778000,0 days 00:00:27.547000,0 days 00:25:56.646000,0 days 00:26:29.424000,0 days 00:26:56.971000,201.0,264.0,283.0,315.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:25:21.908000,2023-10-06 13:40:23.102,1,,False,,False,True,35.0,33.0,1005.5,False,40.2,321,4.6,Practice 1,Qatar Grand Prix
6,0 days 00:28:27.731000,VER,1,0 days 00:01:30.760000,7.0,1.0,,,0 days 00:00:33.317000,0 days 00:00:31.159000,0 days 00:00:26.284000,0 days 00:27:30.288000,0 days 00:28:01.447000,0 days 00:28:27.731000,202.0,287.0,283.0,318.0,True,HARD,7.0,True,Red Bull Racing,0 days 00:26:56.971000,2023-10-06 13:41:58.165,1,,False,,False,True,35.0,33.0,1005.5,False,40.1,322,4.6,Practice 1,Qatar Grand Prix
7,0 days 00:30:21.461000,VER,1,0 days 00:01:53.730000,8.0,1.0,,,0 days 00:00:44.883000,0 days 00:00:36.160000,0 days 00:00:32.687000,0 days 00:29:12.614000,0 days 00:29:48.774000,0 days 00:30:21.461000,178.0,180.0,283.0,178.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:28:27.731000,2023-10-06 13:43:28.925,1,,False,,False,True,35.0,33.0,1005.5,False,40.1,326,4.3,Practice 1,Qatar Grand Prix
8,0 days 00:31:51.344000,VER,1,0 days 00:01:29.883000,9.0,1.0,,,0 days 00:00:33.309000,0 days 00:00:30.671000,0 days 00:00:25.903000,0 days 00:30:54.770000,0 days 00:31:25.441000,0 days 00:31:51.344000,230.0,286.0,280.0,316.0,True,HARD,9.0,True,Red Bull Racing,0 days 00:30:21.461000,2023-10-06 13:45:22.655,1,,False,,False,True,34.9,34.0,1005.5,False,40.3,325,3.4,Practice 1,Qatar Grand Prix
9,0 days 00:34:08.874000,VER,1,0 days 00:02:17.530000,10.0,1.0,,,0 days 00:00:53.719000,0 days 00:00:44.552000,0 days 00:00:39.259000,0 days 00:32:45.063000,0 days 00:33:29.615000,0 days 00:34:08.874000,161.0,171.0,278.0,210.0,False,HARD,10.0,True,Red Bull Racing,0 days 00:31:51.344000,2023-10-06 13:46:52.538,1,,False,,False,True,34.9,34.0,1005.5,False,40.4,331,3.5,Practice 1,Qatar Grand Prix
10,0 days 00:35:38.190000,VER,1,0 days 00:01:29.316000,11.0,1.0,,,0 days 00:00:33.369000,0 days 00:00:30.303000,0 days 00:00:25.644000,0 days 00:34:42.243000,0 days 00:35:12.546000,0 days 00:35:38.190000,235.0,285.0,279.0,315.0,True,HARD,11.0,True,Red Bull Racing,0 days 00:34:08.874000,2023-10-06 13:49:10.068,1,,False,,False,True,34.8,34.0,1005.5,False,40.0,332,5.5,Practice 1,Qatar Grand Prix
11,0 days 00:37:19.745000,VER,1,0 days 00:01:41.555000,12.0,1.0,,0 days 00:37:15.628000,0 days 00:00:36.028000,0 days 00:00:32.290000,0 days 00:00:33.237000,0 days 00:36:14.218000,0 days 00:36:46.508000,0 days 00:37:19.745000,202.0,266.0,,284.0,False,HARD,12.0,True,Red Bull Racing,0 days 00:35:38.190000,2023-10-06 13:50:39.384,1,,False,,False,False,34.8,34.0,1005.5,False,40.0,324,4.3,Practice 1,Qatar Grand Prix
12,0 days 00:46:26.569000,VER,1,,13.0,2.0,0 days 00:44:27.605000,,,0 days 00:00:32.928000,0 days 00:00:32.821000,,0 days 00:45:53.869000,0 days 00:46:26.587000,204.0,275.0,267.0,158.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:37:19.745000,2023-10-06 13:52:20.939,1,,False,,False,False,34.6,34.0,1005.5,False,40.0,324,5.5,Practice 1,Qatar Grand Prix
13,0 days 00:48:09.660000,VER,1,0 days 00:01:43.091000,14.0,2.0,,,0 days 00:00:34.788000,0 days 00:00:34.350000,0 days 00:00:33.953000,0 days 00:47:01.357000,0 days 00:47:35.707000,0 days 00:48:09.660000,212.0,221.0,265.0,288.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:46:26.569000,2023-10-06 14:01:27.763,1,,False,,False,True,34.4,35.0,1005.5,False,39.5,321,4.0,Practice 1,Qatar Grand Prix
14,0 days 00:49:43.740000,VER,1,0 days 00:01:34.080000,15.0,2.0,,,0 days 00:00:34.928000,0 days 00:00:31.818000,0 days 00:00:27.334000,0 days 00:48:44.588000,0 days 00:49:16.406000,0 days 00:49:43.740000,216.0,277.0,267.0,290.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:48:09.660000,2023-10-06 14:03:10.854,1,,False,,False,True,34.3,34.0,1005.5,False,39.5,325,3.7,Practice 1,Qatar Grand Prix
15,0 days 00:51:17.594000,VER,1,0 days 00:01:33.854000,16.0,2.0,,,0 days 00:00:34.619000,0 days 00:00:31.927000,0 days 00:00:27.308000,0 days 00:50:18.359000,0 days 00:50:50.286000,0 days 00:51:17.594000,220.0,276.0,267.0,289.0,False,HARD,16.0,False,Red Bull Racing,0 days 00:49:43.740000,2023-10-06 14:04:44.934,1,,False,,False,True,34.4,35.0,1005.5,False,39.5,324,4.4,Practice 1,Qatar Grand Prix
16,0 days 00:52:51.656000,VER,1,0 days 00:01:34.062000,17.0,2.0,,,0 days 00:00:34.882000,0 days 00:00:31.844000,0 days 00:00:27.336000,0 days 00:51:52.476000,0 days 00:52:24.320000,0 days 00:52:51.656000,219.0,277.0,267.0,295.0,False,HARD,17.0,False,Red Bull Racing,0 days 00:51:17.594000,2023-10-06 14:06:18.788,1,,False,,False,True,34.3,35.0,1005.5,False,39.4,316,3.2,Practice 1,Qatar Grand Prix
17,0 days 00:54:25.280000,VER,1,0 days 00:01:33.624000,18.0,2.0,,,0 days 00:00:34.640000,0 days 00:00:31.785000,0 days 00:00:27.199000,0 days 00:53:26.296000,0 days 00:53:58.081000,0 days 00:54:25.280000,217.0,281.0,268.0,296.0,False,HARD,18.0,False,Red Bull Racing,0 days 00:52:51.656000,2023-10-06 14:07:52.850,1,,False,,False,True,34.3,35.0,1005.5,False,39.5,317,2.5,Practice 1,Qatar Grand Prix
18,0 days 00:55:57.880000,VER,1,0 days 00:01:32.600000,19.0,2.0,,,0 days 00:00:34.519000,0 days 00:00:31.310000,0 days 00:00:26.771000,0 days 00:54:59.799000,0 days 00:55:31.109000,0 days 00:55:57.880000,218.0,283.0,268.0,293.0,False,HARD,19.0,False,Red Bull Racing,0 days 00:54:25.280000,2023-10-06 14:09:26.474,1,,False,,False,True,34.3,34.0,1005.5,False,39.4,315,3.0,Practice 1,Qatar Grand Prix
