,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Session_ID,Event_Name
0,0 days 00:15:48.884000,VER,1,,1.0,1.0,0 days 00:14:31.410000,,,0 days 00:00:33.665000,0 days 00:00:22.108000,,0 days 00:15:27.003000,0 days 00:15:48.956000,286.0,225.0,278.0,277.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:14:31.410000,2023-06-30 11:30:06.444,1,,False,,False,False,26.9,38.0,932.7,False,45.9,106,1.2,Practice 1,Austrian Grand Prix
1,0 days 00:16:56.978000,VER,1,0 days 00:01:08.094000,2.0,1.0,,,0 days 00:00:17.006000,0 days 00:00:30.474000,0 days 00:00:20.614000,0 days 00:16:05.890000,0 days 00:16:36.364000,0 days 00:16:56.978000,316.0,233.0,280.0,313.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:15:48.884000,2023-06-30 11:31:23.918,1,,False,,False,True,27.0,38.0,932.7,False,46.0,91,1.0,Practice 1,Austrian Grand Prix
2,0 days 00:18:49.853000,VER,1,0 days 00:01:52.875000,3.0,1.0,,,0 days 00:00:28.445000,0 days 00:00:53.472000,0 days 00:00:30.958000,0 days 00:17:25.423000,0 days 00:18:18.895000,0 days 00:18:49.853000,125.0,151.0,282.0,89.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:16:56.978000,2023-06-30 11:32:32.012,1,,False,,False,True,27.0,38.0,932.7,False,46.6,99,1.2,Practice 1,Austrian Grand Prix
3,0 days 00:19:56.998000,VER,1,0 days 00:01:07.145000,4.0,1.0,,,0 days 00:00:16.892000,0 days 00:00:29.903000,0 days 00:00:20.350000,0 days 00:19:06.745000,0 days 00:19:36.648000,0 days 00:19:56.998000,317.0,240.0,280.0,314.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:18:49.853000,2023-06-30 11:34:24.887,1,,False,,False,True,27.4,38.0,932.7,False,46.7,76,2.4,Practice 1,Austrian Grand Prix
4,0 days 00:22:01.190000,VER,1,0 days 00:02:04.192000,5.0,1.0,,,0 days 00:00:30.214000,0 days 00:01:06.887000,0 days 00:00:27.091000,0 days 00:20:27.212000,0 days 00:21:34.099000,0 days 00:22:01.190000,116.0,115.0,283.0,116.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:19:56.998000,2023-06-30 11:35:32.032,1,,False,,False,True,27.5,37.0,932.7,False,46.7,82,2.0,Practice 1,Austrian Grand Prix
5,0 days 00:23:08.151000,VER,1,0 days 00:01:06.961000,6.0,1.0,,,0 days 00:00:16.758000,0 days 00:00:29.827000,0 days 00:00:20.376000,0 days 00:22:17.948000,0 days 00:22:47.775000,0 days 00:23:08.151000,318.0,240.0,273.0,315.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:22:01.190000,2023-06-30 11:37:36.224,1,,False,,False,True,27.6,33.0,932.7,False,47.7,67,2.5,Practice 1,Austrian Grand Prix
6,0 days 00:25:11.468000,VER,1,0 days 00:02:03.317000,7.0,1.0,,0 days 00:25:08.164000,0 days 00:00:29.282000,0 days 00:00:56.471000,0 days 00:00:37.564000,0 days 00:23:37.433000,0 days 00:24:33.904000,0 days 00:25:11.468000,116.0,84.0,,128.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:23:08.151000,2023-06-30 11:38:43.185,1,,False,,False,False,27.7,35.0,932.5,False,47.6,83,2.0,Practice 1,Austrian Grand Prix
7,0 days 00:27:05.576000,VER,1,0 days 00:01:54.108000,8.0,2.0,0 days 00:25:24.305000,,0 days 00:00:38.618000,0 days 00:00:49.595000,0 days 00:00:25.895000,0 days 00:25:50.086000,0 days 00:26:39.681000,0 days 00:27:05.576000,129.0,174.0,283.0,143.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:25:11.468000,2023-06-30 11:40:46.502,1,,False,,False,False,27.8,35.0,932.7,False,47.2,76,1.2,Practice 1,Austrian Grand Prix
8,0 days 00:28:12.174000,VER,1,0 days 00:01:06.598000,9.0,2.0,,,0 days 00:00:16.723000,0 days 00:00:29.696000,0 days 00:00:20.179000,0 days 00:27:22.299000,0 days 00:27:51.995000,0 days 00:28:12.174000,321.0,238.0,275.0,316.0,True,HARD,9.0,False,Red Bull Racing,0 days 00:27:05.576000,2023-06-30 11:42:40.610,1,,False,,False,True,27.9,34.0,932.7,False,47.6,0,1.0,Practice 1,Austrian Grand Prix
9,0 days 00:29:29.364000,VER,1,0 days 00:01:17.190000,10.0,2.0,,0 days 00:29:26.082000,0 days 00:00:18.008000,0 days 00:00:33.417000,0 days 00:00:25.765000,0 days 00:28:30.182000,0 days 00:29:03.599000,0 days 00:29:29.364000,277.0,220.0,,250.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:28:12.174000,2023-06-30 11:43:47.208,1,,False,,False,False,28.1,34.0,932.5,False,47.6,111,0.4,Practice 1,Austrian Grand Prix
