,DriverNumber,Abbreviation,DriverId,TeamName,TeamColor,TeamId,Position,ClassifiedPosition,Q1,Q2,Q3,Time,Event_Name
0,11,PER,perez,Red Bull Racing,3671C6,red_bull,1.0,,0 days 00:01:27.713000,0 days 00:01:27.328000,0 days 00:01:26.841000,,Miami Grand Prix
1,14,ALO,alonso,Aston Martin,358C75,aston_martin,2.0,,0 days 00:01:28.179000,0 days 00:01:27.097000,0 days 00:01:27.202000,,Miami Grand Prix
2,55,SAI,sainz,Ferrari,F91536,ferrari,3.0,,0 days 00:01:27.686000,0 days 00:01:27.148000,0 days 00:01:27.349000,,Miami Grand Prix
3,20,MAG,kevin_magnussen,Haas F1 Team,B6BABD,haas,4.0,,0 days 00:01:27.809000,0 days 00:01:27.673000,0 days 00:01:27.767000,,Miami Grand Prix
4,10,GAS,gasly,Alpine,2293D1,alpine,5.0,,0 days 00:01:28.061000,0 days 00:01:27.612000,0 days 00:01:27.786000,,Miami Grand Prix
5,63,RUS,russell,Mercedes,6CD3BF,mercedes,6.0,,0 days 00:01:28.086000,0 days 00:01:27.743000,0 days 00:01:27.804000,,Miami Grand Prix
6,16,LEC,leclerc,Ferrari,F91536,ferrari,7.0,,0 days 00:01:27.713000,0 days 00:01:26.964000,0 days 00:01:27.861000,,Miami Grand Prix
7,31,OCO,ocon,Alpine,2293D1,alpine,8.0,,0 days 00:01:27.872000,0 days 00:01:27.444000,0 days 00:01:27.935000,,Miami Grand Prix
8,1,VER,max_verstappen,Red Bull Racing,3671C6,red_bull,9.0,,0 days 00:01:27.363000,0 days 00:01:26.814000,,,Miami Grand Prix
9,77,BOT,bottas,Alfa Romeo,C92D4B,alfa,10.0,,0 days 00:01:27.864000,0 days 00:01:27.564000,,,Miami Grand Prix
10,23,ALB,albon,Williams,37BEDD,williams,11.0,,0 days 00:01:28.234000,0 days 00:01:27.795000,,,Miami Grand Prix
11,27,HUL,hulkenberg,Haas F1 Team,B6BABD,haas,12.0,,0 days 00:01:27.945000,0 days 00:01:27.903000,,,Miami Grand Prix
12,44,HAM,hamilton,Mercedes,6CD3BF,mercedes,13.0,,0 days 00:01:27.846000,0 days 00:01:27.975000,,,Miami Grand Prix
13,24,ZHO,zhou,Alfa Romeo,C92D4B,alfa,14.0,,0 days 00:01:28.180000,0 days 00:01:28.091000,,,Miami Grand Prix
14,21,DEV,de_vries,AlphaTauri,5E8FAA,alphatauri,15.0,,0 days 00:01:28.325000,0 days 00:01:28.395000,,,Miami Grand Prix
15,4,NOR,norris,McLaren,F58020,mclaren,16.0,,0 days 00:01:28.394000,,,,Miami Grand Prix
16,22,TSU,tsunoda,AlphaTauri,5E8FAA,alphatauri,17.0,,0 days 00:01:28.429000,,,,Miami Grand Prix
17,18,STR,stroll,Aston Martin,358C75,aston_martin,18.0,,0 days 00:01:28.476000,,,,Miami Grand Prix
18,81,PIA,piastri,McLaren,F58020,mclaren,19.0,,0 days 00:01:28.484000,,,,Miami Grand Prix
19,2,SAR,sargeant,Williams,37BEDD,williams,20.0,,0 days 00:01:28.577000,,,,Miami Grand Prix
20,1,VER,max_verstappen,Red Bull Racing,3671C6,red_bull,1.0,,0 days 00:01:12.386000,0 days 00:01:11.908000,0 days 00:01:11.365000,,Monaco Grand Prix
21,14,ALO,alonso,Aston Martin,358C75,aston_martin,2.0,,0 days 00:01:12.886000,0 days 00:01:12.107000,0 days 00:01:11.449000,,Monaco Grand Prix
22,16,LEC,leclerc,Ferrari,F91536,ferrari,3.0,,0 days 00:01:12.912000,0 days 00:01:12.103000,0 days 00:01:11.471000,,Monaco Grand Prix
23,31,OCO,ocon,Alpine,2293D1,alpine,4.0,,0 days 00:01:12.967000,0 days 00:01:12.248000,0 days 00:01:11.553000,,Monaco Grand Prix
24,55,SAI,sainz,Ferrari,F91536,ferrari,5.0,,0 days 00:01:12.717000,0 days 00:01:12.210000,0 days 00:01:11.630000,,Monaco Grand Prix
25,44,HAM,hamilton,Mercedes,6CD3BF,mercedes,6.0,,0 days 00:01:12.872000,0 days 00:01:12.156000,0 days 00:01:11.725000,,Monaco Grand Prix
26,10,GAS,gasly,Alpine,2293D1,alpine,7.0,,0 days 00:01:13.033000,0 days 00:01:12.169000,0 days 00:01:11.933000,,Monaco Grand Prix
27,63,RUS,russell,Mercedes,6CD3BF,mercedes,8.0,,0 days 00:01:12.769000,0 days 00:01:12.151000,0 days 00:01:11.964000,,Monaco Grand Prix
28,22,TSU,tsunoda,AlphaTauri,5E8FAA,alphatauri,9.0,,0 days 00:01:12.642000,0 days 00:01:12.249000,0 days 00:01:12.082000,,Monaco Grand Prix
29,4,NOR,norris,McLaren,F58020,mclaren,10.0,,0 days 00:01:12.877000,0 days 00:01:12.377000,0 days 00:01:12.254000,,Monaco Grand Prix
30,81,PIA,piastri,McLaren,F58020,mclaren,11.0,,0 days 00:01:13.006000,0 days 00:01:12.395000,,,Monaco Grand Prix
31,21,DEV,de_vries,AlphaTauri,5E8FAA,alphatauri,12.0,,0 days 00:01:13.054000,0 days 00:01:12.428000,,,Monaco Grand Prix
32,23,ALB,albon,Williams,37BEDD,williams,13.0,,0 days 00:01:12.706000,0 days 00:01:12.527000,,,Monaco Grand Prix
33,18,STR,stroll,Aston Martin,358C75,aston_martin,14.0,,0 days 00:01:12.722000,0 days 00:01:12.623000,,,Monaco Grand Prix
34,77,BOT,bottas,Alfa Romeo,C92D4B,alfa,15.0,,0 days 00:01:13.038000,0 days 00:01:12.625000,,,Monaco Grand Prix
35,2,SAR,sargeant,Williams,37BEDD,williams,16.0,,0 days 00:01:13.113000,,,,Monaco Grand Prix
36,20,MAG,kevin_magnussen,Haas F1 Team,B6BABD,haas,17.0,,0 days 00:01:13.270000,,,,Monaco Grand Prix
37,27,HUL,hulkenberg,Haas F1 Team,B6BABD,haas,18.0,,0 days 00:01:13.279000,,,,Monaco Grand Prix
38,24,ZHO,zhou,Alfa Romeo,C92D4B,alfa,19.0,,0 days 00:01:13.523000,,,,Monaco Grand Prix
39,11,PER,perez,Red Bull Racing,3671C6,red_bull,20.0,,0 days 00:01:13.850000,,,,Monaco Grand Prix
40,1,VER,max_verstappen,Red Bull Racing,3671C6,red_bull,1.0,,0 days 00:01:13.615000,0 days 00:01:12.760000,0 days 00:01:12.272000,,Spanish Grand Prix
41,55,SAI,sainz,Ferrari,F91536,ferrari,2.0,,0 days 00:01:13.411000,0 days 00:01:12.790000,0 days 00:01:12.734000,,Spanish Grand Prix
42,4,NOR,norris,McLaren,F58020,mclaren,3.0,,0 days 00:01:13.295000,0 days 00:01:12.776000,0 days 00:01:12.792000,,Spanish Grand Prix
43,10,GAS,gasly,Alpine,2293D1,alpine,4.0,,0 days 00:01:13.471000,0 days 00:01:13.186000,0 days 00:01:12.816000,,Spanish Grand Prix
44,44,HAM,hamilton,Mercedes,6CD3BF,mercedes,5.0,,0 days 00:01:12.937000,0 days 00:01:12.999000,0 days 00:01:12.818000,,Spanish Grand Prix
45,18,STR,stroll,Aston Martin,358C75,aston_martin,6.0,,0 days 00:01:13.766000,0 days 00:01:13.082000,0 days 00:01:12.994000,,Spanish Grand Prix
46,31,OCO,ocon,Alpine,2293D1,alpine,7.0,,0 days 00:01:13.433000,0 days 00:01:13.001000,0 days 00:01:13.083000,,Spanish Grand Prix
47,27,HUL,hulkenberg,Haas F1 Team,B6BABD,haas,8.0,,0 days 00:01:13.420000,0 days 00:01:13.283000,0 days 00:01:13.229000,,Spanish Grand Prix
48,14,ALO,alonso,Aston Martin,358C75,aston_martin,9.0,,0 days 00:01:13.747000,0 days 00:01:13.098000,0 days 00:01:13.507000,,Spanish Grand Prix
49,81,PIA,piastri,McLaren,F58020,mclaren,10.0,,0 days 00:01:13.691000,0 days 00:01:13.059000,0 days 00:01:13.682000,,Spanish Grand Prix
50,11,PER,perez,Red Bull Racing,3671C6,red_bull,11.0,,0 days 00:01:13.874000,0 days 00:01:13.334000,,,Spanish Grand Prix
51,63,RUS,russell,Mercedes,6CD3BF,mercedes,12.0,,0 days 00:01:13.326000,0 days 00:01:13.447000,,,Spanish Grand Prix
52,24,ZHO,zhou,Alfa Romeo,C92D4B,alfa,13.0,,0 days 00:01:13.677000,0 days 00:01:13.521000,,,Spanish Grand Prix
53,21,DEV,de_vries,AlphaTauri,5E8FAA,alphatauri,14.0,,0 days 00:01:13.581000,0 days 00:01:14.083000,,,Spanish Grand Prix
