,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Event_Name
0,0 days 00:13:34.679000,17.3,82.0,1009.4,False,22.4,172,1.7,Dutch Grand Prix
1,0 days 00:15:34.693000,17.5,80.0,1009.5,False,24.0,203,1.7,Dutch Grand Prix
2,0 days 00:17:34.692000,17.8,81.0,1009.4,False,24.4,201,2.7,Dutch Grand Prix
3,0 days 00:19:34.690000,18.1,80.0,1009.4,False,23.0,198,2.2,Dutch Grand Prix
4,0 days 00:20:34.690000,18.1,80.0,1009.5,False,22.5,203,3.0,Dutch Grand Prix
5,0 days 00:21:34.689000,18.1,80.0,1009.5,False,22.5,199,2.5,Dutch Grand Prix
6,0 days 00:23:34.734000,18.1,78.0,1009.5,False,21.8,202,3.0,Dutch Grand Prix
7,0 days 00:24:34.749000,18.2,76.0,1009.4,False,21.5,198,3.2,Dutch Grand Prix
8,0 days 00:26:34.764000,18.1,77.0,1009.5,False,20.9,202,3.0,Dutch Grand Prix
9,0 days 00:27:34.763000,18.1,76.0,1009.5,False,20.7,193,3.2,Dutch Grand Prix
10,0 days 00:29:34.793000,18.0,74.0,1009.5,True,20.5,187,3.2,Dutch Grand Prix
11,0 days 00:30:34.792000,17.9,76.0,1009.5,True,20.3,206,3.4,Dutch Grand Prix
12,0 days 00:32:34.791000,17.6,80.0,1009.5,True,19.6,190,2.7,Dutch Grand Prix
13,0 days 00:39:34.833000,16.7,83.0,1009.5,True,19.2,189,1.8,Dutch Grand Prix
14,0 days 00:40:34.832000,16.6,82.0,1009.5,True,19.2,195,1.6,Dutch Grand Prix
15,0 days 00:41:34.832000,16.6,84.0,1009.5,False,19.4,183,2.7,Dutch Grand Prix
16,0 days 00:43:34.830000,16.9,85.0,1009.4,False,19.9,186,2.9,Dutch Grand Prix
17,0 days 00:44:34.830000,17.1,85.0,1009.5,False,21.1,133,2.5,Dutch Grand Prix
18,0 days 00:46:34.859000,17.5,84.0,1009.4,False,22.5,157,2.0,Dutch Grand Prix
19,0 days 00:48:34.905000,17.8,80.0,1009.5,False,23.1,137,2.0,Dutch Grand Prix
20,0 days 00:49:34.920000,17.9,81.0,1009.4,False,23.1,160,2.0,Dutch Grand Prix
21,0 days 00:51:34.934000,18.0,80.0,1009.4,False,23.4,172,2.0,Dutch Grand Prix
22,0 days 00:53:34.948000,18.3,80.0,1009.4,False,23.4,176,2.0,Dutch Grand Prix
23,0 days 00:54:34.948000,18.2,79.0,1009.4,False,23.4,170,2.2,Dutch Grand Prix
24,0 days 01:03:34.957000,18.4,77.0,1009.4,False,23.6,171,1.7,Dutch Grand Prix
25,0 days 01:24:34.974000,18.5,73.0,1009.4,False,22.7,191,2.2,Dutch Grand Prix
26,0 days 01:25:34.973000,18.5,73.0,1009.4,False,23.2,190,2.7,Dutch Grand Prix
27,0 days 01:26:34.973000,18.6,72.0,1009.4,False,23.3,189,2.9,Dutch Grand Prix
28,0 days 01:34:35.077000,18.9,72.0,1009.4,False,23.1,244,3.4,Dutch Grand Prix
29,0 days 01:36:35.091000,18.9,71.0,1009.2,False,23.8,198,1.7,Dutch Grand Prix
30,0 days 01:37:35.074000,18.9,69.0,1009.2,False,23.6,176,3.0,Dutch Grand Prix
31,0 days 00:12:34.679000,17.1,82.0,1009.5,False,22.1,230,1.0,Dutch Grand Prix
32,0 days 00:14:34.694000,17.4,82.0,1009.4,False,23.3,188,1.6,Dutch Grand Prix
33,0 days 00:16:34.692000,17.7,80.0,1009.4,False,24.4,186,2.2,Dutch Grand Prix
34,0 days 00:17:34.692000,17.8,81.0,1009.4,False,24.4,201,2.7,Dutch Grand Prix
35,0 days 00:19:34.690000,18.1,80.0,1009.4,False,23.0,198,2.2,Dutch Grand Prix
36,0 days 00:20:34.690000,18.1,80.0,1009.5,False,22.5,203,3.0,Dutch Grand Prix
37,0 days 00:22:34.704000,18.1,77.0,1009.2,False,22.1,211,3.2,Dutch Grand Prix
38,0 days 00:23:34.734000,18.1,78.0,1009.5,False,21.8,202,3.0,Dutch Grand Prix
39,0 days 00:25:34.733000,18.2,75.0,1009.5,False,21.0,196,3.7,Dutch Grand Prix
40,0 days 00:26:34.764000,18.1,77.0,1009.5,False,20.9,202,3.0,Dutch Grand Prix
41,0 days 00:28:34.762000,18.1,75.0,1009.5,False,20.6,203,2.9,Dutch Grand Prix
42,0 days 00:29:34.793000,18.0,74.0,1009.5,True,20.5,187,3.2,Dutch Grand Prix
43,0 days 00:31:34.792000,17.8,78.0,1009.5,True,20.0,189,3.2,Dutch Grand Prix
44,0 days 00:40:34.832000,16.6,82.0,1009.5,True,19.2,195,1.6,Dutch Grand Prix
45,0 days 00:41:34.832000,16.6,84.0,1009.5,False,19.4,183,2.7,Dutch Grand Prix
46,0 days 00:42:34.862000,16.7,85.0,1009.4,False,19.8,170,3.0,Dutch Grand Prix
47,0 days 00:44:34.830000,17.1,85.0,1009.5,False,21.1,133,2.5,Dutch Grand Prix
48,0 days 00:45:34.844000,17.3,84.0,1009.4,False,21.9,151,2.4,Dutch Grand Prix
49,0 days 00:47:34.874000,17.7,82.0,1009.5,True,22.9,178,2.2,Dutch Grand Prix
50,0 days 00:48:34.905000,17.8,80.0,1009.5,False,23.1,137,2.0,Dutch Grand Prix
51,0 days 00:50:34.919000,18.0,80.0,1009.4,False,23.3,182,2.0,Dutch Grand Prix
52,0 days 00:52:34.949000,18.2,79.0,1009.4,False,23.3,157,2.0,Dutch Grand Prix
53,0 days 00:53:34.948000,18.3,80.0,1009.4,False,23.4,176,2.0,Dutch Grand Prix
54,0 days 00:55:34.963000,18.2,79.0,1009.2,False,23.4,192,2.0,Dutch Grand Prix
55,0 days 01:23:34.975000,18.5,73.0,1009.4,False,22.5,202,3.0,Dutch Grand Prix
56,0 days 01:25:34.973000,18.5,73.0,1009.4,False,23.2,190,2.7,Dutch Grand Prix
57,0 days 01:26:34.973000,18.6,72.0,1009.4,False,23.3,189,2.9,Dutch Grand Prix
58,0 days 01:35:35.076000,18.8,72.0,1009.4,False,23.4,184,2.2,Dutch Grand Prix
59,0 days 01:36:35.091000,18.9,71.0,1009.2,False,23.8,198,1.7,Dutch Grand Prix
60,0 days 01:37:35.074000,18.9,69.0,1009.2,False,23.6,176,3.0,Dutch Grand Prix
61,0 days 00:12:34.679000,17.1,82.0,1009.5,False,22.1,230,1.0,Dutch Grand Prix
62,0 days 00:14:34.694000,17.4,82.0,1009.4,False,23.3,188,1.6,Dutch Grand Prix
63,0 days 00:15:34.693000,17.5,80.0,1009.5,False,24.0,203,1.7,Dutch Grand Prix
64,0 days 00:17:34.692000,17.8,81.0,1009.4,False,24.4,201,2.7,Dutch Grand Prix
65,0 days 00:18:34.691000,17.9,80.0,1009.2,False,24.4,188,3.2,Dutch Grand Prix
66,0 days 00:20:34.690000,18.1,80.0,1009.5,False,22.5,203,3.0,Dutch Grand Prix
67,0 days 00:21:34.689000,18.1,80.0,1009.5,False,22.5,199,2.5,Dutch Grand Prix
68,0 days 00:23:34.734000,18.1,78.0,1009.5,False,21.8,202,3.0,Dutch Grand Prix
69,0 days 00:24:34.749000,18.2,76.0,1009.4,False,21.5,198,3.2,Dutch Grand Prix
70,0 days 00:26:34.764000,18.1,77.0,1009.5,False,20.9,202,3.0,Dutch Grand Prix
71,0 days 00:27:34.763000,18.1,76.0,1009.5,False,20.7,193,3.2,Dutch Grand Prix
72,0 days 00:29:34.793000,18.0,74.0,1009.5,True,20.5,187,3.2,Dutch Grand Prix
73,0 days 00:30:34.792000,17.9,76.0,1009.5,True,20.3,206,3.4,Dutch Grand Prix
74,0 days 00:39:34.833000,16.7,83.0,1009.5,True,19.2,189,1.8,Dutch Grand Prix
75,0 days 00:40:34.832000,16.6,82.0,1009.5,True,19.2,195,1.6,Dutch Grand Prix
76,0 days 00:42:34.862000,16.7,85.0,1009.4,False,19.8,170,3.0,Dutch Grand Prix
77,0 days 00:43:34.830000,16.9,85.0,1009.4,False,19.9,186,2.9,Dutch Grand Prix
78,0 days 00:45:34.844000,17.3,84.0,1009.4,False,21.9,151,2.4,Dutch Grand Prix
79,0 days 00:46:34.859000,17.5,84.0,1009.4,False,22.5,157,2.0,Dutch Grand Prix
80,0 days 00:48:34.905000,17.8,80.0,1009.5,False,23.1,137,2.0,Dutch Grand Prix
81,0 days 00:50:34.919000,18.0,80.0,1009.4,False,23.3,182,2.0,Dutch Grand Prix
82,0 days 00:52:34.949000,18.2,79.0,1009.4,False,23.3,157,2.0,Dutch Grand Prix
83,0 days 00:53:34.948000,18.3,80.0,1009.4,False,23.4,176,2.0,Dutch Grand Prix
84,0 days 00:55:34.963000,18.2,79.0,1009.2,False,23.4,192,2.0,Dutch Grand Prix
85,0 days 01:02:34.974000,18.4,78.0,1009.4,False,23.6,158,1.6,Dutch Grand Prix
86,0 days 01:03:34.957000,18.4,77.0,1009.4,False,23.6,171,1.7,Dutch Grand Prix
87,0 days 01:23:34.975000,18.5,73.0,1009.4,False,22.5,202,3.0,Dutch Grand Prix
88,0 days 01:25:34.973000,18.5,73.0,1009.4,False,23.2,190,2.7,Dutch Grand Prix
89,0 days 01:26:34.973000,18.6,72.0,1009.4,False,23.3,189,2.9,Dutch Grand Prix
90,0 days 01:35:35.076000,18.8,72.0,1009.4,False,23.4,184,2.2,Dutch Grand Prix
91,0 days 01:37:35.074000,18.9,69.0,1009.2,False,23.6,176,3.0,Dutch Grand Prix
92,0 days 01:38:35.089000,19.0,71.0,1009.2,False,23.6,188,2.5,Dutch Grand Prix
93,0 days 00:12:34.679000,17.1,82.0,1009.5,False,22.1,230,1.0,Dutch Grand Prix
94,0 days 00:13:34.679000,17.3,82.0,1009.4,False,22.4,172,1.7,Dutch Grand Prix
95,0 days 00:15:34.693000,17.5,80.0,1009.5,False,24.0,203,1.7,Dutch Grand Prix
96,0 days 00:16:34.692000,17.7,80.0,1009.4,False,24.4,186,2.2,Dutch Grand Prix
97,0 days 00:18:34.691000,17.9,80.0,1009.2,False,24.4,188,3.2,Dutch Grand Prix
