,Driver,Stint,Compound,StintLength
0,ALO,1.0,INTERMEDIATE,27
1,ALO,2.0,INTERMEDIATE,5
2,ALO,3.0,INTERMEDIATE,37
3,BEA,1.0,INTERMEDIATE,27
4,BEA,2.0,INTERMEDIATE,5
5,BEA,3.0,INTERMEDIATE,37
6,BOT,1.0,INTERMEDIATE,32
7,BOT,2.0,INTERMEDIATE,37
8,COL,1.0,INTERMEDIATE,26
9,COL,2.0,INTERMEDIATE,4
10,GAS,1.0,INTERMEDIATE,32
11,GAS,2.0,INTERMEDIATE,37
12,HAM,1.0,INTERMEDIATE,27
13,HAM,2.0,INTERMEDIATE,5
14,HAM,3.0,INTERMEDIATE,37
15,HUL,1.0,INTERMEDIATE,25
16,HUL,2.0,INTERMEDIATE,2
17,HUL,3.0,WET,2
18,HUL,4.0,INTERMEDIATE,1
19,LAW,1.0,INTERMEDIATE,28
20,LAW,2.0,WET,4
21,LAW,3.0,INTERMEDIATE,37
22,LEC,1.0,INTERMEDIATE,24
23,LEC,2.0,INTERMEDIATE,8
24,LEC,3.0,INTERMEDIATE,37
25,NOR,1.0,INTERMEDIATE,28
26,NOR,2.0,INTERMEDIATE,4
27,NOR,3.0,INTERMEDIATE,37
28,OCO,1.0,INTERMEDIATE,32
29,OCO,2.0,INTERMEDIATE,37
30,PER,1.0,INTERMEDIATE,27
31,PER,2.0,WET,5
32,PER,3.0,INTERMEDIATE,37
33,PIA,1.0,INTERMEDIATE,27
34,PIA,2.0,INTERMEDIATE,5
35,PIA,3.0,INTERMEDIATE,37
36,RUS,1.0,INTERMEDIATE,28
37,RUS,2.0,INTERMEDIATE,4
38,RUS,3.0,INTERMEDIATE,37
39,SAI,1.0,INTERMEDIATE,27
40,SAI,2.0,INTERMEDIATE,5
41,SAI,3.0,INTERMEDIATE,7
42,STR,1.0,INTERMEDIATE,1
43,TSU,1.0,INTERMEDIATE,28
44,TSU,2.0,WET,4
45,TSU,3.0,INTERMEDIATE,37
46,VER,1.0,INTERMEDIATE,32
47,VER,2.0,INTERMEDIATE,37
48,ZHO,1.0,INTERMEDIATE,27
49,ZHO,2.0,INTERMEDIATE,1
50,ZHO,3.0,WET,3
51,ZHO,4.0,INTERMEDIATE,1
52,ZHO,5.0,INTERMEDIATE,37
