,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,1
1,ALO,1.0,MEDIUM,15
2,BOT,1.0,HARD,49
3,BOT,2.0,MEDIUM,21
4,COL,1.0,HARD,47
5,COL,2.0,MEDIUM,23
6,GAS,1.0,MEDIUM,28
7,GAS,2.0,HARD,42
8,HAM,1.0,MEDIUM,28
9,HAM,2.0,HARD,43
10,HUL,1.0,MEDIUM,29
11,HUL,2.0,HARD,41
12,LAW,1.0,HARD,39
13,LAW,2.0,MEDIUM,26
14,LAW,3.0,SOFT,5
15,LEC,1.0,MEDIUM,31
16,LEC,2.0,HARD,38
17,LEC,3.0,SOFT,2
18,MAG,1.0,MEDIUM,30
19,MAG,2.0,HARD,41
20,NOR,1.0,MEDIUM,30
21,NOR,2.0,HARD,41
22,OCO,1.0,HARD,48
23,OCO,2.0,MEDIUM,22
24,PER,1.0,HARD,20
25,PER,2.0,MEDIUM,23
26,PER,3.0,MEDIUM,25
27,PER,4.0,SOFT,2
28,PIA,1.0,MEDIUM,39
29,PIA,2.0,HARD,32
30,RUS,1.0,MEDIUM,31
31,RUS,2.0,HARD,40
32,SAI,1.0,MEDIUM,32
33,SAI,2.0,HARD,39
34,STR,1.0,MEDIUM,26
35,STR,2.0,HARD,44
36,TSU,1.0,MEDIUM,1
37,VER,1.0,MEDIUM,26
38,VER,2.0,HARD,45
39,ZHO,1.0,HARD,43
40,ZHO,2.0,MEDIUM,27
