,PER,VER,LEC,ALO,SAI,HAM,STR,RUS,NOR,TSU,PIA,ALB,MAG,GAS,OCO,SAR,HUL,BOT,ZHO,DEV
1.0,1.263999999999669,0.3469999999997526,0.0,3.8929999999995744,2.5359999999996035,3.2969999999995707,4.458999999999833,6.2849999999998545,5.303999999999633,7.060999999999694,7.406999999999698,8.075999999999567,8.605999999999767,9.67599999999993,12.391999999999825,8.87099999999964,12.513999999999669,11.949999999999818,10.381999999999607,10.947999999999865
2.0,1.324999999999818,0.3979999999996835,0.0,4.300999999999931,2.6539999999999964,3.80600000000004,5.211999999999989,7.446999999999662,6.386999999999716,8.585999999999785,9.277999999999793,10.147999999999683,11.117999999999938,12.009999999999764,14.759000000000015,11.361999999999625,15.085000000000036,14.35799999999972,12.86999999999989,13.722999999999956
3.0,0.9070000000001528,0.0,0.07600000000002183,4.007999999999811,2.506999999999607,3.332999999999629,4.890000000000327,7.279999999999745,6.405999999999949,9.039999999999964,9.654999999999745,10.88799999999992,11.67199999999957,13.010000000000218,16.16899999999987,12.385000000000218,17.10699999999997,15.721999999999753,14.108000000000175,15.01299999999992
4.0,1.2029999999995198,0.0,0.9340000000001965,4.811999999999898,3.2969999999995707,3.9849999999996726,5.695999999999913,8.423999999999978,7.394000000000233,10.40899999999965,11.548999999999978,12.78399999999965,13.47900000000027,14.774999999999636,18.083999999999833,14.126999999999498,18.729999999999563,17.605999999999767,16.09599999999955,16.685999999999694
5.0,1.342000000000553,0.0,1.2150000000001455,5.235000000000582,3.69800000000032,4.300000000000182,5.90900000000056,9.391000000000531,7.998000000000502,11.532000000000153,12.371000000000095,13.997000000000298,15.030999999999949,20.451000000000022,19.613000000000284,15.52599999999984,20.585000000000036,19.149000000000342,17.771999999999935,18.158000000000357
6.0,1.212999999999738,0.0,2.0799999999999272,6.399999999999636,4.144999999999527,5.014000000000124,6.975000000000364,10.363000000000284,9.011999999999716,12.557999999999993,13.653999999999542,15.324999999999818,16.779999999999745,38.11399999999958,21.528000000000247,17.60900000000038,22.416000000000167,25.15099999999984,19.877000000000407,20.292999999999665
7.0,1.1030000000000655,0.0,2.242000000000189,7.359999999999673,4.412000000000262,5.835000000000036,8.153000000000247,11.681999999999789,10.265000000000327,13.82300000000032,15.761000000000422,21.32300000000032,18.43000000000029,38.84100000000035,23.10400000000027,20.345000000000255,23.978000000000065,43.110999999999876,21.993999999999687,22.416000000000167
8.0,1.1089999999994689,0.0,3.1479999999992287,7.621000000000095,5.201999999999316,6.962999999999738,9.295999999999367,12.969000000000051,11.799999999999272,19.871000000000095,21.204999999999927,40.688999999999396,20.600999999999658,41.09699999999975,25.498999999999796,27.673999999999978,25.84400000000005,44.60699999999997,24.443999999999505,24.967999999999847
9.0,0.6130000000002838,0.0,3.625,9.507000000000517,6.061000000000604,13.197000000000116,10.375,13.782000000000153,17.199000000000524,38.50500000000011,39.735999999999876,41.71299999999974,22.70800000000054,42.003999999999905,27.636000000000422,46.47199999999975,28.20300000000043,47.402000000000044,26.863000000000284,27.277000000000044
10.0,0.0,3.2600000000002183,3.141000000000531,9.404999999999745,5.954999999999927,37.14800000000014,10.75,13.926000000000386,45.40099999999984,49.837000000000444,52.947000000000116,55.15400000000045,38.009000000000015,56.514000000000124,35.22100000000046,60.85199999999986,36.052999999999884,64.52500000000055,28.877000000000407,-36.36899999999969
11.0,0.0,23.675999999999476,5.106999999999971,14.967999999999847,12.93499999999949,44.138999999999214,21.607999999999265,21.52299999999923,49.56999999999971,56.17199999999957,58.266999999999825,61.16199999999935,71.00999999999931,62.11699999999928,42.27099999999973,72.2559999999994,43.685999999999694,74.15499999999975,41.33099999999922,
12.0,0.0,2.545999999999367,1.3939999999993233,4.971999999999753,3.3859999999995125,13.942999999999302,9.583999999999833,7.557999999999993,15.074999999999818,16.92999999999938,18.46599999999944,20.902999999999338,25.40399999999954,23.255999999999403,11.40099999999984,26.169999999999163,12.693999999999505,31.811999999999898,20.087999999999738,
13.0,0.0,0.35199999999986176,0.20799999999962893,0.8959999999997308,0.5590000000001965,1.9399999999995998,1.4549999999999272,1.21100000000024,2.0460000000002765,2.456999999999425,2.6599999999998545,3.0720000000001164,4.653000000000247,3.405999999999949,1.5979999999999563,4.765999999999622,1.8940000000002328,5.532000000000153,2.8209999999999127,
14.0,0.0,1.4899999999997817,2.9210000000002765,4.005000000000109,4.269000000000233,6.019000000000233,4.980000000000473,5.899000000000342,8.059000000000196,8.884000000000015,9.46600000000035,9.851999999999862,11.497000000000298,10.480000000000473,7.069000000000415,12.069999999999709,7.380000000000109,12.86200000000008,11.0600000000004,
15.0,0.0,1.3739999999997963,3.8590000000003783,5.131000000000313,5.744999999999891,7.475000000000364,6.69800000000032,8.452000000000226,10.74499999999989,11.601999999999862,12.280999999999949,12.976999999999862,14.80200000000059,13.628000000000611,9.42200000000048,15.715000000000146,9.842999999999847,16.738000000000284,14.279000000000451,
16.0,0.0,1.3530000000000655,4.686000000000604,6.016999999999825,6.976999999999862,8.666000000000167,8.25799999999981,10.335000000000036,13.059000000000196,13.952000000000226,14.938000000000102,15.570000000000618,17.235999999999876,16.18199999999979,11.537000000000262,18.658000000000357,12.149000000000342,19.733000000000175,17.034999999999854,
17.0,0.0,1.3280000000004293,5.555000000000291,7.363000000000284,8.806999999999789,10.52599999999984,9.786000000000058,12.207999999999629,15.502999999999702,16.038000000000466,17.039999999999964,17.774000000000342,20.583999999999833,18.573999999999614,13.694999999999709,21.84600000000046,14.154999999999745,22.97900000000027,19.95600000000013,
18.0,0.0,1.2489999999997963,6.778000000000247,9.057999999999993,10.274000000000342,12.226000000000568,11.11700000000019,13.881000000000313,17.515000000000327,18.22400000000016,19.259000000000015,20.252000000000407,22.564000000000306,20.640000000000327,15.645000000000437,24.23400000000038,16.179000000000087,25.9350000000004,22.282000000000153,
19.0,0.0,1.4380000000001019,7.994999999999891,10.442999999999302,11.759000000000015,13.501999999999498,13.653999999999542,14.972999999999956,19.39800000000014,20.308999999999287,21.523999999999432,22.55699999999979,24.844999999999345,23.199999999999818,17.829999999999927,26.850999999999658,18.429000000000087,29.317000000000007,26.28099999999995,
20.0,0.0,1.2070000000003347,9.069999999999709,11.791000000000167,13.319000000000415,14.559000000000196,15.851999999999862,16.182999999999993,21.064000000000306,22.653000000000247,23.20799999999963,24.57300000000032,26.932999999999993,25.319000000000415,19.738999999999578,29.89599999999973,20.71900000000005,31.920000000000073,28.997999999999593,
21.0,0.0,1.162000000000262,9.929000000000087,12.813000000000102,14.382000000000517,15.530000000000655,17.177999999999884,17.92200000000048,23.592000000000553,24.63300000000072,25.541000000000167,26.886000000000422,28.662000000000262,27.35400000000027,21.454000000000633,32.626000000000204,22.520000000000437,34.40099999999984,31.44000000000051,
22.0,0.0,1.1369999999997162,10.714999999999236,13.346999999999753,15.604999999999563,16.63499999999931,18.480999999999767,19.266999999999825,25.57299999999941,26.579999999999927,27.721999999999753,29.17699999999968,30.641999999999825,29.712999999999738,23.930999999999585,35.22399999999925,24.43499999999949,37.021999999999935,34.115999999999985,
23.0,0.0,1.2600000000002183,11.489999999999782,14.213999999999942,16.91399999999976,17.53400000000056,19.806000000000495,20.103000000000065,28.136999999999716,28.842000000000553,30.26800000000003,31.346999999999753,32.76900000000023,36.141999999999825,27.13000000000011,37.82300000000032,27.480999999999767,39.340000000000146,36.939000000000306,
24.0,0.0,1.2640000000001237,12.265999999999622,14.641999999999825,17.73999999999978,18.427999999999884,20.835000000000036,21.77099999999973,30.72099999999955,31.30699999999979,32.46299999999974,33.688999999999396,34.75699999999961,55.121000000000095,29.27599999999984,40.603000000000065,29.847999999999956,41.925999999999476,39.57899999999972,
25.0,0.0,1.2549999999991996,13.029999999999745,15.595999999999549,19.036999999999352,19.938999999999396,21.89099999999962,23.186999999999898,32.836999999999534,33.54099999999926,35.04899999999998,36.136999999999716,36.95299999999952,56.01599999999962,31.664999999999964,43.02599999999984,32.151999999999134,44.29899999999998,42.01799999999912,
26.0,0.0,1.3779999999997017,14.009000000000015,16.24499999999989,20.596999999999753,22.20799999999963,23.261999999999716,24.407999999999447,34.98699999999917,35.5049999999992,37.34199999999964,38.3159999999998,39.081999999999425,56.456999999999425,33.53699999999935,45.09599999999955,34.09699999999975,47.11899999999969,44.237999999999374,
27.0,0.0,1.481999999999971,14.886999999999716,16.787999999999556,21.990999999999985,23.414999999999964,24.68199999999979,25.985999999999876,37.48700000000008,38.189000000000306,39.384000000000015,40.5649999999996,41.917999999999665,57.39800000000014,35.797999999999774,47.61899999999969,37.07299999999941,49.930999999999585,46.78299999999945,
28.0,0.0,1.63799999999992,15.222999999999956,17.34100000000035,23.142000000000735,24.78099999999995,26.283000000000357,27.421000000000276,39.94300000000021,40.552999999999884,42.07300000000032,43.08400000000074,44.40900000000056,58.289999999999964,37.92500000000018,50.436000000000604,39.240999999999985,53.96900000000005,49.30000000000018,
29.0,0.0,2.2580000000007203,15.416000000000167,17.44300000000021,24.140000000000327,25.647000000000844,27.35699999999997,28.50500000000011,41.64300000000003,42.475000000000364,44.194000000000415,45.197000000000116,46.652000000000044,59.09200000000055,40.014000000000124,52.88800000000083,40.64300000000003,56.28900000000067,51.48900000000049,
30.0,0.0,2.4390000000003056,16.396999999999935,17.73999999999978,25.36499999999978,26.942000000000007,28.53899999999976,29.44300000000021,43.69800000000032,44.414999999999964,46.45400000000063,47.18299999999999,48.2480000000005,60.29899999999998,42.07099999999991,55.46900000000005,42.92700000000059,58.7440000000006,54.16600000000017,
31.0,0.0,2.30199999999968,16.92999999999938,18.03599999999915,26.680999999999585,28.014999999999418,29.448999999999614,30.574999999999818,45.60099999999966,46.237999999999374,48.00699999999961,49.0679999999993,50.07600000000002,61.460000000000036,43.909999999999854,57.646999999999935,44.86999999999989,61.22999999999956,56.23399999999947,
32.0,0.0,2.3450000000002547,17.246000000000095,18.91899999999987,27.914999999999964,29.287000000000262,30.585000000000036,32.220000000000255,47.460000000000036,48.28200000000015,50.05199999999968,51.396999999999935,51.90599999999995,64.09999999999945,45.83100000000013,59.85699999999997,46.766999999999825,63.965000000000146,58.539999999999964,
33.0,0.0,2.293000000000575,17.577000000000226,19.874000000000706,28.910000000000764,30.110000000000582,31.726000000000568,33.71600000000035,49.306000000000495,50.10600000000068,52.03900000000067,53.28600000000006,53.89300000000003,65.60800000000017,47.52600000000075,61.82600000000002,48.71300000000065,67.9310000000005,60.8070000000007,
34.0,0.0,2.2489999999997963,18.188000000000102,20.764000000000124,29.936999999999898,31.117999999999483,32.99200000000019,34.99200000000019,51.14399999999932,51.76599999999962,54.322000000000116,55.50999999999931,56.050999999999476,66.82699999999932,49.33799999999974,64.10300000000007,50.18199999999979,74.66699999999946,63.17199999999957,
35.0,0.0,2.5010000000002037,18.908000000000357,21.71100000000024,31.438000000000102,32.08299999999963,34.69999999999982,36.667999999999665,53.01599999999962,53.75799999999981,56.60999999999967,57.917999999999665,58.66899999999987,68.59699999999975,51.4970000000003,66.69000000000051,52.45100000000002,94.58200000000033,65.89000000000033,
36.0,0.0,2.6530000000002474,19.45600000000013,22.891999999999825,32.858000000000175,33.39099999999962,36.15800000000036,37.914999999999964,55.47199999999975,56.121000000000095,58.636999999999716,60.78300000000036,61.11899999999969,70.23899999999958,53.891999999999825,69.40599999999995,54.71600000000035,95.98800000000028,74.65300000000025,
37.0,0.0,3.001999999999498,19.8179999999993,23.26599999999962,34.076999999999316,34.71099999999933,37.482999999999265,39.17900000000009,57.39799999999923,58.29099999999926,60.680999999999585,63.08299999999963,63.737999999999374,71.75999999999931,55.64099999999962,71.27999999999975,56.61200000000008,97.73999999999978,,
38.0,0.0,3.4589999999998327,20.067000000000007,24.203999999999724,34.86399999999958,35.80000000000018,38.677999999999884,40.09699999999975,59.0659999999998,59.96599999999944,62.53200000000015,65.22099999999955,65.98199999999997,73.81800000000021,57.23099999999977,73.42399999999998,58.44300000000021,99.54600000000028,,
39.0,0.0,3.5169999999998254,20.23999999999978,24.753999999999905,35.96700000000055,36.54100000000017,39.55799999999999,40.89400000000023,60.8720000000003,61.728000000000065,64.3130000000001,67.10100000000057,67.91100000000006,75.9409999999998,59.03600000000006,75.65500000000065,60.09299999999985,101.66700000000037,,
40.0,0.0,3.5929999999989377,20.261000000000422,24.78399999999965,37.152000000000044,37.483000000000175,40.41899999999987,41.52900000000045,62.46700000000055,63.26299999999901,66.20999999999913,68.80799999999908,69.22199999999975,78.51800000000003,60.586999999999534,78.03800000000047,61.67699999999968,103.16599999999926,,
41.0,0.0,3.040000000000873,19.968000000000757,24.105999999999767,38.06999999999971,38.538000000000466,40.840000000000146,41.876000000000204,63.65400000000045,64.32799999999952,67.6309999999994,69.98500000000058,70.89700000000084,80.04800000000068,61.73700000000099,79.5619999999999,62.94599999999991,104.6890000000003,,
42.0,0.0,3.0940000000009604,19.87800000000061,23.94300000000112,38.97600000000057,39.64800000000105,41.629000000000815,42.51600000000144,65.19900000000052,65.99700000000121,69.42400000000089,71.73400000000038,72.38600000000042,82.02800000000025,63.34100000000035,81.84400000000096,64.71100000000115,107.6190000000006,,
43.0,0.0,3.061999999999898,19.673000000000684,23.740999999999985,39.884000000000015,40.48700000000099,42.71100000000115,43.54200000000128,67.25600000000122,68.13299999999981,71.47800000000097,73.46600000000035,74.07400000000052,84.01600000000144,65.25,85.6180000000004,66.99099999999999,110.80299999999988,,
44.0,0.0,3.5870000000013533,20.246000000001004,23.773000000001048,40.632000000001426,41.277000000000044,43.81700000000092,44.88100000000122,69.77599999999984,70.6200000000008,73.58799999999974,75.54900000000089,76.09900000000016,85.3140000000003,67.16899999999987,87.91500000000087,69.3640000000014,112.91700000000128,,
45.0,0.0,3.7669999999998254,20.17200000000048,23.779999999998836,41.33499999999913,41.88799999999901,44.48400000000038,45.66100000000006,72.55699999999888,74.27099999999882,75.82400000000052,77.44800000000032,77.9409999999989,86.26900000000023,69.07999999999993,89.92499999999927,74.10499999999956,114.65599999999904,,
46.0,0.0,3.7219999999997526,20.368000000000393,23.85200000000077,42.111000000000786,43.108000000000175,45.46800000000076,46.68299999999908,73.95999999999913,76.83300000000054,78.28600000000006,79.33100000000013,79.88700000000063,87.3140000000003,70.95499999999993,92.01299999999901,77.02399999999943,116.52399999999943,,
47.0,0.0,3.3170000000009168,20.277000000000044,23.592000000000553,42.57999999999993,43.5520000000015,46.14300000000003,47.20600000000013,75.00900000000001,78.33700000000135,80.30500000000029,80.8130000000001,81.69400000000132,87.71500000000015,72.34300000000076,93.51500000000124,80.25900000000001,118.07300000000032,,
48.0,0.0,2.9909999999999854,20.43000000000029,23.240999999999985,42.86300000000119,44.00600000000122,47.030000000000655,48.048000000000684,76.3140000000003,79.92400000000089,82.47300000000178,84.19200000000092,84.72800000000097,88.37900000000081,73.8650000000016,95.37700000000041,84.375,119.93500000000131,,
49.0,0.0,2.8539999999993597,20.3799999999992,22.870999999999185,43.722999999999956,44.83400000000074,48.30500000000029,55.58899999999994,77.44100000000071,81.51800000000003,84.29199999999946,85.92400000000089,87.33400000000074,89.35000000000036,75.16200000000026,97.26699999999983,92.94599999999991,121.97299999999996,,
50.0,0.0,2.8189999999995052,20.76800000000003,22.72099999999955,44.66699999999946,45.63000000000102,49.9940000000006,75.79299999999967,78.90799999999945,83.06999999999971,85.81600000000071,87.625,88.84699999999975,90.36000000000058,81.50500000000102,99.18499999999949,114.90300000000025,124.03600000000006,,
51.0,0.0,2.125,21.251000000000204,22.06800000000112,45.4940000000006,46.123999999999796,51.64800000000105,74.23700000000099,80.37900000000081,83.871000000001,86.52100000000064,88.6239999999998,89.77100000000064,91.33300000000054,97.82800000000134,100.89700000000084,,,,
