,VER,PER,SAI,LEC,RUS,HAM,ALB,NOR,ALO,BOT,LAW,PIA,SAR,ZHO,GAS,STR,HUL,MAG,OCO,TSU
1.0,,,,,,,,,,,,,,,,,,,,
2.0,0.944999999999709,3.563999999999396,0.0,1.9439999999995052,2.9020000000000437,6.724999999999454,4.72899999999936,5.9650000000001455,8.22899999999936,9.719999999999345,8.787999999999556,5.244999999999891,9.363999999999578,10.237999999999374,11.54699999999957,12.61700000000019,7.516999999999825,12.265999999999622,11.198999999999614,
3.0,0.6710000000002765,3.730999999999767,0.0,1.6869999999998981,3.1019999999998618,8.038000000000466,5.331000000000131,7.094000000000051,9.798999999999978,11.694000000000415,10.469000000000051,6.251000000000204,11.034999999999854,12.13299999999981,13.48700000000008,15.25500000000011,8.90099999999984,14.82800000000043,13.045000000000073,
4.0,0.6540000000004511,3.6829999999999927,0.0,1.6450000000004366,3.212999999999738,9.203999999999724,5.94800000000032,8.096000000000458,10.95300000000043,12.746000000000095,11.532000000000153,7.188000000000102,12.356999999999971,13.681000000000495,14.891999999999825,16.913000000000466,10.03399999999965,18.01299999999992,14.5600000000004,
5.0,0.4070000000001528,3.6140000000004875,0.0,1.4880000000002838,3.0390000000006694,9.796000000000276,6.393000000000029,8.81500000000051,11.563000000000102,13.898000000000138,12.314000000000306,7.673999999999978,13.10400000000027,14.793000000000575,16.163000000000466,18.064000000000306,10.64600000000064,19.865999999999985,15.521999999999935,
6.0,0.6289999999999054,3.463999999999942,0.0,1.3559999999997672,2.938999999999396,9.891999999999825,6.438999999999396,8.995999999999185,12.122999999999593,14.432999999999993,12.961999999999534,7.936999999999898,13.623999999999796,15.243999999999687,16.87199999999939,19.104999999999563,11.199999999999818,21.199999999999818,16.212999999999738,
7.0,0.6390000000001237,3.4390000000003056,0.0,1.4710000000004584,3.0960000000004584,10.234000000000378,6.854000000000269,9.502000000000407,12.694000000000415,15.4350000000004,13.75800000000072,8.519000000000233,14.517000000000735,16.071000000000822,17.72400000000016,19.847000000000662,12.307000000000698,22.533000000000357,16.972000000000662,
8.0,0.40500000000065484,4.101999999999862,0.0,1.219000000000051,3.4660000000003492,10.653000000000247,7.306000000000495,9.905999999999949,13.413000000000466,16.438000000000102,14.864999999999782,9.145000000000437,15.52599999999984,17.100000000000364,18.73999999999978,20.985000000000582,14.141999999999825,24.244000000000597,18.05699999999979,
9.0,0.5339999999996508,4.1899999999996,0.0,1.420999999999367,3.699999999999818,10.932999999999993,7.667999999999665,10.32299999999941,14.319999999999709,17.22699999999986,15.894999999999527,9.532999999999447,16.509000000000015,18.039999999999964,19.6299999999992,21.820999999999913,15.146999999999935,25.985999999999876,18.97699999999986,
10.0,0.6260000000002037,4.132999999999811,0.0,1.6970000000001164,3.844000000000051,11.417000000000371,8.462000000000444,10.777000000000044,15.17699999999968,18.578999999999724,17.032000000000153,9.845000000000255,17.682999999999993,19.07300000000032,25.153000000000247,22.84900000000016,16.199000000000524,27.985999999999876,20.07300000000032,
11.0,0.5780000000004293,4.686999999999898,0.0,1.844000000000051,4.338999999999942,11.845000000000255,9.160000000000764,11.152000000000044,15.829000000000633,19.58100000000013,18.233000000000175,10.371000000000095,18.796000000000276,24.569000000000415,48.63200000000052,23.527000000000044,17.563000000000102,30.087000000000444,21.11999999999989,
12.0,0.61200000000008,5.247000000000298,0.0,2.130000000000109,4.975000000000364,12.631000000000313,10.284999999999854,12.181999999999789,16.76000000000022,21.889000000000124,19.45600000000013,11.417000000000371,21.082000000000335,45.39800000000014,49.654999999999745,24.929000000000087,20.246000000000095,36.952000000000226,22.944000000000415,
13.0,0.39100000000053114,5.374000000000706,0.0,1.800000000000182,5.050000000000182,13.036000000000058,11.074000000000524,12.654000000000451,17.03099999999995,23.009000000000015,24.6220000000003,12.048000000000684,21.994000000000597,44.764000000000124,50.13600000000042,26.264000000000124,21.368000000000393,58.48900000000049,23.912000000000262,
14.0,0.4469999999992069,5.852999999999156,0.0,1.768000000000029,5.362999999999374,13.589999999999236,11.824999999999818,13.159999999999854,17.665999999999258,24.027999999999338,44.99399999999969,12.446999999999207,28.09599999999955,45.56700000000001,50.511999999999716,27.34899999999925,27.053999999999178,59.59699999999975,25.03099999999995,
15.0,0.0,5.403000000000247,0.9899999999997817,1.8530000000000655,5.139000000000124,14.445999999999913,16.896999999999935,13.726999999999862,17.365999999999985,24.226000000000568,44.79500000000007,12.956000000000131,48.25600000000031,45.983000000000175,50.64600000000064,28.298999999999978,49.44000000000051,60.21600000000035,25.998999999999796,
16.0,0.0,5.50800000000072,1.5950000000002547,2.2899999999999636,6.3969999999999345,14.968000000000757,37.78400000000056,14.208000000000538,17.812000000000808,25.332000000000335,45.48900000000049,13.439000000000306,48.37800000000061,46.418000000000575,51.01600000000053,29.661000000000058,49.712000000000444,61.146999999999935,27.530000000000655,
17.0,0.0,5.786000000000058,2.5830000000005384,3.2269999999998618,6.719000000000051,15.820000000000618,38.13799999999992,15.072000000000116,18.235000000000582,26.069000000000415,45.801000000000386,14.14600000000064,48.64500000000044,46.551000000000386,51.35900000000038,30.837000000000444,49.96700000000055,62.00300000000061,28.908000000000357,
18.0,0.0,6.278000000000247,3.8220000000001164,4.4520000000002256,7.8289999999997235,16.826000000000022,38.75799999999981,16.070999999999913,19.23700000000008,27.43000000000029,46.34299999999985,15.27099999999973,49.27800000000025,47.33299999999963,52.139000000000124,32.965000000000146,50.988000000000284,63.6279999999997,30.89599999999973,
19.0,0.0,6.5090000000000146,9.296000000000276,5.716000000000349,13.27599999999984,17.836999999999534,39.6279999999997,16.912999999999556,20.11700000000019,28.716999999999643,46.952000000000226,16.1850000000004,50.00500000000011,48.24200000000019,52.836999999999534,34.577000000000226,51.86200000000008,64.34900000000016,32.67399999999998,
20.0,0.0,2.168999999999869,25.208999999999833,6.0219999999999345,27.73700000000008,14.818000000000211,35.63199999999961,13.779999999999745,17.55199999999968,26.305999999999585,42.99299999999948,13.081999999999425,46.435999999999694,44.46799999999985,49.02300000000014,36.753999999999905,48.09099999999944,60.51099999999951,31.211999999999534,
21.0,12.556999999999789,0.0,18.251999999999498,18.760999999999513,21.090000000000146,9.113999999999578,29.13000000000011,8.394999999999527,16.826000000000022,22.24699999999939,37.060999999999694,7.5659999999998035,40.69599999999991,38.534999999999854,43.625999999999294,52.5019999999995,42.14899999999943,54.53600000000006,26.597999999999956,
22.0,3.4570000000003347,10.243000000000393,8.824999999999818,9.518000000000029,12.819999999999709,1.2830000000003565,20.978000000000065,5.056999999999789,29.113000000000284,15.377999999999702,30.13500000000022,0.0,33.176000000000386,30.88299999999981,35.85999999999967,44.259000000000015,34.238000000000284,46.79500000000007,20.4970000000003,
23.0,1.0659999999998035,7.256999999999607,6.068000000000211,6.774999999999636,10.875,0.0,19.34099999999944,22.78899999999976,27.412000000000262,14.951000000000022,28.800000000000182,3.3159999999998035,31.774999999999636,29.617999999999483,34.764000000000124,42.67699999999968,32.978000000000065,45.73700000000008,21.421000000000276,
24.0,0.0820000000003347,5.704999999999927,4.65900000000056,5.3969999999999345,10.235000000000582,0.0,18.778000000000247,21.6220000000003,27.050000000000182,15.662000000000262,28.538000000000466,22.85900000000038,31.56800000000021,29.460000000000036,34.51299999999992,42.70600000000013,32.8100000000004,45.962000000000444,27.60900000000038,
25.0,0.0,5.713999999999942,4.667999999999665,5.462000000000444,10.559000000000196,1.7950000000000728,19.68000000000029,22.050000000000182,27.95300000000043,22.480000000000473,29.746000000000095,23.274000000000342,32.73700000000008,30.49200000000019,35.73999999999978,43.88600000000042,34.042999999999665,47.46799999999985,48.990999999999985,
26.0,0.0,5.811999999999898,4.717999999999847,5.439000000000306,11.182999999999993,3.4160000000001673,20.94300000000021,22.666000000000167,28.958999999999833,43.26900000000023,31.048999999999978,23.774999999999636,33.97199999999975,31.86999999999989,37.54399999999987,45.35900000000038,35.60099999999966,49.100000000000364,50.363000000000284,
27.0,0.0,6.766999999999825,5.381999999999607,6.171999999999571,11.865999999999985,11.143000000000029,22.17699999999968,23.649999999999636,30.123999999999796,43.7559999999994,32.57299999999941,24.521999999999935,35.72400000000016,33.71699999999964,39.23199999999997,46.53299999999945,37.18000000000029,50.818999999999505,51.98099999999977,
28.0,0.0,6.916999999999462,5.717999999999847,6.40099999999984,12.71599999999944,31.686999999999898,23.766999999999825,24.61200000000008,31.412999999999556,44.80799999999999,34.51499999999942,25.698999999999614,37.83599999999933,36.14099999999962,41.318999999999505,48.18399999999929,39.34599999999955,52.53899999999976,53.73700000000008,
29.0,0.0,7.05199999999968,5.9669999999996435,6.743999999999687,13.385000000000218,31.797999999999774,25.27300000000014,25.613000000000284,32.939000000000306,45.538000000000466,36.152000000000044,26.359999999999673,39.909999999999854,38.02599999999984,43.23099999999977,49.521999999999935,41.34100000000035,54.41200000000026,55.615999999999985,
30.0,0.0,7.411000000000058,6.069999999999709,7.127999999999702,13.95299999999952,32.73999999999978,26.8149999999996,27.182999999999993,34.45600000000013,46.78300000000036,38.240999999999985,28.036000000000058,41.63299999999981,40.06999999999971,45.490999999999985,51.047999999999774,43.71799999999985,56.39800000000014,57.52599999999984,
31.0,0.0,8.323999999999614,6.285999999999149,8.121999999999389,14.59899999999925,33.641999999999825,28.047999999999774,28.589999999999236,35.80199999999968,47.92899999999918,40.253999999999905,29.393999999999323,43.59199999999964,42.250999999999294,52.1929999999993,52.162999999999556,45.76299999999992,58.38199999999961,59.23199999999997,
32.0,0.0,8.793999999999869,6.7719999999999345,9.581000000000131,15.247999999999593,34.85199999999986,29.06999999999971,29.76599999999962,37.139000000000124,49.125,42.340000000000146,30.729999999999563,45.70399999999972,44.66100000000006,73.5029999999997,53.585000000000036,48.32899999999972,60.52799999999934,60.9409999999998,
