,VER,HAM,ALO,STR,PER,NOR,HUL,PIA,ZHO,TSU,BOT,SAI,GAS,OCO,DEV,SAR,MAG,RUS,ALB,LEC
1.0,,,,,,,,,,,,,,,,,,,,
2.0,2.524000000000342,1.3640000000000327,5.119000000000142,8.042000000000371,32.733000000000175,13.227000000000317,11.572000000000116,14.913000000000011,18.67800000000034,12.825000000000273,20.151000000000295,4.125,10.464000000000397,17.438000000000102,16.235000000000127,33.402000000000044,14.471000000000004,0.0,6.019000000000233,
3.0,1.1640000000006694,0.7090000000007421,2.604000000000269,3.782000000000153,11.365000000000691,6.007000000000517,4.7590000000000146,7.065000000000509,10.371000000000095,5.604000000000269,10.97900000000027,2.066000000000713,4.279000000000451,8.710000000000036,8.170000000000073,12.192000000000007,6.479000000000269,0.0,3.356999999999971,
4.0,1.4210000000002765,0.8700000000008004,3.7630000000008295,5.0330000000003565,13.338999999999942,8.317000000000007,6.458000000000538,9.359000000000378,12.441000000000713,7.769000000000233,14.201000000000022,2.821000000000822,5.816000000000713,11.179000000000087,10.295000000000073,14.86200000000008,8.751000000000204,0.0,4.550000000000182,
5.0,1.3910000000005311,0.9059999999999491,3.9190000000007785,5.83600000000024,14.706000000000131,9.914999999999964,7.619000000000597,11.221000000000458,14.154000000000451,9.25500000000011,15.916000000000167,2.904000000000451,6.972000000000662,13.019000000000233,12.186000000000604,16.864000000000487,10.671000000000276,0.0,5.055000000000291,
6.0,1.074999999999818,0.6369999999997162,3.3629999999993743,5.752999999999702,15.130999999999403,10.613999999999578,7.998999999999796,12.113999999999578,15.850999999999658,10.206000000000131,17.087999999999738,2.5540000000000873,7.3419999999996435,13.82299999999941,13.206999999999425,18.023999999999432,11.467999999999847,0.0,5.244999999999891,
7.0,1.363999999999578,0.0,3.936999999999898,9.001999999999498,21.460000000000036,18.225999999999658,12.384000000000015,18.889000000000124,22.337999999999738,17.264000000000124,25.475999999999658,15.974999999999454,9.131999999999607,20.58299999999963,20.2529999999997,25.936999999999898,34.47699999999986,12.756000000000313,116.17399999999998,
8.0,909.9319999999998,0.0,914.1930000000002,917.6949999999997,952.4920000000002,936.9849999999997,922.0140000000001,939.2240000000002,956.2179999999998,933.085,958.3720000000003,943.3859999999995,919.9499999999998,949.393,946.7759999999998,960.5129999999999,967.3099999999995,929.259,,
9.0,36.634000000000015,0.0,37.10600000000068,37.52000000000044,39.595000000000255,38.8730000000005,38.238000000000284,39.212000000000444,39.97699999999986,38.728000000000065,40.08300000000054,39.28300000000036,37.733000000000175,39.57000000000062,39.4320000000007,40.07300000000032,40.4350000000004,38.235999999999876,,
10.0,0.8410000000003492,0.0,2.154000000000451,4.399000000000342,9.411000000000058,6.179000000000087,4.882000000000517,7.413000000000466,8.014000000000124,5.7719999999999345,10.664999999999964,6.527000000000044,3.1500000000005457,8.517000000000735,10.09900000000016,9.08600000000024,8.977000000000771,3.834000000000742,,
11.0,0.511000000000422,0.0,3.0080000000007203,5.347000000000662,11.624000000000706,8.206000000000131,5.914999999999964,8.844000000000051,9.454000000000633,6.860000000000582,12.764000000000124,7.170000000000073,3.8190000000004147,9.993000000000393,12.200000000000728,11.056000000000495,10.576000000000022,4.661000000000058,,
12.0,0.0,2.1109999999998763,3.824000000000524,6.119000000000597,13.101000000000568,9.476000000000568,6.6710000000002765,10.097999999999956,10.818000000000211,8.951000000000022,14.655999999999949,7.8640000000004875,4.96100000000024,11.329000000000633,13.813000000000102,12.631000000000313,11.934000000000196,5.325000000000728,,
13.0,0.0,2.5960000000004584,4.17200000000048,6.635000000000218,12.86700000000019,9.730000000000473,7.104000000000269,10.307999999999993,10.943000000000211,9.293999999999869,14.764000000000124,7.440000000000509,6.243000000000393,11.529000000000451,14.106000000000677,13.590000000000146,12.186000000000604,5.744000000000597,,
14.0,0.0,3.344999999999345,4.726999999999862,7.036999999999352,13.32799999999952,10.167999999999665,8.363999999999578,10.998999999999796,11.654999999999745,10.793999999999869,15.492999999999483,7.528999999999542,6.641999999999825,12.149999999999636,14.898999999999432,14.219999999999345,12.83599999999933,5.947999999999411,,
15.0,0.0,3.52599999999984,4.917999999999665,7.86699999999928,14.677999999999884,10.918999999999869,8.556999999999789,13.417999999999665,13.865999999999985,11.92199999999957,16.61499999999978,7.298999999999978,6.902999999999338,14.216999999999643,16.065999999999804,15.588999999999942,15.17699999999968,6.210000000000036,,
16.0,0.0,3.861000000000786,4.579000000000633,8.345000000000255,16.37800000000061,11.431000000000495,8.782000000000153,14.377000000000407,16.812000000000808,13.327000000000226,18.472000000000662,7.925000000000182,7.081000000000131,15.06500000000051,18.15599999999995,17.666000000000167,17.265000000000327,6.291000000000167,,
17.0,0.0,3.3869999999997162,4.244999999999891,9.067000000000007,16.1279999999997,11.822000000000116,9.886999999999716,15.011000000000422,17.59100000000035,14.435999999999694,19.980000000000473,8.275000000000546,7.729000000000269,15.478000000000065,19.570999999999913,19.176000000000386,18.243999999999687,18.184000000000196,,
18.0,0.0,3.5599999999994907,5.15099999999984,14.091999999999643,24.295999999999367,17.463999999999942,14.714999999999236,21.55499999999938,24.920000000000073,20.59599999999955,29.567000000000007,12.540999999999258,10.5,23.067000000000007,31.097999999999956,27.912999999999556,27.08299999999963,3089.763999999999,,
19.0,0.0,2.850999999999658,3.7869999999993524,9.049999999999272,17.110999999999876,12.16399999999976,10.205999999999221,15.885999999999513,18.975999999999658,15.194999999999709,22.513999999999214,8.323999999999614,7.157999999999447,16.603000000000065,23.289999999999964,21.078999999999724,20.277999999999338,,,
20.0,0.0,2.5820000000003347,4.311000000000604,8.816000000000713,17.47900000000027,12.516000000000531,10.430000000000291,16.548000000000684,20.25300000000061,16.07300000000032,25.923000000000684,8.037000000000262,7.368000000000393,16.98400000000038,25.062000000000808,22.45600000000013,21.472999999999956,,,
21.0,0.0,3.175999999999476,5.121999999999389,8.893000000000029,18.90599999999995,13.233999999999469,11.001000000000204,18.434000000000196,21.411000000000058,17.868999999999687,28.317000000000007,8.077000000000226,7.707999999999629,19.215000000000146,26.743999999999687,24.22400000000016,22.787999999999556,,,
22.0,0.0,3.626999999999498,5.906999999999243,9.354999999999563,19.373999999999796,13.496999999999389,11.356999999999971,20.018999999999323,22.346999999999753,18.821999999999207,29.800999999999476,8.71099999999933,8.28899999999976,20.463999999999942,28.823999999999614,26.013999999999214,23.90599999999995,,,
23.0,0.0,4.405000000000655,6.801000000000386,9.860999999999876,19.36700000000019,13.954000000000633,11.753999999999905,21.02599999999984,23.572000000000116,20.475000000000364,31.092999999999847,9.041000000000167,8.627000000000407,21.856000000000677,30.650000000000546,27.802999999999884,25.02599999999984,,,
24.0,0.0,5.736000000000786,7.843000000000757,10.561000000000604,20.202000000000226,14.647000000000844,12.550000000000182,22.97900000000027,24.850000000000364,22.392000000000735,33.405000000000655,9.623000000000502,9.282000000000153,23.41700000000037,33.03600000000006,30.009000000000015,26.226000000000568,,,
25.0,0.0,6.087999999999738,8.672999999999774,11.82800000000043,20.162000000000262,15.103000000000065,13.51299999999992,24.353000000000065,26.20600000000013,23.900000000000546,35.78200000000015,10.51299999999992,11.422999999999774,24.94500000000062,35.38500000000022,31.89800000000014,27.337999999999738,,,
26.0,0.0,6.71100000000024,9.02600000000075,12.358000000000175,20.41400000000067,15.589000000000851,14.020000000000437,26.70800000000054,27.722000000000662,25.35900000000038,37.95900000000074,10.97900000000027,11.764000000000124,25.886000000000422,37.76600000000053,34.13100000000031,28.601000000000568,,,
27.0,0.0,6.918000000000575,9.456000000000131,12.538000000000466,20.5600000000004,16.080000000000837,14.317000000000007,27.77900000000045,28.429000000000087,27.12800000000061,40.5630000000001,11.154000000000451,11.955000000000837,26.009000000000015,41.85600000000068,35.965000000000146,29.231000000000677,,,
28.0,0.0,7.0,9.431000000000495,12.798999999999978,20.8779999999997,16.579999999999927,14.72400000000016,28.677999999999884,29.407000000000153,28.332000000000335,41.9350000000004,11.146999999999935,12.055000000000291,26.338999999999942,44.33600000000024,37.77400000000034,30.7470000000003,,,
29.0,0.0,7.943000000000211,9.688000000000102,13.032000000000153,21.014000000000124,17.04200000000037,15.175000000000182,29.541000000000167,30.88500000000022,30.45300000000043,43.17699999999968,11.787000000000262,12.520000000000437,26.704999999999927,47.09100000000035,40.123999999999796,31.561999999999898,,,
