,VER,PIA,NOR,RUS,LEC,ALO,OCO,BOT,ZHO,PER,STR,GAS,ALB,MAG,TSU,HUL,LAW,SAR,HAM,55
1.0,0.0,2.8479999999999563,9.486000000000331,28.083000000000084,6.39200000000028,4.265000000000327,7.798000000000229,12.833000000000084,23.144000000000233,25.60699999999997,18.460000000000036,10.916999999999916,15.602000000000317,19.91300000000001,11.816000000000258,14.169000000000324,21.496000000000095,16.378000000000156,0.0,
2.0,0.0,0.874000000000251,5.871999999999844,27.297000000000025,2.855000000000018,1.818000000000211,3.731999999999971,10.760000000000218,21.50500000000011,22.98199999999997,17.24499999999989,7.983999999999924,14.13799999999992,19.01299999999992,9.427000000000135,12.773999999999887,20.46100000000024,15.554000000000087,,
3.0,0.0,0.8070000000006985,6.664000000000669,18.4970000000003,4.030000000000655,2.1220000000002983,5.076000000000022,12.954000000000633,15.238000000000284,16.686000000000604,17.329000000000633,8.300000000000182,11.725000000000364,17.045000000000073,10.05200000000059,10.898000000000138,18.142000000000735,12.753000000000611,,
4.0,0.0,1.0649999999995998,2.8479999999999563,5.930999999999585,2.0159999999996217,1.5359999999991487,2.423999999999978,6.193999999999505,5.107999999999265,5.745999999999185,7.009999999999309,3.3179999999993015,4.201999999999316,6.809999999999491,3.4459999999999127,3.977999999999156,7.6929999999993015,4.677999999999884,,
5.0,0.0,1.26299999999992,4.804000000000087,9.316000000000713,3.1900000000005093,2.144000000000233,4.016000000000531,9.951000000000022,8.246000000000095,8.864000000000487,11.0600000000004,5.644000000000233,6.986000000000786,10.456000000000131,6.25,6.499000000000706,12.046000000000276,7.568000000000211,,
6.0,0.0,1.181999999999789,6.493999999999687,11.805999999999585,3.7299999999995634,2.319999999999709,5.153999999999542,13.114999999999782,11.445999999999913,12.604999999999563,14.465000000000146,7.162999999999556,10.286999999999352,13.61700000000019,9.146999999999935,8.097999999999956,15.740999999999985,10.886999999999716,,
7.0,0.0,1.6549999999997453,7.795000000000073,14.13799999999992,4.7719999999999345,3.7770000000000437,6.493000000000393,15.680000000000291,13.605999999999767,14.78899999999976,17.408000000000357,8.673999999999978,11.930000000000291,16.909999999999854,11.287000000000262,10.252999999999702,18.837999999999738,12.940999999999804,,
8.0,0.0,2.1400000000003274,8.694999999999709,14.82800000000043,5.447000000000116,4.467999999999847,7.4350000000004,17.358000000000175,15.676000000000386,16.230999999999767,18.903000000000247,9.761999999999716,13.181999999999789,19.72400000000016,12.605999999999767,11.592999999999847,20.88799999999992,14.452000000000226,,
9.0,0.0,2.3640000000004875,9.40899999999965,15.606999999999971,6.063000000000102,4.746000000000095,8.409999999999854,19.309000000000196,17.42200000000048,17.76000000000022,20.38299999999981,10.658000000000357,14.905999999999949,21.899000000000342,18.386000000000422,13.350999999999658,22.686999999999898,16.824999999999818,,
10.0,0.0,2.4290000000000873,10.061999999999898,16.23999999999978,6.532999999999447,5.243999999999687,13.360999999999876,20.80999999999949,19.394999999999527,19.875,21.923999999999978,11.61699999999928,15.693999999999505,23.960000000000036,41.134000000000015,14.854999999999563,24.46099999999933,18.532000000000153,,
11.0,0.0,2.9549999999999272,10.100999999999658,17.436999999999898,6.777999999999338,9.951999999999316,37.64099999999962,22.67999999999938,20.965000000000146,21.335000000000036,23.497999999999593,16.412999999999556,16.858000000000175,25.560999999999694,42.42900000000009,16.204999999999927,26.210000000000036,20.277000000000044,,
12.0,0.0,6.785000000000764,10.094000000000051,17.827000000000226,11.227000000000771,33.32800000000043,38.3720000000003,24.767000000000735,22.585000000000036,23.218000000000757,25.702000000000226,40.81800000000021,19.34900000000016,28.37800000000061,42.759000000000015,17.290000000000873,28.84400000000005,21.77300000000014,,
