,VER,NOR,PER,HAM,PIA,RUS,LEC,SAI,ALO,STR,ALB,BOT,RIC,HUL,TSU,ZHO,MAG,SAR,OCO,GAS
1.0,0.0,1.9960000000000946,5.148000000000138,2.619000000000142,0.7660000000000764,8.092999999999847,3.393000000000029,3.875,4.650000000000091,6.173000000000229,8.641000000000076,7.322999999999865,10.193000000000211,5.65099999999984,6.891999999999825,8.807000000000244,7.845000000000255,9.512000000000171,19.077000000000226,37.10600000000022
2.0,0.0,2.6590000000001055,6.760999999999967,3.513999999999669,1.225999999999658,9.708000000000084,4.571999999999662,4.947999999999865,6.373999999999796,8.018000000000029,11.013999999999669,9.257000000000062,12.933999999999742,7.395999999999731,8.751999999999953,11.58199999999988,10.458999999999833,12.228999999999814,35.10099999999966,
3.0,0.0,2.794000000000324,7.96100000000024,3.8710000000000946,1.2710000000001855,11.475000000000364,5.151000000000295,5.940000000000055,7.216000000000349,9.206000000000131,12.740000000000236,10.711999999999989,14.74200000000019,8.635000000000218,10.055000000000291,13.286000000000058,12.146000000000186,13.985000000000127,,
4.0,0.0,3.0459999999998217,9.12099999999964,3.88799999999992,1.613999999999578,12.87099999999964,5.847999999999956,6.713999999999942,8.576000000000022,10.584999999999582,14.435999999999694,12.135999999999967,16.83299999999963,9.981999999999971,11.31899999999996,15.156999999999698,13.702999999999975,15.95699999999988,,
5.0,0.0,3.095999999999549,10.109999999999673,4.356999999999971,1.6980000000003201,14.128999999999905,6.2169999999996435,7.210000000000036,9.681999999999789,11.66399999999976,15.947000000000116,13.28399999999965,18.225999999999658,10.96100000000024,12.461999999999534,16.65099999999984,14.926000000000386,17.527000000000044,,
6.0,0.0,3.326000000000022,11.16400000000067,4.928000000000793,1.943000000000211,15.372000000000298,6.713000000000648,8.030000000000655,10.590000000000146,12.756000000000313,17.436000000000604,14.418000000000575,19.83100000000013,12.07300000000032,13.539999999999964,18.368000000000393,16.432999999999993,19.11500000000069,,
7.0,0.0,3.9770000000007713,12.122000000000298,5.619999999999891,2.3760000000002037,16.725000000000364,7.3659999999999854,9.204999999999927,11.667000000000371,14.015000000000327,18.83300000000054,15.669000000000779,21.41700000000037,13.19800000000032,14.851000000000568,19.814000000000306,17.923000000000684,20.730000000000473,,
8.0,0.0,4.472999999999956,12.449000000000524,6.027000000000044,2.618000000000393,18.27900000000045,8.322000000000116,10.358000000000175,14.268000000000029,15.744000000000597,22.377000000000407,17.235999999999876,23.3070000000007,14.981000000000677,16.498000000000502,21.34100000000035,19.509000000000015,22.26299999999992,,
9.0,0.0,5.235000000000582,13.319000000000415,7.006000000000313,3.161000000000058,20.108000000000175,9.154000000000451,11.528000000000247,16.140000000000327,20.239000000000487,40.65100000000075,21.717000000000553,24.785000000000764,16.923000000000684,20.923000000000684,22.748000000000502,21.46100000000024,23.873000000000502,,
10.0,0.0,5.787999999999556,14.104999999999563,7.72400000000016,3.4849999999996726,20.936999999999898,9.800999999999476,12.376999999999498,17.237999999999374,38.41399999999976,42.04699999999957,40.75500000000011,26.57799999999952,18.485999999999876,44.715000000000146,26.527999999999338,23.5,25.487999999999374,,
11.0,0.0,6.201000000000022,14.94800000000032,8.414999999999964,4.109000000000378,22.170000000000073,10.400000000000546,13.458000000000538,17.94000000000051,38.78300000000036,42.41899999999987,40.53900000000067,28.119000000000597,20.14300000000003,44.990999999999985,52.003999999999905,25.007000000000517,26.64600000000064,,
12.0,0.0,6.895999999999731,15.891999999999825,9.1899999999996,4.810999999999694,23.859999999999673,11.329999999999927,14.518000000000029,18.80499999999938,39.33599999999933,43.30199999999968,40.8809999999994,29.60399999999936,22.024999999999636,45.485999999999876,51.4409999999998,26.683999999999287,28.03899999999976,,
13.0,0.0,7.632000000000517,16.614000000000487,9.88799999999992,5.230999999999767,25.472999999999956,12.298999999999978,15.715000000000146,19.90900000000056,39.600000000000364,44.025000000000546,41.37700000000041,31.08600000000024,23.761000000000422,46.19200000000001,50.96100000000024,28.66399999999976,31.881000000000313,,
14.0,0.0,8.439000000000306,17.668000000000575,11.096000000000458,6.192000000000007,27.118000000000393,13.773000000000138,17.14800000000014,20.95800000000054,40.009000000000015,44.92000000000007,41.990999999999985,32.391999999999825,25.476000000000568,47.1220000000003,50.63000000000011,32.79200000000037,53.57300000000032,,
15.0,0.0,9.186999999999898,19.802999999999884,12.623000000000502,7.083999999999833,28.756999999999607,15.212999999999738,21.536000000000058,22.329999999999927,40.70300000000043,46.003999999999905,42.789999999999964,33.66899999999987,27.448999999999614,48.04700000000048,51.503999999999905,52.957000000000335,54.652000000000044,,
16.0,0.0,9.828999999999724,20.125,16.040999999999258,7.75,29.651999999999134,16.48399999999947,39.766999999999825,23.28599999999915,41.84199999999964,47.17699999999968,43.74699999999939,34.52899999999954,31.52099999999973,48.823999999999614,52.01999999999953,53.365999999999985,55.51999999999953,,
17.0,0.0,12.729999999999563,20.670999999999367,36.5029999999997,8.354999999999563,30.652999999999338,19.695999999999913,39.98199999999997,24.240999999999985,42.48999999999978,48.44999999999982,44.52799999999934,37.310999999999694,51.96799999999985,50.047999999999774,53.51299999999992,54.409999999999854,56.54099999999926,,
18.0,0.0,29.063000000000102,21.16899999999987,38.073999999999614,11.412999999999556,32.38299999999981,44.63799999999992,40.7529999999997,25.182999999999993,43.45299999999952,50.099999999999454,46.511999999999716,42.0659999999998,52.96799999999985,51.45899999999983,54.625,55.552999999999884,57.65599999999995,,
