,VER,NOR,HAM,PIA,RUS,PER,ALO,ALB,LEC,SAI,SAR,BOT,HUL,STR,ZHO,TSU,DEV,GAS,MAG,OCO
1.0,0.6159999999999854,0.0,4.112999999999829,1.2220000000002074,2.099999999999909,7.481999999999971,3.474999999999909,4.813000000000102,1.749000000000251,2.7330000000001746,7.2409999999999854,8.423999999999978,6.9520000000002256,5.498000000000047,8.688000000000102,6.614000000000033,7.893000000000029,4.463000000000193,9.220000000000255,5.9650000000001455
2.0,1.0030000000001564,0.0,5.428000000000338,2.0210000000001855,3.169000000000324,9.91800000000012,4.848000000000411,6.7710000000001855,2.6970000000001164,3.8640000000000327,10.46100000000024,12.119000000000142,9.182999999999993,7.545000000000073,11.554000000000087,8.820000000000164,11.055000000000291,6.123000000000047,12.511000000000422,8.149000000000342
3.0,0.5529999999998836,0.0,5.9099999999998545,1.3400000000001455,3.0850000000000364,11.117999999999938,5.092000000000098,7.400000000000091,2.451000000000022,4.139999999999873,11.85799999999972,13.804000000000087,10.532999999999902,8.385999999999967,13.052999999999884,9.869000000000142,12.621000000000095,6.5479999999997744,14.5,9.08199999999988
4.0,0.5609999999996944,0.0,6.22400000000016,1.149000000000342,3.3969999999999345,12.6850000000004,5.475999999999658,8.493999999999687,2.6400000000003274,4.342999999999847,13.417999999999665,15.643000000000029,12.114999999999782,9.412999999999556,14.689000000000306,11.458999999999833,14.047999999999774,7.125,16.458999999999833,10.251000000000204
5.0,0.0,0.7709999999997308,6.798999999999978,1.4669999999996435,4.4650000000001455,13.614999999999782,6.489999999999782,9.21100000000024,3.905999999999949,4.8659999999999854,15.11700000000019,17.304000000000087,14.5600000000004,10.126000000000204,16.282000000000153,12.773000000000138,15.666000000000167,7.845000000000255,17.91399999999976,11.054000000000087
6.0,0.0,0.8559999999997672,8.32799999999952,1.4480000000003201,5.277000000000044,14.259000000000015,8.09900000000016,10.394000000000233,4.640000000000327,6.054000000000087,16.445999999999913,19.06800000000021,17.16399999999976,11.287999999999556,18.061999999999898,15.118999999999687,17.546000000000276,8.96100000000024,19.81999999999971,12.408000000000357
7.0,0.0,0.9459999999999127,8.555999999999585,1.63799999999992,5.608999999999469,15.07799999999952,9.643999999999323,11.39299999999912,4.9429999999993015,6.380999999999403,17.92699999999968,20.846999999999753,18.475999999999658,12.302999999999884,19.956999999999425,16.589999999999236,19.5,10.259999999999309,21.669999999999163,13.653999999999542
8.0,0.0,1.1630000000004657,9.155000000000655,1.98700000000008,5.861000000000786,15.762000000000626,10.779000000000451,12.431000000000495,5.303000000000793,6.939000000000306,19.15100000000075,22.439000000000306,53.514000000000124,13.291000000000167,21.340000000000146,18.192000000000007,20.512000000000626,11.281000000000859,23.213000000000648,14.80200000000059
9.0,0.0,0.9530000000004293,9.66400000000067,1.9549999999999272,6.193000000000211,16.21100000000024,11.614000000000487,13.340000000000146,5.568000000000211,7.53400000000056,20.269000000000233,24.00300000000061,54.361000000000786,14.340000000000146,22.561999999999898,19.605000000000473,21.463999999999942,12.051000000000386,24.968000000000757,15.826000000000022
10.0,0.0,1.33600000000024,10.694000000000415,2.740000000000691,7.023000000000138,16.981000000000677,12.731000000000677,14.791000000000167,6.141000000000531,8.345000000000255,21.985000000000582,25.715000000000146,55.29200000000037,15.753000000000611,24.360000000000582,21.184000000000196,22.855000000000473,13.311999999999898,27.088999999999942,
11.0,0.0,1.7169999999996435,11.615999999999985,3.118999999999687,7.514999999999418,17.930999999999585,13.870999999999185,16.036000000000058,6.5919999999996435,9.027000000000044,23.312999999999192,27.471999999999753,56.66100000000006,17.35399999999936,25.98399999999947,22.67199999999957,24.01599999999962,14.550999999999476,28.80199999999968,
12.0,0.0,2.145999999999731,12.836999999999534,3.895999999999731,8.181999999999789,18.672999999999774,15.134999999999309,17.20600000000013,7.52599999999984,9.662999999999556,24.86499999999978,29.326000000000022,57.996000000000095,19.432999999999993,27.532000000000153,24.221999999999753,25.493999999999687,15.568999999999505,30.65899999999965,
13.0,0.0,2.4539999999997235,13.438999999999396,4.36200000000008,8.662999999999556,19.447000000000116,16.021999999999935,18.27899999999954,8.061999999999898,10.090000000000146,26.51599999999962,31.26599999999962,59.61799999999948,21.063000000000102,28.98399999999947,25.97699999999986,27.047999999999774,16.573999999999614,32.31999999999971,
14.0,0.0,3.07799999999952,13.716999999999643,4.918999999999869,9.345999999999549,20.151999999999134,16.855999999999767,19.183999999999287,8.53899999999976,10.984999999999673,27.152999999999338,32.823999999999614,60.75799999999981,22.229999999999563,30.355999999999767,27.699999999999818,28.880999999999403,17.370999999999185,34.297999999999774,
15.0,0.0,3.3090000000001965,13.88299999999981,5.195999999999913,9.626000000000204,20.641999999999825,17.60199999999986,19.979999999999563,9.09099999999944,11.617999999999483,28.286000000000058,34.46099999999933,61.69300000000021,23.170999999999367,32.042999999999665,49.35399999999936,30.060999999999694,18.149999999999636,35.91399999999976,
16.0,0.0,3.4039999999995416,14.005999999999403,5.393000000000029,10.126999999999498,20.889000000000124,18.230999999999767,21.514999999999418,9.530999999999949,12.307999999999993,29.248999999999796,36.01999999999953,62.524999999999636,24.161000000000058,33.49799999999959,49.60399999999936,31.40099999999984,18.876999999999498,37.664999999999964,
17.0,0.0,3.786000000000058,14.523000000000138,5.5649999999996,10.69799999999941,21.565999999999804,18.815999999999804,22.618999999999687,10.078999999999724,12.780999999999949,30.373999999999796,37.28399999999965,63.537999999999556,25.208999999999833,34.92199999999957,49.95299999999952,32.43499999999949,19.411999999999352,39.27799999999934,
18.0,0.0,4.010000000000218,15.328999999999724,6.0770000000002256,11.26299999999992,22.158000000000357,19.626000000000204,23.72699999999986,10.04700000000048,13.576000000000022,31.332000000000335,38.52599999999984,64.6220000000003,25.996000000000095,36.27599999999984,50.539999999999964,33.38100000000031,20.195999999999913,40.5659999999998,
19.0,0.0,4.17200000000048,16.192000000000007,6.619000000000597,11.731999999999971,23.09600000000046,20.472999999999956,25.043000000000575,30.57000000000062,14.480000000000473,32.56700000000001,39.918000000000575,66.04700000000048,26.996000000000095,37.845000000000255,51.626000000000204,34.87800000000061,21.0570000000007,42.509000000000015,
20.0,0.0,4.6469999999999345,16.853000000000065,6.984000000000378,12.240000000000691,24.00300000000061,21.194000000000415,26.188000000000102,31.145000000000437,15.192000000000007,33.65900000000056,41.29399999999987,67.3070000000007,28.19000000000051,39.27600000000075,52.61200000000008,36.0630000000001,22.01000000000022,44.14900000000034,
21.0,0.0,4.756999999999607,17.13799999999992,7.238999999999578,12.595999999999549,24.74199999999928,21.889999999999418,26.889000000000124,31.498999999999796,15.958999999999833,34.62299999999959,42.40700000000015,68.16299999999956,29.193999999999505,40.34199999999964,53.30699999999979,37.22099999999955,22.613999999999578,45.737999999999374,
22.0,0.0,5.210000000000036,17.775000000000546,7.592000000000553,12.980000000000473,25.584000000000742,22.798000000000684,27.726000000000568,32.350000000000364,16.64600000000064,35.918000000000575,43.69100000000071,69.1220000000003,30.441000000000713,41.837000000000444,54.12700000000041,38.6840000000002,23.598000000000866,47.551000000000386,
23.0,0.0,5.556999999999789,18.47699999999986,8.05199999999968,13.390999999999622,26.573999999999614,23.55199999999968,28.570999999999913,32.63199999999961,17.128999999999905,36.857999999999265,45.20599999999922,70.14399999999932,31.282999999999447,43.206999999999425,54.95299999999952,40.03399999999965,24.17199999999957,49.259000000000015,
