,VER,NOR,PIA,LEC,HAM,SAI,RUS,ALO,OCO,GAS,LAW,TSU,ZHO,HUL,MAG,ALB,SAR,STR,PER,BOT
1.0,0.0,3.1579999999999018,4.733000000000175,6.704999999999927,11.427999999999884,7.829000000000178,14.04300000000012,9.03899999999976,41.66800000000012,22.360999999999876,16.48700000000008,18.117999999999938,30.346999999999753,21.429000000000087,23.360000000000127,25.740999999999985,24.596000000000004,19.378000000000156,10.730999999999767,54.498999999999796
2.0,0.0,2.2239999999997053,3.69399999999996,5.16800000000012,8.447000000000116,6.621999999999844,10.375,7.679000000000087,21.824999999999818,19.92699999999968,12.567999999999756,15.505999999999858,25.63799999999992,18.7199999999998,20.79599999999982,28.342999999999847,22.949999999999818,16.797999999999774,7.9539999999997235,57.677999999999884
3.0,0.0,1.9160000000001673,3.9130000000004657,6.179000000000087,11.445000000000618,7.736000000000786,12.559000000000196,9.261000000000422,25.525000000000546,23.01600000000053,15.03400000000056,17.345000000000255,26.910000000000764,21.670000000000073,24.59600000000046,28.019000000000233,30.50800000000072,19.952000000000226,29.431000000000495,32.965000000000146
4.0,0.0,0.8239999999996144,1.3479999999999563,1.8850000000002183,3.34900000000016,2.3270000000002256,3.907000000000153,2.5510000000003856,7.942000000000007,6.613000000000284,4.402000000000044,4.921999999999571,8.051000000000386,5.822000000000116,7.136999999999716,8.712000000000444,9.911000000000058,5.5900000000001455,9.305000000000291,10.109999999999673
5.0,0.0,1.7360000000007858,3.2760000000007494,3.9420000000000073,6.777000000000044,4.541000000000167,6.624000000000706,5.311000000000604,11.210000000000036,10.135000000000218,7.126000000000204,8.559000000000196,11.510000000000218,9.626000000000204,10.73700000000008,13.400000000000546,18.124000000000706,9.221000000000458,12.542000000000371,36.11700000000019
6.0,0.0,2.056999999999789,4.2590000000000146,5.028999999999542,7.725999999999658,5.873999999999796,8.305000000000291,6.961999999999534,13.850999999999658,12.582000000000335,9.213999999999942,10.688000000000102,15.010000000000218,11.903000000000247,13.266999999999825,16.83600000000024,59.72900000000027,11.233000000000175,15.463999999999942,45.13199999999961
7.0,0.0,2.4179999999996653,5.01299999999992,6.088999999999942,8.966999999999643,7.029999999999745,9.85399999999936,8.067000000000007,16.353000000000065,14.70299999999952,11.1299999999992,12.595999999999549,18.0049999999992,14.078999999999724,15.804999999999382,19.706999999999425,60.54399999999987,13.251999999999498,17.5649999999996,105.42499999999927
8.0,0.0,2.7760000000007494,5.7409999999999854,7.027000000000044,9.89600000000064,7.990000000000691,11.378000000000611,9.069000000000415,18.606000000000677,16.811000000000604,12.793000000000575,14.563000000000102,20.58600000000024,18.4320000000007,18.191000000000713,22.72700000000077,62.11700000000019,15.2450000000008,19.121000000000095,
9.0,0.0,3.1130000000002838,6.650000000000546,7.869000000000597,11.361000000000786,8.917000000000371,12.904000000000451,10.712000000000444,20.86200000000008,18.530000000000655,14.79700000000048,18.718000000000757,23.26000000000022,39.27600000000075,20.26800000000003,25.25,64.19300000000021,17.38000000000011,21.34600000000046,
10.0,0.0,3.8239999999996144,7.579999999999927,8.877999999999702,13.011999999999716,10.056999999999789,14.497000000000298,12.108000000000175,23.25,20.47699999999986,18.92699999999968,37.79700000000048,27.971999999999753,39.698999999999614,22.922999999999774,27.399000000000342,66.51100000000042,18.908000000000357,23.78899999999976,
