,VER,ALO,HAM,LEC,SAI,PER,ALB,OCO,STR,BOT,PIA,GAS,NOR,TSU,HUL,ZHO,MAG,DEV,RUS,SAR
1.0,0.0,1.8120000000003529,0.8980000000001382,5.516000000000076,7.2020000000002256,7.653999999999996,6.095000000000255,3.287000000000262,8.641000000000076,9.040000000000418,4.383000000000266,8.191000000000258,5.019000000000233,26.196000000000367,4.025000000000091,10.833000000000084,8.946000000000367,9.43600000000015,2.2960000000002765,9.95300000000043
2.0,0.0,2.3359999999997854,1.2199999999998,7.217999999999847,8.070999999999913,8.851999999999862,7.650000000000091,4.54300000000012,10.174999999999727,11.552999999999884,6.061000000000149,9.456000000000131,6.860000000000127,30.527999999999793,5.460000000000036,13.273000000000138,11.224999999999909,12.054999999999836,3.1030000000000655,12.692000000000007
3.0,0.0,2.007000000000062,1.1849999999999454,7.979000000000269,9.164000000000215,9.595000000000255,8.501000000000204,5.238000000000284,10.79300000000012,12.577000000000226,6.782999999999902,10.389000000000124,7.584000000000287,30.878000000000156,6.3960000000001855,14.470000000000255,12.200000000000273,13.144999999999982,3.3320000000003347,14.0300000000002
4.0,0.0,2.130000000000109,1.5399999999999636,9.423999999999978,10.539999999999964,11.04800000000023,10.077999999999975,6.528999999999996,12.283000000000357,14.003000000000156,8.519999999999982,11.700000000000273,9.163000000000011,31.713000000000193,7.889000000000124,16.016000000000076,13.195000000000164,15.094000000000051,3.7229999999999563,15.264000000000124
5.0,0.0,2.352999999999156,1.8549999999995634,10.760999999999513,11.707999999999629,12.126999999999498,11.128999999999905,7.576999999999316,13.740999999999985,16.079999999999927,9.330999999999221,13.291999999999462,10.121999999999389,32.39300000000003,8.988999999999578,18.087999999999738,14.289999999999964,17.063999999999396,3.9919999999992797,17.409999999999854
6.0,0.0,2.5659999999998035,2.027999999999338,11.714999999999236,12.699999999999818,13.253999999999905,12.266999999999825,8.431999999999789,14.516999999999825,17.247999999999593,10.338999999999942,13.982999999999265,11.228000000000065,33.1869999999999,10.107999999999265,19.949999999999818,15.36699999999928,18.690999999999804,4.043999999999869,18.96900000000005
7.0,0.0,3.2089999999998327,2.4179999999996653,13.636000000000422,14.456000000000131,14.917000000000371,14.018000000000029,9.307999999999993,15.944999999999709,20.034999999999854,11.931999999999789,15.524999999999636,13.359999999999673,47.376000000000204,13.136999999999716,28.359999999999673,17.177999999999884,24.43199999999979,4.109000000000378,-26.125
8.0,0.0,3.9329999999999927,3.225000000000364,14.376000000000204,15.36700000000019,15.969000000000051,15.050000000000182,9.293999999999869,17.041000000000167,18.322000000000116,12.202000000000226,16.712000000000444,14.106999999999971,34.235999999999876,13.707000000000335,22.158000000000357,17.637000000000626,18.941000000000713,4.743000000000393,
9.0,0.0,4.118000000000393,3.3460000000004584,15.595000000000255,16.621000000000095,17.10900000000038,16.021999999999935,9.798999999999978,18.312000000000808,19.50300000000061,13.193000000000211,17.89100000000053,15.192000000000007,34.95000000000073,15.07800000000043,23.264000000000124,18.902000000000044,20.19300000000021,4.71100000000024,
10.0,0.0,4.5479999999997744,3.5839999999998327,17.55699999999979,18.521999999999935,19.02900000000045,17.98199999999997,10.840000000000146,20.0600000000004,21.220000000000255,14.345000000000255,40.64800000000014,17.238000000000284,35.65400000000045,16.80199999999968,24.84600000000046,20.64800000000014,21.841999999999643,5.319999999999709,
