,VER,LEC,RUS,PER,NOR,PIA,ALO,TSU,HAM,STR,RIC,OCO,GAS,ALB,HUL,SAR,ZHO,SAI,BOT,MAG
1.0,0.0,0.9290000000000873,2.5859999999997854,5.554999999999836,2.119000000000142,1.6920000000000073,3.8539999999998145,3.244999999999891,5.036999999999807,6.485999999999876,7.757999999999811,6.007000000000062,4.385999999999967,8.358000000000175,7.101000000000113,9.83199999999988,8.713999999999942,7.483999999999924,8.110000000000127,9.407000000000153
2.0,0.0,1.3359999999997854,3.47400000000016,6.516999999999825,2.838999999999942,2.056999999999789,4.898999999999887,4.208999999999833,6.054000000000087,7.739000000000033,9.789999999999964,7.106999999999971,5.449999999999818,11.208000000000084,9.311999999999898,12.703999999999724,10.536999999999807,8.753999999999905,10.170000000000073,11.764000000000124
3.0,0.0,1.4279999999998836,3.6640000000002146,6.5779999999999745,3.144999999999982,2.2800000000002,5.313999999999851,4.474999999999909,7.1720000000000255,8.25799999999981,10.90099999999984,7.731999999999971,5.8659999999999854,12.568000000000211,10.25500000000011,13.695999999999913,11.945999999999913,9.653999999999996,11.460000000000036,13.067000000000007
4.0,0.0,1.595999999999549,3.744999999999891,6.621000000000095,2.6169999999992797,3.380000000000109,5.257999999999811,4.515999999999622,7.299999999999272,8.558999999999287,11.469000000000051,8.003999999999905,5.907999999999447,13.442999999999302,10.912999999999556,14.466999999999643,12.532999999999447,10.036999999999352,12.024999999999636,13.943999999999505
5.0,0.0,1.5029999999997017,3.881999999999607,6.8659999999999854,2.520999999999731,3.2470000000002983,5.479000000000269,4.649000000000342,7.5919999999996435,9.100999999999658,12.243000000000393,8.445999999999913,6.119999999999891,14.313000000000102,11.587999999999738,16.1899999999996,13.421000000000276,10.643000000000029,12.917999999999665,17.27300000000014
6.0,0.0,1.606999999999971,4.25,7.108000000000175,2.5310000000008586,3.6200000000008004,5.842000000000553,4.9950000000008,7.786000000000058,9.456000000000131,12.86700000000019,8.695000000000618,6.566000000000713,15.364000000000487,12.249000000000706,17.462000000000444,14.312000000000808,11.378000000000611,13.600000000000364,37.775000000000546
7.0,0.0,1.4510000000000218,4.563000000000102,7.3969999999999345,2.5349999999998545,4.043999999999869,6.095000000000255,5.292000000000371,8.155999999999949,9.983000000000175,15.409999999999854,9.097999999999956,6.823999999999614,16.27300000000014,13.05199999999968,18.090000000000146,15.010000000000218,12.149999999999636,14.260000000000218,37.6909999999998
8.0,0.0,1.566000000000713,4.980000000000473,7.874000000000706,2.6950000000006185,4.32300000000032,6.688000000000102,5.873000000000502,8.701000000000022,10.454999999999927,35.152000000000044,9.579000000000633,7.2520000000004075,17.337000000000444,14.036000000000058,19.115999999999985,15.811999999999898,12.896999999999935,14.950000000000728,37.48700000000008
9.0,0.0,1.3649999999997817,5.114999999999782,8.528999999999542,2.675999999999476,4.5900000000001455,6.970999999999549,6.1030000000000655,9.201000000000022,11.018000000000029,34.335000000000036,10.019999999999527,7.925000000000182,18.34900000000016,14.948999999999614,19.891999999999825,16.841999999999643,13.229999999999563,16.03399999999965,37.17999999999938
10.0,0.0,1.4680000000007567,5.749000000000706,9.23700000000008,3.0820000000003347,5.32300000000032,7.645000000000437,6.701000000000022,9.96600000000035,11.58600000000024,34.06700000000001,10.768000000000029,8.555000000000291,19.821000000000822,16.02600000000075,21.423999999999978,18.272000000000844,14.029000000000451,17.240999999999985,37.488000000000284
11.0,0.0,1.519999999999527,6.043999999999869,10.21100000000024,3.7489999999997963,7.210000000000036,8.465000000000146,7.61200000000008,10.782999999999447,12.391999999999825,33.935999999999694,11.628999999999905,9.46100000000024,21.221999999999753,17.466999999999643,22.74499999999989,19.555999999999585,14.552999999999884,18.295999999999367,37.978000000000065
12.0,0.0,1.5139999999992142,6.403999999999542,10.49499999999989,4.347999999999956,7.923999999999978,11.252999999999702,8.487999999999374,11.90899999999965,13.356999999999971,33.42399999999998,12.565999999999804,11.362999999999374,22.589999999999236,18.703999999999724,24.04399999999987,21.263999999999214,15.240999999999985,19.485999999999876,38.17900000000009
13.0,0.0,1.769999999999527,6.658999999999651,11.243000000000393,4.800000000000182,10.344000000000051,30.697000000000116,9.125,13.037000000000262,14.42699999999968,33.134000000000015,13.774999999999636,12.333999999999833,23.72900000000027,21.86200000000008,25.533000000000357,24.60199999999986,16.0649999999996,20.811999999999898,38.573999999999614
14.0,0.0,1.6940000000004147,8.483000000000175,11.786000000000058,6.54700000000048,29.78099999999995,30.51599999999962,9.32800000000043,13.822000000000116,15.472999999999956,32.91100000000006,14.774999999999636,13.144000000000233,24.73700000000008,41.95799999999963,26.71100000000024,46.35699999999997,16.833999999999833,21.873999999999796,39.001000000000204
15.0,0.0,2.0450000000000728,27.733000000000175,12.744000000000597,29.480000000000473,30.163000000000466,30.63799999999992,9.962000000000444,17.20600000000013,16.51800000000003,33.1190000000006,18.175000000000182,14.863000000000284,26.199000000000524,41.824000000000524,31.300000000000182,46.85199999999986,18.186000000000604,23.043000000000575,39.975000000000364
16.0,0.0,0.19800000000032014,24.712000000000444,11.561000000000604,26.576000000000022,27.881000000000313,28.394000000000233,8.485000000000582,35.483000000000175,15.253000000000611,31.043000000000575,36.23199999999997,14.57800000000043,27.922999999999774,39.840000000000146,50.64600000000064,45.13600000000042,16.824999999999818,21.960000000000036,39.327000000000226
17.0,17.521999999999935,0.0,22.095000000000255,12.15099999999984,24.042999999999665,25.16899999999987,26.036000000000058,7.04700000000048,32.91200000000026,13.087000000000444,28.76800000000003,33.69999999999982,16.621000000000095,47.15800000000036,37.529999999999745,48.384000000000015,43.36200000000008,15.779999999999745,20.855000000000473,39.11499999999978
18.0,9.126999999999498,12.050999999999476,13.326000000000022,22.89099999999962,15.796000000000276,17.315999999999804,18.125,0.0,24.677999999999884,5.806999999999789,21.173999999999978,25.68499999999949,29.734999999999673,39.32999999999993,30.873999999999796,41.38799999999992,36.04399999999987,8.448999999999614,14.800000000000182,32.93199999999979
19.0,7.0600000000004,10.506000000000313,12.231000000000677,20.803000000000793,14.070000000000618,16.361000000000786,16.877000000000407,0.0,23.204000000000633,4.994000000000597,20.139000000000124,24.364000000000487,28.282000000000153,38.45000000000073,29.756000000000313,40.30300000000079,35.67399999999998,8.54700000000048,15.655999999999949,33.639000000000124
20.0,5.476999999999862,9.368000000000393,11.108000000000175,18.699000000000524,12.761000000000422,15.238000000000284,16.046000000000276,0.0,21.650000000000546,4.438000000000102,20.01299999999992,23.28099999999995,27.313000000000102,37.63100000000031,28.980999999999767,39.4980000000005,35.5619999999999,8.269000000000233,17.23999999999978,33.949000000000524
21.0,3.4700000000002547,7.958000000000538,10.092000000000553,16.551000000000386,11.408000000000357,13.99200000000019,14.798999999999978,0.0,20.365999999999985,4.92699999999968,19.56500000000051,22.39300000000003,26.600999999999658,37.03700000000026,28.483000000000175,38.64500000000044,35.483000000000175,9.319000000000415,18.56800000000021,34.76500000000033
22.0,0.592000000000553,5.095000000000255,7.310999999999694,13.70300000000043,9.234000000000378,11.921000000000276,12.694999999999709,0.0,19.301000000000386,5.275000000000546,17.881000000000313,20.582000000000335,24.212999999999738,35.176000000000386,26.36700000000019,36.511999999999716,33.26900000000023,8.82300000000032,18.922999999999774,36.534999999999854
23.0,0.0,4.716000000000349,6.757000000000517,13.187000000000808,9.248000000000502,11.798000000000684,12.571000000000822,20.178000000000793,19.340000000000146,24.020000000000437,18.131000000000313,22.082000000000335,25.145000000000437,35.22200000000066,27.161000000000058,37.1230000000005,33.75,12.184000000000196,21.631000000000313,57.73100000000068
24.0,0.0,5.0,6.818999999999505,13.894999999999527,9.746000000000095,12.462999999999738,13.371000000000095,21.19800000000032,19.907999999999447,25.079999999999927,19.13299999999981,23.579999999999927,26.65399999999954,36.4399999999996,28.971999999999753,38.439000000000306,35.41399999999976,32.14800000000014,24.69800000000032,59.88599999999951
