,VER,PER,LEC,HAM,ALO,RUS,NOR,OCO,STR,TSU,GAS,BOT,ZHO,ALB,MAG,RIC,SAR,HUL,SAI,PIA
1.0,,,,,,,,,,,,,,,,,,,,
2.0,3.300999999999931,0.0,1.961999999999989,2.768999999999778,7.152000000000044,10.554999999999836,8.291999999999916,11.846999999999753,10.253999999999905,8.804000000000087,13.402999999999793,11.309999999999945,12.389000000000124,9.719000000000051,13.960999999999785,14.72400000000016,12.896000000000186,13.552000000000135,6.686999999999898,
3.0,3.425000000000182,0.0,2.1010000000005675,3.0700000000006185,9.583999999999833,12.55200000000059,10.855999999999767,13.453999999999724,12.07800000000043,10.425000000000182,16.064000000000306,13.990999999999985,15.434000000000196,11.472999999999956,17.21100000000024,17.775000000000546,14.885000000000218,16.574999999999818,9.252000000000407,
4.0,3.8779999999997017,0.0,2.243999999999687,3.2399999999997817,10.643000000000029,15.377999999999702,15.180999999999585,16.085000000000036,14.800000000000182,13.52599999999984,18.09900000000016,17.225999999999658,17.73700000000008,14.140999999999622,19.51000000000022,20.253999999999905,16.701000000000022,18.81999999999971,13.161000000000058,
5.0,3.907999999999447,0.0,2.246999999999389,3.3850000000002183,11.666999999999462,18.336999999999534,23.03899999999976,19.365999999999985,18.02300000000014,14.782999999999447,20.942000000000007,20.2529999999997,21.274999999999636,17.221999999999753,26.36700000000019,27.01800000000003,19.858000000000175,21.778000000000247,17.563000000000102,
6.0,3.5720000000001164,0.0,2.4650000000001455,4.731999999999971,12.844000000000051,21.928000000000793,39.6820000000007,26.988000000000284,20.6200000000008,16.34400000000005,24.036000000000058,27.902000000000044,24.676000000000386,19.06500000000051,40.457000000000335,41.89000000000033,23.338999999999942,25.235000000000582,22.35699999999997,
7.0,3.4669999999996435,0.0,2.707999999999629,5.641999999999825,13.778999999999542,23.198999999999614,40.23400000000038,40.69200000000001,22.407000000000153,17.5029999999997,26.965000000000146,42.177999999999884,31.88299999999981,25.08600000000024,39.47099999999955,41.76800000000003,26.21900000000005,28.322000000000116,30.98400000000038,
8.0,3.6340000000000146,0.0,3.043999999999869,6.612999999999374,15.058999999999287,24.682999999999993,41.740999999999985,40.87299999999959,24.00999999999931,19.00799999999981,28.643999999999323,42.79199999999946,46.789999999999964,40.09099999999944,39.810999999999694,42.43799999999919,32.82199999999921,30.75799999999981,45.607999999999265,
9.0,3.048999999999978,0.0,4.1820000000006985,7.6200000000008,16.050000000000182,26.19000000000051,42.48500000000058,41.53600000000006,25.38300000000072,24.835000000000036,29.60900000000038,43.82600000000002,46.7470000000003,39.5630000000001,41.164999999999964,43.35100000000057,47.42500000000018,33.65300000000025,46.28100000000086,
10.0,2.7840000000005602,0.0,5.020999999999731,8.280999999999949,21.48700000000008,27.56999999999971,44.36400000000049,41.047999999999774,26.55200000000059,38.9340000000002,30.476000000000568,44.88799999999992,47.931000000000495,38.61700000000019,42.45499999999993,43.664999999999964,48.4409999999998,35.58799999999974,47.45399999999972,
11.0,2.7529999999997017,0.0,5.608999999999469,9.710000000000036,37.41600000000017,28.934000000000196,45.009000000000015,41.365999999999985,27.777000000000044,38.53600000000006,31.65399999999954,45.77400000000034,47.93199999999979,39.90300000000025,43.399999999999636,44.39000000000033,50.64099999999962,37.20600000000013,50.01099999999951,
12.0,2.493999999999687,0.0,6.158999999999651,14.893000000000029,36.38500000000022,29.944000000000415,45.59699999999975,41.63100000000031,28.88299999999981,39.79100000000017,32.322000000000116,46.211999999999534,48.261999999999716,40.74499999999989,44.25500000000011,44.952000000000226,53.164999999999964,43.603000000000065,52.15700000000015,
13.0,0.0,2.175999999999476,8.188000000000102,25.153000000000247,33.427999999999884,29.09900000000016,44.2529999999997,39.563999999999396,28.238999999999578,36.83899999999994,30.63500000000022,44.67999999999938,46.53899999999976,38.99399999999969,42.88500000000022,43.53200000000015,52.30499999999938,55.1909999999998,51.608000000000175,
14.0,0.0,11.251999999999498,16.923999999999978,19.50999999999931,28.14799999999923,25.94499999999971,42.1269999999995,36.482999999999265,25.336999999999534,32.63599999999951,27.482999999999265,41.232999999999265,43.29999999999927,35.649999999999636,40.15299999999934,40.688999999999396,50.10099999999966,50.37299999999959,49.51800000000003,
15.0,1.1130000000002838,0.0,5.931000000000495,8.76299999999992,18.304000000000087,18.801000000000386,34.913000000000466,28.065999999999804,17.39800000000014,23.088999999999942,19.96900000000005,33.67100000000028,35.40599999999995,27.298999999999978,32.465000000000146,33.126000000000204,42.97699999999986,43.08600000000024,42.47900000000027,
16.0,0.3930000000000291,0.0,6.5789999999997235,9.561999999999898,19.52300000000014,22.212999999999738,39.108000000000175,30.256000000000313,21.662000000000262,25.329999999999927,23.335000000000036,36.79199999999946,38.284999999999854,30.951000000000022,35.483000000000175,36.335000000000036,45.38299999999981,45.57999999999993,48.595000000000255,
17.0,0.0,1.6739999999999782,8.320999999999913,11.481999999999971,21.907999999999447,25.37199999999939,47.52399999999943,33.456999999999425,26.673999999999978,28.951999999999316,27.703999999999724,41.000999999999294,42.67000000000007,35.44599999999991,39.67099999999937,40.41399999999976,49.79500000000007,49.930999999999585,54.15599999999995,
18.0,0.0,2.326000000000022,8.851999999999862,12.609000000000378,23.08299999999963,27.95799999999963,62.13100000000031,36.77099999999973,30.511000000000422,32.06700000000001,31.345000000000255,44.34599999999955,46.03600000000006,38.51000000000022,42.84599999999955,43.603000000000065,53.22699999999986,51.23099999999977,58.73999999999978,
19.0,0.0,3.894999999999527,9.764000000000124,13.605999999999767,24.501000000000204,30.728000000000065,61.90399999999954,40.70100000000002,35.45499999999993,35.86799999999948,34.95499999999993,47.4970000000003,49.59599999999955,41.73700000000008,45.733000000000175,46.64800000000014,55.873999999999796,53.01800000000003,64.32499999999982,
20.0,0.0,3.6210000000000946,9.868999999999687,12.978000000000065,24.373999999999796,31.76599999999962,57.91599999999926,41.500999999999294,43.39399999999932,36.72199999999975,36.07600000000002,47.289999999999964,49.313999999999396,42.310999999999694,45.621000000000095,46.586999999999534,55.719999999999345,51.677999999999884,65.01800000000003,
21.0,0.0,4.153999999999542,10.854999999999563,14.364999999999782,25.662999999999556,34.375999999999294,56.76999999999953,42.965000000000146,62.128999999999905,38.48099999999977,37.99499999999989,49.45899999999983,50.210000000000036,43.555999999999585,46.73199999999997,49.02599999999984,56.57600000000002,51.45399999999972,70.26499999999942,
22.0,0.0,5.114999999999782,12.028999999999542,15.53899999999976,27.2470000000003,41.22900000000027,55.17000000000007,44.76500000000033,63.21600000000035,40.21399999999994,39.85699999999997,50.353000000000065,53.63199999999961,43.66600000000017,48.1269999999995,59.27599999999984,56.853000000000065,53.92900000000009,72.88900000000012,
23.0,0.0,5.570999999999913,12.708999999999833,14.930000000000291,28.452000000000226,57.3130000000001,54.84299999999985,46.96900000000005,61.70499999999993,42.15700000000015,48.23199999999997,52.038000000000466,56.40700000000015,50.038000000000466,49.985999999999876,76.20600000000013,58.801000000000386,54.3159999999998,83.34699999999975,
24.0,0.0,6.291000000000167,13.523000000000138,15.931999999999789,29.704999999999927,57.159999999999854,56.70600000000013,49.6869999999999,62.154999999999745,49.108000000000175,66.64099999999962,59.08600000000024,60.027000000000044,65.48300000000017,53.34100000000035,76.92900000000009,66.25600000000031,60.577000000000226,,
25.0,0.0,6.8770000000004075,14.134000000000015,17.017000000000735,31.316000000000713,56.65700000000015,57.88300000000072,56.10100000000057,62.789999999999964,64.71799999999985,66.44599999999991,72.83300000000054,66.90999999999985,65.8090000000002,60.53400000000056,76.81700000000001,80.27599999999984,77.21700000000055,,
26.0,0.0,7.390999999999622,14.506999999999607,18.0,32.126000000000204,56.70399999999972,58.1880000000001,70.07799999999952,62.710000000000036,64.73499999999967,66.57799999999952,71.97099999999955,81.76199999999972,65.99499999999989,74.77199999999993,77.3720000000003,79.5659999999998,75.7470000000003,,
27.0,0.0,8.118000000000393,14.900000000000546,22.61999999999989,33.15900000000056,56.81999999999971,58.50500000000011,69.04500000000007,62.94499999999971,65.02300000000014,67.07200000000012,71.63000000000011,80.47800000000007,66.41100000000006,74.29300000000057,77.46700000000055,79.42299999999977,75.5,,
28.0,0.0,8.86999999999989,19.44300000000021,34.931000000000495,34.67700000000059,57.152000000000044,59.08600000000024,68.40900000000056,63.24000000000069,65.55799999999999,67.79300000000057,71.68000000000029,80.53400000000056,67.07700000000023,74.24499999999989,77.69100000000071,79.83399999999983,75.63500000000022,,
29.0,0.0,13.998999999999796,31.72900000000027,33.61899999999969,41.14500000000044,57.36999999999989,59.685999999999694,68.90899999999965,63.564000000000306,66.10999999999967,69.54100000000017,71.7569999999996,80.99099999999999,68.17299999999977,74.45399999999972,78.23899999999958,80.43099999999959,75.88400000000001,,
30.0,0.0,22.639000000000124,26.283000000000357,28.660000000000764,51.414999999999964,53.70900000000074,56.09300000000076,64.78500000000076,59.71700000000055,62.710000000000036,66.02100000000064,67.77900000000045,77.92900000000009,65.4940000000006,70.61100000000079,74.33200000000033,77.27600000000075,72.4970000000003,,
31.0,0.0,9.36200000000008,13.601000000000568,16.209000000000742,39.92800000000079,41.92900000000009,44.71800000000076,53.00700000000052,48.335000000000036,51.34700000000066,55.30200000000059,56.322000000000116,66.69400000000041,54.64000000000033,59.56700000000001,62.81500000000051,65.97600000000057,61.5,,
32.0,0.0,11.623999999999796,16.359999999999673,18.221999999999753,42.761999999999716,44.279999999999745,47.710000000000036,55.68000000000029,51.63100000000031,54.42199999999957,59.47699999999986,60.297999999999774,70.01900000000023,60.02400000000034,63.47099999999955,66.3119999999999,69.65399999999954,64.90999999999985,,
33.0,0.0,12.478000000000065,16.962999999999738,18.771999999999935,43.1309999999994,45.21799999999985,49.362999999999374,56.95799999999963,53.18399999999929,55.96900000000005,61.274999999999636,63.125999999999294,70.9389999999994,67.17499999999927,65.69899999999961,68.19499999999971,72.6239999999998,66.92499999999927,,
34.0,0.0,13.07300000000032,16.896999999999935,19.029999999999745,44.172999999999774,46.176000000000386,50.79200000000037,58.25799999999981,54.759000000000015,57.58800000000065,62.72900000000027,64.52199999999993,72.19900000000052,81.8710000000001,67.69599999999991,70.22699999999986,79.3159999999998,69.1890000000003,,
35.0,0.0,13.49200000000019,17.755999999999403,20.271999999999935,45.73199999999997,47.563999999999396,53.11999999999989,60.577000000000226,56.60899999999947,59.659999999999854,64.34299999999985,66.52599999999984,74.29799999999977,81.30400000000009,70.51800000000003,73.21000000000004,93.38599999999951,72.45699999999943,,
36.0,0.0,14.211999999999534,18.536999999999352,21.134000000000015,47.03600000000006,49.04399999999987,55.1909999999998,62.74799999999959,59.1309999999994,61.61499999999978,66.20799999999963,68.55499999999938,76.74499999999989,81.76199999999972,73.59299999999985,76.0630000000001,93.25999999999931,75.4960000000001,,
37.0,0.0,14.997999999999593,19.51800000000003,22.24499999999989,48.22400000000016,50.61700000000019,57.49200000000019,64.23999999999978,61.38299999999981,63.50799999999981,67.79299999999967,70.36700000000019,79.40899999999965,82.50999999999931,76.6889999999994,78.8769999999995,93.42900000000009,78.19799999999941,,
38.0,0.0,16.27099999999973,20.682999999999993,23.206999999999425,49.51900000000023,52.297999999999774,60.003999999999905,65.57700000000023,63.550999999999476,66.81800000000021,69.47699999999986,72.29699999999957,82.70799999999963,83.9380000000001,79.64499999999953,82.1909999999998,94.09999999999945,81.67199999999957,,
39.0,0.0,17.275000000000546,21.489000000000487,24.502000000000407,50.61999999999989,54.15100000000075,62.608000000001084,67.33299999999963,66.04300000000057,69.17199999999957,71.73300000000108,74.58000000000084,85.61200000000008,86.7430000000013,82.96799999999985,86.59800000000087,95.50000000000091,85.08100000000104,,
40.0,0.0,18.52599999999984,23.25500000000102,26.601000000000568,51.832000000000335,55.84100000000035,65.35200000000077,69.14199999999983,68.59300000000076,71.40300000000025,73.75,76.85699999999997,87.42900000000009,89.4260000000013,86.4989999999998,90.89199999999983,97.51500000000124,90.27400000000125,,
41.0,0.0,19.507000000001426,25.552999999999884,28.44300000000112,53.20400000000154,57.8690000000006,67.82600000000093,70.28600000000006,72.05500000000029,73.69200000000092,75.59600000000137,79.26600000000144,90.58300000000054,91.53600000000006,89.99099999999999,94.30500000000029,99.14199999999983,94.16500000000087,,
42.0,0.0,20.56000000000131,26.785000000001673,33.47600000000057,53.95499999999993,59.69100000000071,69.63900000000103,71.8090000000011,74.60400000000118,75.87200000000121,77.64300000000003,81.46100000000115,92.08600000000115,94.26700000000164,95.04000000000087,99.3650000000016,101.31900000000132,100.96500000000015,,
