,VER,PER,ALO,RUS,SAI,HAM,LEC,GAS,OCO,MAG,TSU,STR,BOT,ALB,HUL,ZHO,NOR,DEV,PIA,SAR
26.0,0.0,16.282000000000153,24.75999999999931,31.612999999999374,24.44300000000021,28.269999999999527,40.396999999999935,34.06800000000021,23.365999999999985,37.563999999999396,32.46900000000005,35.02599999999984,46.36999999999989,51.139000000000124,30.230999999999767,39.79100000000017,50.259000000000015,58.951999999999316,58.501000000000204,82.66699999999946
27.0,0.0,16.30500000000029,25.652000000000044,31.939000000000306,26.060999999999694,29.319000000000415,41.04700000000048,35.00799999999981,24.394000000000233,38.58899999999994,33.66700000000037,36.19599999999991,47.33799999999974,51.38000000000011,31.478000000000065,41.98999999999978,52.18299999999999,60.98499999999967,60.73900000000049,83.98400000000038
28.0,0.0,16.126000000000204,26.10400000000027,32.97100000000046,27.03400000000056,30.45300000000043,41.75500000000011,36.25300000000061,25.5,39.39800000000014,34.70100000000002,37.04600000000028,48.202000000000226,51.98199999999997,33.9350000000004,43.74200000000019,53.3130000000001,63.582000000000335,63.177999999999884,85.56900000000041
29.0,0.0,15.888999999999214,26.677999999999884,33.10699999999997,27.928999999999178,31.21599999999944,42.44499999999971,36.97599999999966,27.336999999999534,40.003999999999905,35.722999999999956,37.89300000000003,49.318999999999505,52.54499999999916,35.10599999999977,45.08899999999994,54.40599999999995,66.20799999999963,65.80199999999968,87.08699999999953
30.0,0.0,14.895000000000437,26.886999999999716,32.66200000000026,28.161000000000058,31.381000000000313,42.199000000000524,37.01000000000022,28.670000000000073,39.95300000000043,36.13100000000031,38.11499999999978,49.46600000000035,52.58300000000054,35.67200000000048,45.677999999999884,54.748999999999796,67.82899999999972,68.89900000000034,88.01699999999983
31.0,0.0,15.378999999999905,27.850999999999658,33.3159999999998,29.260999999999513,32.36799999999948,42.482999999999265,37.95600000000013,30.34099999999944,40.581999999999425,37.539999999999964,39.0019999999995,50.422999999999774,53.36399999999958,37.055999999999585,51.66100000000006,56.49399999999969,69.14999999999964,71.84699999999975,89.27999999999975
32.0,0.0,15.469000000000051,28.859999999999673,33.83799999999974,30.28899999999976,34.64800000000014,43.25200000000041,39.827000000000226,31.82300000000032,41.88100000000031,39.20600000000013,40.32899999999972,51.626000000000204,54.292999999999665,38.34699999999975,68.26500000000033,57.94499999999971,70.61300000000028,74.86599999999999,92.49799999999959
33.0,0.0,15.779000000000451,29.73400000000038,34.766999999999825,33.2480000000005,35.58899999999994,44.35600000000068,42.80500000000029,32.64500000000044,43.80000000000018,40.58600000000024,43.31500000000051,52.720000000000255,55.49300000000039,47.423000000000684,69.04800000000068,59.39500000000044,71.98599999999988,77.48500000000058,94.19500000000062
34.0,0.0,15.759000000000015,30.70799999999963,35.753999999999905,33.77099999999973,36.634000000000015,45.47599999999966,43.42900000000009,34.426000000000386,44.970000000000255,41.56800000000021,44.444000000000415,53.76000000000022,56.373999999999796,63.9350000000004,69.51199999999972,60.600000000000364,73.27999999999975,79.36999999999989,95.8680000000004
35.0,0.0,15.859999999999673,31.42699999999968,36.39399999999932,34.85199999999986,38.037999999999556,46.98499999999967,44.789999999999964,36.09099999999944,46.70299999999952,42.61899999999969,45.792999999999665,54.978000000000065,57.45399999999972,64.00999999999931,70.18499999999949,62.07099999999991,74.85599999999977,81.54799999999977,97.52299999999923
36.0,0.0,15.667999999999665,32.04999999999927,37.02899999999954,36.38199999999961,39.362999999999374,48.43399999999929,45.72599999999966,37.90599999999995,48.64799999999923,48.24199999999928,47.047999999999774,56.11799999999948,58.38799999999992,63.527000000000044,70.70599999999922,63.37299999999959,76.35599999999977,83.4469999999992,99.15499999999975
37.0,0.0,15.834999999999127,32.24799999999959,38.01799999999912,38.63599999999951,45.91399999999976,50.8179999999993,46.71699999999964,39.3119999999999,50.714999999999236,63.48899999999958,48.28099999999995,57.34199999999964,59.46599999999944,64.65599999999995,71.6869999999999,65.90299999999934,78.03299999999945,85.39499999999953,101.20399999999972
38.0,0.0,16.949999999999818,32.39599999999973,38.42399999999998,39.943999999999505,59.80400000000009,51.88100000000031,47.86999999999989,40.69300000000021,53.09400000000005,63.85099999999966,49.503999999999905,58.774999999999636,61.6279999999997,65.65200000000004,72.94700000000012,67.8760000000002,79.64300000000003,87.63000000000011,102.97999999999956
39.0,0.0,17.261000000000422,32.35600000000068,38.996000000000095,40.70800000000054,60.13000000000011,52.82300000000032,48.68000000000029,46.75600000000031,54.27900000000045,64.35100000000057,50.35900000000038,60.17500000000018,62.62800000000061,66.2430000000004,73.85400000000027,69.6230000000005,80.76100000000042,90.60700000000088,104.64000000000033
40.0,0.0,17.613000000000284,32.582000000000335,39.46600000000035,41.28700000000026,60.53600000000006,53.64000000000033,49.516999999999825,61.19800000000032,55.722999999999956,65.33699999999953,51.310999999999694,63.029999999999745,64.09299999999985,67.1279999999997,74.74499999999989,71.00900000000001,82.13100000000031,94.22699999999986,106.53300000000036
41.0,0.0,18.11499999999978,32.86800000000039,40.24200000000019,42.13200000000052,60.90099999999984,54.613000000000284,50.67100000000028,62.003999999999905,57.396999999999935,66.62700000000041,52.55400000000009,64.80299999999988,65.47500000000036,68.30000000000018,75.98499999999967,72.80199999999968,83.78499999999985,96.22500000000036,109.60500000000047
42.0,0.0,18.30699999999979,33.00799999999981,40.60099999999966,42.952000000000226,61.50799999999981,55.259000000000015,51.737999999999374,62.590000000000146,58.73099999999977,67.86599999999999,58.6880000000001,65.89699999999993,67.16899999999987,69.52999999999975,77.20600000000013,74.65999999999985,85.30299999999988,97.96299999999974,112.0059999999994
43.0,0.0,18.533000000000357,33.23199999999997,41.16900000000078,43.69100000000071,62.23700000000008,55.847999999999956,52.89800000000014,63.35600000000068,60.259000000000015,69.13800000000083,74.16900000000078,67.25700000000052,68.63700000000063,70.4390000000003,78.30500000000029,76.39900000000034,86.66400000000067,99.61000000000058,114.39600000000064
44.0,0.0,18.373999999999796,33.935999999999694,41.814000000000306,44.26900000000023,62.572000000000116,56.62299999999959,53.98499999999967,63.753999999999905,61.49499999999989,70.16499999999996,73.97500000000036,68.27999999999975,69.57700000000023,71.35800000000017,79.65099999999984,78.14900000000034,88.51400000000012,101.82099999999991,115.93000000000029
45.0,0.0,13.809000000000196,29.681000000000495,38.0,40.13200000000052,58.10900000000038,52.44999999999982,50.34900000000016,59.46399999999994,57.759000000000015,66.50200000000041,69.47600000000057,64.69300000000021,66.09000000000015,67.45600000000013,76.10500000000047,74.84900000000016,85.55699999999979,99.40200000000004,112.77500000000055
46.0,0.7550000000001091,0.0,16.229999999999563,24.5679999999993,26.5649999999996,44.20499999999993,39.1869999999999,37.501000000000204,46.063999999999396,45.599999999999454,53.514000000000124,55.40700000000015,51.9429999999993,53.14099999999962,54.318999999999505,62.9399999999996,62.35199999999986,72.86700000000019,87.35099999999966,100.19700000000012
47.0,0.15100000000074942,0.0,16.0600000000004,24.53400000000056,26.524000000000342,43.53900000000067,39.39100000000053,37.88799999999992,46.50300000000061,47.20400000000063,53.85500000000047,55.05000000000018,52.17399999999998,54.069000000000415,55.378999999999905,63.39000000000033,62.970000000000255,73.53800000000047,88.53200000000106,101.01599999999962
48.0,0.0,1.5460000000002765,16.85699999999997,25.351999999998952,27.351999999998952,43.852999999999156,40.33499999999913,39.09100000000035,47.439000000000306,49.00699999999961,55.05799999999908,56.498999999999796,53.8130000000001,56.32500000000073,57.27299999999923,64.59799999999996,65.8140000000003,74.85000000000036,93.78000000000065,102.84000000000015
49.0,0.0,1.6329999999998108,17.637000000000626,25.836999999999534,27.873999999999796,44.30500000000029,41.31600000000071,40.24799999999959,48.737999999999374,50.498999999999796,55.7549999999992,57.29399999999987,55.25300000000061,59.21299999999974,59.75200000000041,65.89600000000064,67.61499999999978,76.37099999999919,96.2510000000002,104.65699999999924
50.0,0.0,1.8320000000003347,18.673000000000684,26.36200000000099,28.811999999999898,44.827000000001135,42.64900000000125,41.52300000000105,49.98700000000099,52.123999999999796,57.29000000000087,58.19000000000051,57.48999999999978,60.83300000000054,61.426000000001295,67.01699999999983,69.33700000000135,77.78200000000106,98.39500000000044,106.20399999999972
51.0,0.0,2.3799999999991996,18.771999999999025,26.929000000000087,29.679000000000087,45.306000000000495,43.72700000000077,42.87700000000041,51.08300000000054,53.66200000000026,58.03900000000067,59.52100000000064,59.788000000000466,62.262000000000626,62.92499999999927,68.17300000000068,72.14300000000003,79.13500000000022,100.28399999999965,108.14099999999962
52.0,0.0,2.6970000000001164,20.652000000000044,27.997000000001208,30.858000000000175,46.29000000000087,44.887000000000626,44.61000000000058,52.292999999999665,55.254000000000815,59.17000000000007,60.66200000000026,62.20900000000074,64.03399999999965,64.69700000000012,69.9940000000006,75.00500000000102,80.89400000000023,102.47000000000116,110.39100000000144
53.0,0.0,2.838999999999942,21.84100000000035,29.041000000001077,32.28900000000067,47.123999999999796,46.60599999999977,48.1309999999994,53.58899999999994,56.39899999999943,60.13800000000083,61.637000000000626,64.51800000000003,65.5640000000003,66.21600000000035,71.56700000000092,77.53200000000106,82.42000000000007,104.53000000000065,114.17100000000028
54.0,0.0,3.063000000000102,22.802999999999884,30.16400000000067,33.35100000000057,47.93499999999949,48.46700000000055,50.03199999999924,54.634000000000015,57.79999999999927,61.12800000000061,62.22099999999955,66.21399999999994,67.17599999999948,68.00900000000001,73.0,79.98500000000058,83.84100000000035,106.39199999999983,116.7440000000006
55.0,0.0,3.3070000000006985,24.17200000000048,31.093000000000757,34.322000000000116,48.53100000000086,49.908000000001266,51.61200000000099,55.53200000000106,59.14400000000023,61.92699999999968,62.8080000000009,67.88600000000042,68.63700000000063,69.70600000000013,74.5010000000002,82.28900000000067,85.4380000000001,108.48500000000058,119.72800000000097
56.0,0.0,5.096999999999753,26.058999999999287,32.48699999999917,36.32099999999991,50.852999999999156,51.826999999999316,53.92900000000009,56.96700000000055,61.1929999999993,63.25699999999961,63.97999999999956,70.01599999999962,71.07599999999911,72.19900000000052,76.52900000000045,85.15099999999984,87.65999999999985,110.78299999999945,124.66100000000006
57.0,0.0,5.3840000000000146,26.30500000000029,33.22900000000118,37.51100000000042,51.248999999999796,52.98800000000119,55.67000000000007,58.12300000000141,62.94500000000153,64.3090000000011,64.75400000000081,71.63700000000063,72.86100000000079,74.95000000000073,78.44000000000051,87.71700000000055,88.94900000000052,,
