,VER,NOR,ALO,PER,STR,SAI,GAS,HAM,TSU,OCO,SAR,HUL,RIC,PIA,RUS,BOT,ZHO,MAG,ALB,LEC
1.0,0.0,2.0149999999998727,7.445999999999913,13.276999999999589,8.884999999999764,14.561999999999898,21.773999999999887,5.023999999999887,20.131999999999607,16.074999999999818,28.067999999999756,31.172999999999774,29.55199999999968,17.267999999999574,11.399999999999636,22.355999999999767,27.04599999999982,0.0,0.0,0.0
2.0,0.0,1.1790000000000873,5.233000000000175,13.970000000000255,7.692000000000007,15.876999999999953,22.978999999999814,3.561999999999898,20.902000000000044,17.43600000000015,30.061999999999898,34.054999999999836,1565.2759999999998,1558.6779999999999,11.634000000000015,25.231000000000222,28.574999999999818,,,
3.0,0.0,2.4609999999993306,11.086999999999534,20.05199999999968,12.990999999999985,24.12199999999939,55.80499999999938,9.243999999999687,55.65599999999995,55.09400000000005,56.84599999999955,56.938999999999396,143.97499999999945,142.71000000000004,19.423999999999978,56.17999999999938,56.5630000000001,,,
4.0,0.0,0.6479999999992287,1.470999999999549,3.058999999999287,3.4909999999999854,3.699999999999818,4.099999999999454,2.063000000000102,4.826000000000022,4.698999999999614,5.976999999999862,4.911999999999352,88.08500000000004,87.1239999999998,2.457999999999629,5.268000000000029,5.431999999999789,,,
5.0,0.0,1.1340000000000146,2.2089999999998327,4.356999999999971,4.704999999999927,5.194999999999709,5.6159999999999854,3.155999999999949,6.604999999999563,6.0649999999996,8.493999999999687,7.206999999999425,89.0630000000001,88.3109999999997,3.6340000000000146,7.296999999999571,7.925999999999476,,,
6.0,0.0,0.5270000000000437,2.587000000000444,5.104000000000269,5.6010000000005675,6.1909999999998035,6.746000000000095,4.0900000000001455,8.011000000000422,7.4450000000006185,10.194000000000415,8.860999999999876,89.91700000000037,89.50200000000041,4.518000000000029,8.989000000000487,9.668000000000575,,,
7.0,0.0,0.363999999999578,2.967999999999847,5.877999999999702,6.4650000000001455,7.0649999999996,7.5919999999996435,4.972999999999956,9.076000000000022,8.451000000000022,11.784999999999854,10.060999999999694,90.9340000000002,90.6239999999998,5.4099999999998545,10.559000000000196,11.182999999999993,,,
8.0,0.0,1.23700000000008,3.2150000000001455,6.77599999999984,7.068000000000211,7.740000000000691,8.286000000000058,5.679000000000087,9.891000000000531,9.213000000000648,12.719000000000051,10.981000000000677,91.5610000000006,91.40099999999984,6.204999999999927,11.335000000000036,12.199999999999818,,,
9.0,0.0,1.6440000000002328,3.32300000000032,7.147000000000844,7.59900000000016,8.194000000000415,8.648000000000138,6.053000000000793,10.514000000000124,9.86200000000008,13.404000000000451,11.48700000000008,92.51000000000022,92.52100000000064,6.699000000000524,12.068000000000211,13.00800000000072,,,
10.0,0.0,2.326000000000022,3.5839999999998327,7.698999999999614,8.524999999999636,9.048999999999978,9.63000000000011,6.802999999999884,11.563000000000102,10.948999999999614,14.34900000000016,12.863999999999578,93.35699999999997,94.84299999999985,7.430999999999585,12.837999999999738,13.77099999999973,,,
