,VER,HAM,RUS,PER,SAI,STR,ALO,OCO,ZHO,GAS,LEC,TSU,PIA,DEV,HUL,ALB,NOR,MAG,BOT,SAR
1.0,0.0,2.4409999999998035,4.59900000000016,6.420000000000073,1.0790000000001783,1.8040000000000873,4.1039999999998145,3.19399999999996,5.5470000000000255,7.608000000000175,11.855000000000018,6.9090000000001055,6.139999999999873,7.86200000000008,5.197999999999865,8.340000000000146,7.492999999999938,7.257999999999811,8.724999999999909,10.365999999999985
2.0,0.0,3.7170000000000982,6.130999999999858,7.741999999999734,1.5289999999999964,2.368999999999687,5.493999999999687,4.791999999999916,6.976999999999862,10.079999999999927,13.481999999999971,8.965999999999894,8.653999999999996,10.527999999999793,6.708000000000084,10.993999999999687,43.090999999999894,9.581000000000131,11.444999999999709,12.389999999999873
3.0,0.0,4.057000000000244,7.269000000000233,9.195999999999913,1.6010000000001128,2.7380000000002838,6.56899999999996,5.738000000000284,8.474999999999909,11.553000000000338,14.452000000000226,10.054000000000087,10.559000000000196,12.036000000000058,8.101000000000113,12.610000000000127,42.664000000000215,10.91800000000012,12.97900000000027,14.015000000000327
4.0,0.0,4.673000000000229,8.010000000000218,9.786000000000058,2.0700000000001637,3.38799999999992,6.940000000000055,6.331000000000131,9.361000000000331,13.090999999999894,15.960000000000036,10.738000000000284,11.483999999999924,13.407000000000153,9.117999999999938,14.10400000000027,42.36900000000014,12.669000000000324,14.873000000000047,17.1579999999999
5.0,0.0,5.145000000000437,8.702000000000226,11.327000000000226,2.722000000000662,3.9589999999998327,7.945999999999913,6.8400000000001455,9.475000000000364,14.261000000000422,17.307999999999993,12.101999999999862,12.747000000000298,14.72400000000016,10.806999999999789,15.666000000000167,42.327000000000226,13.680000000000291,20.139000000000124,18.886000000000422
6.0,0.0,5.44800000000032,9.63000000000011,11.833000000000538,3.104000000000269,4.5900000000001455,9.175000000000182,7.7520000000004075,10.587000000000444,15.291000000000167,17.733000000000175,13.542000000000371,14.041000000000167,15.894000000000233,13.143000000000029,17.159999999999854,42.947000000000116,14.871000000000095,40.61700000000019,20.149000000000342
7.0,0.0,5.460000000000036,9.669999999999163,12.601999999999862,3.2719999999999345,4.996999999999389,10.785999999999149,8.238999999999578,11.604999999999563,17.034999999999854,18.659999999999854,14.333999999999833,15.810999999999694,17.58299999999963,15.442000000000007,19.865999999999985,43.28899999999976,16.748999999999796,40.32899999999972,21.902000000000044
8.0,0.0,6.043999999999869,10.9350000000004,13.8100000000004,4.208000000000538,7.485000000000582,12.668000000000575,9.74200000000019,13.416000000000167,19.720000000000255,20.94800000000032,15.625,17.7470000000003,20.177999999999884,22.48199999999997,22.358000000000175,44.202000000000226,19.34100000000035,40.39000000000033,24.168000000000575
9.0,0.0,6.574000000000524,11.6850000000004,14.538000000000466,4.6599999999998545,8.563000000000102,13.735999999999876,10.837999999999738,19.29700000000048,21.001000000000204,22.404999999999745,16.79399999999987,19.154999999999745,25.17200000000048,40.927999999999884,24.519000000000233,45.090000000000146,20.588999999999942,40.59299999999985,26.20300000000043
10.0,0.0,6.950000000000728,12.606000000000677,15.470000000000255,5.2590000000000146,9.49200000000019,14.74200000000019,11.97900000000027,40.07800000000043,22.077000000000226,23.899000000000342,21.418000000000575,20.22900000000027,45.28099999999995,40.69500000000062,26.692000000000007,46.892000000000735,26.907000000000153,42.892000000000735,28.463999999999942
11.0,0.0,7.076000000000022,12.832999999999629,16.565999999999804,5.469000000000051,10.342999999999847,15.79699999999957,14.221999999999753,40.73199999999997,22.61700000000019,24.21900000000005,41.40399999999954,20.73399999999947,45.46599999999944,39.702000000000226,28.445999999999913,48.32799999999952,45.896999999999935,43.93199999999979,30.394000000000233
12.0,0.0,7.13799999999992,13.654999999999745,17.72099999999955,5.877999999999702,11.21100000000024,16.64599999999973,15.475999999999658,40.24499999999989,23.233000000000175,25.28099999999995,41.20499999999993,21.28899999999976,46.3809999999994,39.373999999999796,30.19300000000021,49.527000000000044,45.6309999999994,44.68000000000029,32.11200000000008
13.0,0.0,7.511999999999716,14.34900000000016,19.13500000000022,6.414999999999964,12.396999999999935,17.792999999999665,20.769999999999527,40.01500000000033,24.372999999999593,26.899999999999636,40.79399999999987,22.60900000000038,46.75600000000031,39.55199999999968,32.09599999999955,51.09299999999985,45.957000000000335,45.30699999999979,33.902000000000044
14.0,0.0,7.918999999999869,14.826000000000022,20.08600000000024,7.091000000000349,17.713000000000648,18.291000000000167,39.32000000000062,42.159999999999854,25.30200000000059,28.253999999999905,41.577000000000226,23.52100000000064,47.740999999999985,41.293000000000575,33.85500000000047,51.80799999999999,46.284999999999854,47.289999999999964,35.712000000000444
15.0,0.0,8.502000000000407,15.221000000000458,21.131000000000313,11.789999999999964,37.17100000000028,19.177999999999884,39.560999999999694,43.0630000000001,26.38000000000011,29.516999999999825,41.45600000000013,24.608000000000175,48.23499999999967,42.6880000000001,35.761999999999716,52.88500000000022,47.072000000000116,49.94200000000001,38.427999999999884
16.0,0.0,8.048999999999978,15.681000000000495,21.978000000000065,30.682999999999993,37.892000000000735,20.142000000000735,40.24000000000069,43.78300000000036,27.73700000000008,35.608000000000175,41.647000000000844,26.137000000000626,49.07100000000082,45.740999999999985,42.33900000000085,54.48100000000068,48.00500000000011,51.67800000000079,41.155000000000655
17.0,0.0,7.958000000000538,15.840000000000146,22.749000000000706,30.504000000000815,37.83100000000013,20.990999999999985,40.452000000000226,44.254000000000815,28.947000000000116,55.12800000000061,42.301000000000386,30.697000000000116,49.535000000000764,46.86400000000049,64.2490000000007,56.673000000000684,48.86400000000049,53.1230000000005,47.66900000000078
18.0,0.0,7.871999999999389,16.103000000000065,23.3149999999996,30.22699999999986,37.964999999999236,21.8799999999992,40.56999999999971,44.563999999999396,29.88799999999992,55.80999999999949,42.26599999999962,50.761999999999716,50.49799999999959,47.9409999999998,64.74499999999989,58.10899999999947,49.636999999999716,54.28399999999965,68.8779999999997
19.0,0.0,8.128000000000611,16.777000000000044,24.375,29.990999999999985,38.22700000000077,26.780000000000655,40.896999999999935,44.986000000000786,36.00700000000052,56.29500000000007,42.42000000000007,50.47900000000027,52.001000000000204,49.03700000000026,65.27000000000044,59.78700000000026,51.288000000000466,55.79400000000078,69.26800000000003
20.0,0.0,8.667000000000371,17.311999999999898,24.934000000000196,30.252000000000407,38.73499999999967,45.8090000000002,41.53200000000015,45.47699999999986,56.76100000000042,56.3730000000005,42.694000000000415,50.60599999999977,53.23000000000047,50.31500000000051,66.17900000000009,61.22699999999986,52.8100000000004,59.25500000000011,69.89500000000044
21.0,0.0,9.260999999999513,17.98199999999997,25.103000000000065,30.328999999999724,39.10499999999956,46.09699999999975,42.09099999999944,47.009000000000015,56.110999999999876,57.610999999999876,43.19799999999941,50.89899999999943,54.784999999999854,52.19200000000001,67.07299999999941,62.72899999999936,54.38499999999931,60.89499999999953,70.48399999999947
22.0,0.0,9.953999999999724,18.836999999999534,25.548999999999978,30.73199999999997,39.74200000000019,47.18199999999979,42.46100000000024,48.36700000000019,56.935999999999694,58.59299999999985,43.79699999999957,51.74200000000019,56.572000000000116,53.314000000000306,68.39900000000034,68.1939999999995,56.146999999999935,62.83299999999963,71.2510000000002
23.0,0.0,10.641999999999825,19.533000000000357,26.14099999999962,31.113000000000284,40.04100000000017,48.07099999999991,42.902000000000044,49.761999999999716,58.136999999999716,59.39599999999973,44.10900000000038,52.38199999999961,58.899999999999636,54.345000000000255,69.39499999999953,88.53200000000015,57.89599999999973,64.40800000000036,71.82499999999982
