,VER,LEC,PER,OCO,STR,SAI,HAM,RUS,ALO,PIA,GAS,ALB,MAG,RIC,ZHO,SAR,BOT,TSU,HUL,NOR
1.0,0.0,1.68100000000004,19.086000000000013,13.244000000000028,14.109000000000037,34.85500000000002,28.96900000000005,3.2619999999999436,39.27999999999997,21.105000000000018,4.855000000000018,6.677000000000021,11.041000000000054,30.926000000000045,32.33000000000004,9.812000000000012,42.76099999999997,19.466000000000008,16.788999999999987,24.638000000000034
2.0,0.0,1.643000000000029,31.163999999999987,7.19399999999996,8.118999999999915,15.793999999999869,12.329999999999927,2.5329999999999018,42.327,9.937999999999874,3.5329999999999018,4.492999999999938,6.266999999999825,14.259999999999991,15.424999999999955,5.018000000000029,57.730999999999995,9.282999999999902,8.629999999999882,10.95399999999995
3.0,0.0,0.91800000000012,40.44900000000007,9.899000000000115,15.993000000000166,29.192999999999984,19.81600000000003,2.2870000000000346,53.292000000000144,18.437000000000126,3.9260000000001583,5.2690000000000055,11.5150000000001,22.823000000000093,24.51200000000017,7.801000000000158,76.08200000000011,17.573000000000093,14.30600000000004,-41.011999999999944
4.0,0.0,1.19399999999996,19.990999999999985,6.873000000000047,17.764000000000124,21.371000000000095,12.990999999999985,1.865000000000009,23.388000000000147,11.978000000000065,2.9290000000000873,4.212999999999965,8.369000000000142,14.259999999999991,16.001999999999953,5.587999999999965,27.288999999999987,10.478000000000065,9.20900000000006,
5.0,0.0,1.0769999999999982,23.21699999999987,7.057000000000016,20.523999999999887,24.072999999999865,15.059999999999945,2.1140000000000327,25.940000000000055,12.246999999999844,3.741999999999962,4.892000000000053,9.008000000000038,16.60199999999986,18.77599999999984,5.794999999999845,28.365999999999985,11.152000000000044,9.864000000000033,
6.0,0.0,1.1700000000000728,8.950000000000045,4.241999999999962,8.499000000000024,9.326999999999998,6.08400000000006,1.6050000000000182,9.513000000000147,5.608999999999924,2.150000000000091,2.5850000000000364,3.8630000000000564,7.158000000000129,7.5470000000000255,3.2129999999999654,10.823000000000093,5.489000000000033,4.954999999999927,
7.0,0.0,1.8730000000000473,12.39799999999991,6.851999999999862,11.503999999999905,13.09199999999987,8.690000000000055,2.8769999999999527,12.845000000000027,7.654999999999973,3.7110000000000127,4.283999999999878,6.393000000000029,11.116999999999962,9.825000000000045,5.164999999999964,14.489000000000033,8.567000000000007,7.402000000000044,
8.0,0.0,2.1239999999997963,13.65099999999984,7.722999999999956,13.129999999999882,14.653999999999996,9.751999999999953,3.421999999999798,13.949999999999818,8.436999999999898,4.128999999999905,4.823999999999842,7.629999999999882,12.607999999999947,11.67899999999986,5.839999999999918,16.505999999999858,10.727999999999838,9.269999999999982,
9.0,0.0,2.2100000000000364,13.994000000000142,8.370000000000118,13.807000000000016,15.31899999999996,10.19900000000007,3.314000000000078,14.758000000000038,9.106999999999971,4.136999999999944,5.525000000000091,9.039999999999964,13.374000000000024,12.823000000000093,6.400000000000091,18.213999999999942,12.620000000000118,10.023000000000138,
10.0,0.0,1.8330000000000837,16.498000000000047,8.614000000000033,16.682999999999993,17.18000000000029,10.825000000000273,3.3460000000000036,16.95400000000018,9.971000000000004,3.6579999999999018,6.13799999999992,10.644999999999982,15.478000000000065,13.072000000000116,7.086999999999989,20.584000000000287,21.403000000000247,12.207000000000335,
11.0,0.0,1.913000000000011,17.046000000000276,9.364000000000033,17.929000000000087,18.370000000000346,12.17300000000023,3.693000000000211,18.970000000000255,11.21100000000024,4.341000000000349,7.3390000000003965,12.6850000000004,17.577000000000226,14.373000000000047,8.21100000000024,22.584000000000287,41.820000000000164,15.365000000000236,
