,VER,NOR,SAI,PER,RUS,GAS,STR,TSU,ALB,SAR,HUL,BOT,ZHO,MAG,RIC,ALO,PIA,OCO,HAM,LEC
1.0,3.824999999999818,0.0,2.686000000000149,6.358999999999924,5.916999999999916,6.717000000000098,13.23700000000008,7.54300000000012,8.655999999999949,10.25500000000011,11.532999999999902,9.135000000000218,7.219000000000051,9.860000000000127,8.0949999999998,10.728999999999814,4.45699999999988,5.597999999999956,2.9890000000000327,1.7699999999999818
2.0,4.851999999999862,0.0,3.362999999999829,9.260999999999967,8.753000000000156,9.695000000000164,15.822000000000116,10.380999999999858,12.25,13.664000000000215,14.820000000000164,12.646999999999935,10.894999999999982,13.273000000000138,11.340999999999894,14.170999999999822,6.273999999999887,8.4050000000002,3.923000000000229,2.407000000000153
3.0,5.2719999999999345,0.0,3.6659999999997126,10.842999999999847,9.945999999999913,12.905999999999949,17.748999999999796,13.259000000000015,14.614000000000033,16.14099999999962,17.33999999999969,15.070999999999913,13.657999999999902,15.634999999999764,14.121999999999844,16.626999999999953,6.9229999999997744,12.545999999999822,4.117999999999938,2.4459999999999127
4.0,5.563999999999396,0.0,4.766999999999825,10.686999999999898,9.608999999999469,12.982999999999265,21.07799999999952,14.208999999999833,17.15599999999995,19.232999999999265,20.73199999999997,18.0679999999993,15.59099999999944,18.73700000000008,16.478000000000065,19.76299999999992,7.411999999999352,20.22400000000016,3.8969999999999345,2.652999999999338
5.0,5.471000000000458,0.0,6.266999999999825,10.970000000000255,9.759000000000015,13.375,23.7529999999997,15.048999999999978,18.715000000000146,20.725000000000364,23.136000000000422,19.212999999999738,16.97100000000046,20.110999999999876,17.789999999999964,21.310999999999694,7.8729999999995925,26.917999999999665,3.8630000000002838,3.213999999999942
6.0,5.526000000000749,0.0,6.347000000000662,11.017000000000735,9.77100000000064,13.350000000000364,24.375,15.51299999999992,19.533000000000357,21.567000000000007,25.25,20.13300000000072,17.490999999999985,20.829999999999927,18.452000000000226,22.17700000000059,7.9080000000003565,35.097999999999956,3.25,4.024000000000342
7.0,5.6010000000005675,0.0,6.555000000000291,11.168999999999869,9.730000000000473,13.295000000000073,25.4970000000003,16.085000000000036,20.605000000000473,23.765000000000327,26.3100000000004,21.306000000000495,18.355000000000473,21.962000000000444,19.41899999999987,23.01600000000053,8.490999999999985,,3.1940000000004147,4.431000000000495
8.0,5.699000000000524,0.0,6.66399999999976,12.173999999999978,10.610000000000582,14.17200000000048,27.011000000000422,16.97699999999986,22.110999999999876,25.545000000000073,27.94000000000051,22.793000000000575,19.470000000000255,23.557999999999993,20.739000000000487,24.19499999999971,9.418000000000575,,3.117000000000189,5.094000000000051
9.0,6.001000000000204,0.0,6.893000000000029,12.925999999999476,11.00500000000011,14.644999999999527,28.195999999999913,17.734999999999673,23.17199999999957,26.60199999999986,29.53899999999976,23.789999999999964,20.68499999999949,24.715000000000146,21.706999999999425,25.302999999999884,10.014000000000124,,3.069999999999709,5.1840000000001965
10.0,6.3510000000005675,0.0,7.412000000000262,13.605000000000473,11.269000000000233,15.661000000000058,30.051000000000386,18.576000000000022,23.932999999999993,28.399000000000342,31.791000000000167,25.47699999999986,42.53200000000015,27.07300000000032,22.766999999999825,27.50300000000061,35.913000000000466,,3.0020000000004075,5.82300000000032
11.0,7.072000000000116,0.0,8.582999999999629,13.854999999999563,12.014999999999418,16.409999999999854,31.036000000000058,19.434000000000196,45.18199999999979,29.542999999999665,32.779999999999745,46.621000000000095,42.89300000000003,49.59299999999985,23.45799999999963,28.22899999999936,,,2.882999999999811,7.846999999999753
12.0,7.47400000000016,0.0,9.350000000000364,14.215000000000146,12.46100000000024,16.996000000000095,31.926000000000386,20.32800000000043,46.361000000000786,51.56600000000071,34.07500000000073,47.577000000000226,43.590000000000146,51.13800000000083,24.47100000000046,28.675000000000182,,,2.649000000000342,8.496000000000095
13.0,6.971999999999753,0.0,9.732999999999265,14.194999999999709,12.209999999999127,17.384000000000015,32.19799999999941,20.68499999999949,46.55699999999979,51.677999999999884,34.774999999999636,47.67899999999918,44.07899999999972,52.69599999999991,24.734999999999673,28.711999999999534,,,2.157999999999447,8.186999999999898
14.0,6.514000000000124,0.0,10.006000000000313,14.097999999999956,12.529000000000451,18.01600000000053,32.556000000000495,21.378999999999905,46.92900000000009,51.98499999999967,35.65400000000045,47.98099999999977,44.73700000000008,53.845000000000255,25.342000000000553,29.253999999999905,,,1.9070000000001528,8.166000000000167
