,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,16
1,ALB,2.0,HARD,34
2,ALO,1.0,MEDIUM,1
3,ALO,2.0,HARD,25
4,ALO,3.0,HARD,24
5,BOT,1.0,MEDIUM,1
6,BOT,2.0,HARD,23
7,BOT,3.0,MEDIUM,26
8,GAS,1.0,MEDIUM,17
9,GAS,2.0,HARD,33
10,HAM,1.0,HARD,17
11,HAM,2.0,MEDIUM,9
12,HAM,3.0,HARD,24
13,HUL,1.0,MEDIUM,12
14,HUL,2.0,HARD,14
15,HUL,3.0,HARD,20
16,LEC,1.0,MEDIUM,21
17,LEC,2.0,HARD,29
18,MAG,1.0,MEDIUM,14
19,MAG,2.0,HARD,12
20,MAG,3.0,HARD,24
21,NOR,1.0,MEDIUM,3
22,OCO,1.0,MEDIUM,20
23,OCO,2.0,HARD,30
24,PER,1.0,MEDIUM,1
25,PER,2.0,HARD,25
26,PER,3.0,HARD,24
27,PIA,1.0,HARD,16
28,PIA,2.0,HARD,27
29,PIA,3.0,MEDIUM,7
30,RIC,1.0,MEDIUM,17
31,RIC,2.0,HARD,33
32,RUS,1.0,MEDIUM,15
33,RUS,2.0,HARD,11
34,RUS,3.0,HARD,24
35,SAI,1.0,MEDIUM,3
36,SAI,2.0,HARD,23
37,SAI,3.0,HARD,24
38,SAR,1.0,MEDIUM,15
39,SAR,2.0,HARD,35
40,STR,1.0,SOFT,3
41,STR,2.0,HARD,23
42,STR,3.0,HARD,24
43,TSU,1.0,SOFT,10
44,TSU,2.0,MEDIUM,11
45,TSU,3.0,HARD,26
46,VER,1.0,MEDIUM,16
47,VER,2.0,HARD,10
48,VER,3.0,HARD,24
49,ZHO,1.0,HARD,26
50,ZHO,2.0,MEDIUM,24
