,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,7
1,ALB,2.0,MEDIUM,16
2,ALB,3.0,MEDIUM,10
3,ALB,4.0,SOFT,11
4,ALO,1.0,MEDIUM,10
5,ALO,2.0,MEDIUM,19
6,ALO,3.0,SOFT,15
7,BOT,1.0,SOFT,6
8,BOT,2.0,MEDIUM,18
9,BOT,3.0,MEDIUM,20
10,GAS,1.0,SOFT,23
11,GAS,2.0,MEDIUM,21
12,HAM,1.0,SOFT,12
13,HAM,2.0,MEDIUM,15
14,HAM,3.0,SOFT,15
15,HAM,4.0,MEDIUM,2
16,HUL,1.0,MEDIUM,12
17,HUL,2.0,SOFT,12
18,HUL,3.0,SOFT,20
19,LEC,1.0,SOFT,13
20,LEC,2.0,MEDIUM,15
21,LEC,3.0,SOFT,16
22,MAG,1.0,SOFT,5
23,MAG,2.0,MEDIUM,20
24,MAG,3.0,MEDIUM,19
25,NOR,1.0,MEDIUM,5
26,NOR,2.0,HARD,12
27,NOR,3.0,SOFT,27
28,OCO,1.0,SOFT,6
29,OCO,2.0,MEDIUM,19
30,OCO,3.0,SOFT,19
31,PER,1.0,SOFT,13
32,PER,2.0,MEDIUM,16
33,PER,3.0,SOFT,15
34,PIA,1.0,MEDIUM,1
35,RIC,1.0,SOFT,5
36,RIC,2.0,MEDIUM,17
37,RIC,3.0,MEDIUM,22
38,RUS,1.0,MEDIUM,22
39,RUS,2.0,SOFT,22
40,SAI,1.0,SOFT,7
41,SAI,2.0,MEDIUM,16
42,SAR,1.0,SOFT,8
43,SAR,2.0,MEDIUM,16
44,SAR,3.0,MEDIUM,10
45,SAR,4.0,SOFT,10
46,STR,1.0,MEDIUM,20
47,STR,2.0,SOFT,24
48,TSU,1.0,MEDIUM,9
49,TSU,2.0,MEDIUM,15
50,TSU,3.0,SOFT,20
51,VER,1.0,SOFT,14
52,VER,2.0,MEDIUM,16
53,VER,3.0,SOFT,14
54,ZHO,1.0,SOFT,7
55,ZHO,2.0,MEDIUM,18
56,ZHO,3.0,SOFT,19
