,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Event_Name
803,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
804,0 days 00:23:59.547000,18.5,40.6,1005.6,False,39.2,346,0.6,Portuguese Grand Prix
805,0 days 00:31:59.552000,18.1,42.1,1005.7,False,38.9,2,1.0,Portuguese Grand Prix
806,0 days 00:32:59.548000,18.1,42.0,1005.6,False,38.9,29,0.6,Portuguese Grand Prix
807,0 days 00:34:59.547000,18.0,39.8,1005.6,False,36.9,27,0.6,Portuguese Grand Prix
808,0 days 00:42:59.603000,17.7,41.6,1005.5,False,36.5,17,0.9,Portuguese Grand Prix
809,0 days 00:43:59.599000,17.6,40.9,1005.7,False,36.5,348,0.5,Portuguese Grand Prix
810,0 days 00:44:59.611000,17.7,40.6,1005.6,False,36.3,346,0.6,Portuguese Grand Prix
811,0 days 00:46:59.626000,17.6,42.6,1005.5,False,34.2,22,0.6,Portuguese Grand Prix
812,0 days 00:54:59.664000,18.4,43.4,1005.5,False,35.7,353,0.6,Portuguese Grand Prix
813,0 days 00:55:59.672000,18.4,42.9,1005.4,False,37.1,26,0.6,Portuguese Grand Prix
814,0 days 00:16:59.503000,18.1,42.5,1005.8,False,38.4,10,0.7,Portuguese Grand Prix
815,0 days 00:17:59.521000,18.1,42.4,1005.5,False,38.4,347,0.7,Portuguese Grand Prix
816,0 days 00:19:59.514000,18.0,43.6,1005.6,False,38.4,43,0.5,Portuguese Grand Prix
817,0 days 00:20:59.534000,18.2,42.6,1005.6,False,38.8,67,0.5,Portuguese Grand Prix
818,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
819,0 days 00:27:59.555000,19.0,38.7,1005.8,False,38.8,25,0.8,Portuguese Grand Prix
820,0 days 00:29:59.546000,18.3,40.3,1005.8,False,38.8,0,0.8,Portuguese Grand Prix
821,0 days 00:30:59.552000,18.2,41.0,1005.7,False,39.3,29,0.8,Portuguese Grand Prix
822,0 days 00:32:59.548000,18.1,42.0,1005.6,False,38.9,29,0.6,Portuguese Grand Prix
823,0 days 00:33:59.553000,18.0,41.6,1005.7,False,37.8,19,0.7,Portuguese Grand Prix
824,0 days 00:41:59.579000,18.0,41.3,1005.6,False,36.3,41,0.8,Portuguese Grand Prix
825,0 days 00:42:59.603000,17.7,41.6,1005.5,False,36.5,17,0.9,Portuguese Grand Prix
826,0 days 00:44:59.611000,17.7,40.6,1005.6,False,36.3,346,0.6,Portuguese Grand Prix
827,0 days 00:46:59.626000,17.6,42.6,1005.5,False,34.2,22,0.6,Portuguese Grand Prix
828,0 days 00:47:59.647000,17.7,43.3,1005.5,False,34.2,0,0.6,Portuguese Grand Prix
829,0 days 00:50:59.643000,18.4,40.9,1005.4,False,37.0,358,0.5,Portuguese Grand Prix
830,0 days 00:52:59.674000,18.4,42.6,1005.5,False,36.6,7,0.5,Portuguese Grand Prix
831,0 days 00:53:59.673000,18.2,43.4,1005.5,False,35.7,1,0.6,Portuguese Grand Prix
832,0 days 00:55:59.672000,18.4,42.9,1005.4,False,37.1,26,0.6,Portuguese Grand Prix
833,0 days 00:19:59.514000,18.0,43.6,1005.6,False,38.4,43,0.5,Portuguese Grand Prix
834,0 days 00:20:59.534000,18.2,42.6,1005.6,False,38.8,67,0.5,Portuguese Grand Prix
835,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
836,0 days 00:23:59.547000,18.5,40.6,1005.6,False,39.2,346,0.6,Portuguese Grand Prix
837,0 days 00:25:59.545000,18.9,40.6,1005.7,False,39.1,24,1.0,Portuguese Grand Prix
838,0 days 00:32:59.548000,18.1,42.0,1005.6,False,38.9,29,0.6,Portuguese Grand Prix
839,0 days 00:34:59.547000,18.0,39.8,1005.6,False,36.9,27,0.6,Portuguese Grand Prix
840,0 days 00:44:59.611000,17.7,40.6,1005.6,False,36.3,346,0.6,Portuguese Grand Prix
841,0 days 00:45:59.610000,17.4,41.0,1005.7,False,35.0,20,0.8,Portuguese Grand Prix
842,0 days 00:47:59.647000,17.7,43.3,1005.5,False,34.2,0,0.6,Portuguese Grand Prix
843,0 days 00:54:59.664000,18.4,43.4,1005.5,False,35.7,353,0.6,Portuguese Grand Prix
844,0 days 00:55:59.672000,18.4,42.9,1005.4,False,37.1,26,0.6,Portuguese Grand Prix
845,0 days 00:16:59.503000,18.1,42.5,1005.8,False,38.4,10,0.7,Portuguese Grand Prix
846,0 days 00:17:59.521000,18.1,42.4,1005.5,False,38.4,347,0.7,Portuguese Grand Prix
847,0 days 00:19:59.514000,18.0,43.6,1005.6,False,38.4,43,0.5,Portuguese Grand Prix
848,0 days 00:20:59.534000,18.2,42.6,1005.6,False,38.8,67,0.5,Portuguese Grand Prix
849,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
850,0 days 00:24:59.546000,19.1,39.1,1005.7,False,39.2,10,0.9,Portuguese Grand Prix
851,0 days 00:30:59.552000,18.2,41.0,1005.7,False,39.3,29,0.8,Portuguese Grand Prix
852,0 days 00:31:59.552000,18.1,42.1,1005.7,False,38.9,2,1.0,Portuguese Grand Prix
853,0 days 00:33:59.553000,18.0,41.6,1005.7,False,37.8,19,0.7,Portuguese Grand Prix
