Driver,Position,Time,Status,Points
HAM,1,00:00:00.526000,Finished,25
PIA,2,+00:00:01.173000,Finished,18
LEC,3,+00:00:08.549000,Finished,15
VER,4,+00:00:09.226000,Finished,12
NOR,5,+00:00:09.850000,Finished,10
SAI,6,+00:00:19.795000,Finished,8
PER,7,+00:00:43.195000,Finished,7
ALO,8,+00:00:49.963000,Finished,4
OCO,9,+00:00:52.552000,Finished,2
RIC,10,+00:00:54.926000,Finished,1
STR,11,+00:01:03.011000,Finished,0
ALB,12,+00:01:03.651000,Finished,0
GAS,13,+00:01:04.365000,Finished,0
MAG,14,+00:01:06.631000,Finished,0
BOT,15,+00:01:10.638000,Finished,0
TSU,16,+00:01:16.737000,Finished,0
SAR,17,+00:01:26.057000,Finished,0
HUL,18,+00:01:28.833000,Finished,0
ZHO,19,,Retired,0
RUS,20,+01:19:57.040000,Disqualified,0
