Driver,Position,Time,Status,Points
HAM,1,01:22:27.059000,Finished,25
VER,2,+00:00:01.465000,Finished,18
NOR,3,+00:00:07.547000,Finished,15
PIA,4,+00:00:12.429000,Finished,12
SAI,5,+00:00:47.318000,Finished,11
HUL,6,+00:00:55.722000,Finished,8
STR,7,+00:00:56.569000,Finished,6
ALO,8,+00:01:03.577000,Finished,4
ALB,9,+00:01:08.387000,Finished,2
TSU,10,+00:01:19.303000,Finished,1
SAR,11,+00:01:28.960000,Finished,0
MAG,12,+00:01:30.153000,Finished,0
RIC,13,,+1 Lap,0
LEC,14,,+1 Lap,0
BOT,15,,+1 Lap,0
OCO,16,,+2 Laps,0
PER,17,,+2 Laps,0
ZHO,18,,+2 Laps,0
RUS,19,,Water pressure,0
GAS,20,,Gearbox,0
