Driver,Position,Time,Status,Points
NOR,1,01:30:49.876000,Finished,25
VER,2,+00:00:07.612000,Finished,18
LEC,3,+00:00:09.920000,Finished,15
PER,4,+00:00:14.650000,Finished,12
SAI,5,+00:00:16.407000,Finished,10
HAM,6,+00:00:16.585000,Finished,8
TSU,7,+00:00:26.185000,Finished,6
RUS,8,+00:00:34.789000,Finished,4
ALO,9,+00:00:37.107000,Finished,2
OCO,10,+00:00:39.746000,Finished,1
HUL,11,+00:00:40.789000,Finished,0
GAS,12,+00:00:44.958000,Finished,0
PIA,13,+00:00:49.756000,Finished,0
ZHO,14,+00:00:49.979000,Finished,0
RIC,15,+00:00:50.956000,Finished,0
BOT,16,+00:00:52.356000,Finished,0
STR,17,+00:00:55.173000,Finished,0
ALB,18,+00:01:16.091000,Finished,0
MAG,19,+00:01:24.683000,Finished,0
SAR,20,,Collision,0
